[206045465, 237134557, 98501963, 193035196, 7380439]
[93013133, 79078986, 20365635, 126967462, 179682725, 3599356]
[93013133, 79078986, 20365635, 126967462, 227752025]
[206045465, 237134557, 98501963, 193035196, 7380439, 232007753]
[206045465, 25751687, 125958478, 194460356, 135388072, 94152764]
[206045465, 237134557, 98501963, 193035196, 86116500, 122257016]
[206045465, 237134557, 98501963, 193035196, 86116500, 108478554]
[93013133, 79078986, 20365635, 126967462, 126429695]
[206045465, 25751687, 125958478, 78296307, 75256724, 40417328]
[206045465, 237134557, 98501963, 193035196, 7380439, 105650528]
[206045465, 237134557, 98501963, 193035196, 86116500, 60506129]
[206045465, 237134557, 98501963, 193035196, 127476587, 172744335]
[206045465, 25751687, 125958478, 78296307, 75256724, 132205160]
[206045465, 25751687, 125958478, 194460356, 135388072, 5854701]
[206045465, 237134557, 98501963, 193035196, 7380439, 178557130]
[206045465, 237134557, 98501963, 193035196, 7380439, 116219678]
[206045465, 237134557, 98501963, 193035196, 86116500, 135001089]
[206045465, 25751687, 125958478, 78296307, 75256724, 95875554]
[206045465, 237134557, 98501963, 193035196, 7380439, 155274580]
[206045465, 237134557, 98501963, 193035196, 86116500, 93830514]
[206045465, 237134557, 98501963, 193035196, 7380439, 54355137]
[206045465, 237134557, 98501963, 193035196, 7380439, 37122810]
[93013133, 79078986, 20365635, 126967462, 41841872]
[93013133, 79078986, 27477927, 85043021, 84166967, 100995965]
[93013133, 79078986, 20365635, 126967462, 215675649]
[93013133, 79078986, 27477927, 85043021, 84166967, 167840060]
[206045465, 237134557, 98501963, 193035196, 7380439, 61840062]
[93013133, 79078986, 20365635, 126967462, 229930564]
[93013133, 79078986, 20365635, 126967462, 181090056]
[206045465, 25751687, 125958478, 194460356, 135388072, 174813330]
[206045465, 25751687, 125958478, 194460356, 135388072, 83413843]
[206045465, 25751687, 125958478, 194460356, 135388072, 5941470]
[206045465, 25751687, 125958478, 78296307, 75256724, 223910470]
[206045465, 237134557, 98501963, 193035196, 86116500, 73710838]
[206045465, 25751687, 125958478, 78296307, 75256724, 42253766]
[206045465, 25751687, 125958478, 78296307, 75256724, 72802439]
[93013133, 79078986, 27477927, 85043021, 236177433, 7371149]
[93013133, 79078986, 27477927, 85043021, 84166967, 207547573]
[93013133, 79078986, 20365635, 126967462, 179682725, 70620851]
[206045465, 237134557, 98501963, 193035196, 217614723, 192592456]
[206045465, 237134557, 98501963, 193035196, 217614723, 166752668]
[93013133, 79078986, 27477927, 85043021, 236177433, 225915696]
[93013133, 79078986, 20365635, 126967462, 179682725, 100709842]
[206045465, 237134557, 98501963, 193035196, 7380439, 133952772]
[206045465, 237134557, 98501963, 193035196, 127476587, 95219980]
[93013133, 79078986, 20365635, 126967462, 218133494]
[206045465, 237134557, 98501963, 193035196, 86116500, 69465912]
[206045465, 237134557, 98501963, 193035196, 7380439, 217266513]
[93013133, 79078986, 20365635, 126967462, 60708118]
[93013133, 79078986, 20365635, 126967462, 179682725, 4986510]
[93013133, 79078986, 20365635, 126967462, 179682725, 108497365]
[93013133, 79078986, 27477927, 85043021, 236177433, 141442253]
[93013133, 79078986, 27477927, 85043021, 236177433, 229550119]
[206045465, 25751687, 125958478, 194460356, 135388072, 4375216]
[206045465, 237134557, 98501963, 193035196, 127476587, 95118926]
[206045465, 237134557, 98501963, 193035196, 127476587, 65353937]
[206045465, 237134557, 98501963, 193035196, 7380439, 206847421]
[206045465, 237134557, 98501963, 193035196, 127476587, 207713693]
[206045465, 237134557, 98501963, 193035196, 7380439, 143445306]
[206045465, 237134557, 98501963, 193035196, 217614723, 27450546]
[206045465, 237134557, 98501963, 193035196, 127476587, 173371403]
[93013133, 79078986, 27477927, 85043021, 236177433, 8642567]
[93013133, 79078986, 27477927, 85043021, 236177433, 5673374]
[206045465, 237134557, 98501963, 193035196, 7380439, 103901878]
[93013133, 79078986, 27477927, 85043021, 236177433, 120099381]
[206045465, 25751687, 125958478, 78296307, 75256724, 20539922]
[206045465, 237134557, 98501963, 193035196, 7380439, 152037719]
[93013133, 79078986, 27477927, 85043021, 84166967, 78792204]
[206045465, 237134557, 98501963, 193035196, 127476587, 87066275]
[206045465, 25751687, 125958478, 194460356, 135388072, 121794104]
[206045465, 237134557, 98501963, 193035196, 127476587, 50467195]
[206045465, 237134557, 98501963, 193035196, 217614723, 70197453]
[93013133, 79078986, 20365635, 126967462, 179682725, 125456121]
[206045465, 25751687, 125958478, 78296307, 75256724, 52977030]
[93013133, 79078986, 27477927, 85043021, 236177433, 94069171]
[206045465, 25751687, 125958478, 194460356, 135388072, 104819685]
[93013133, 79078986, 20365635, 126967462, 14636977]
[93013133, 79078986, 27477927, 85043021, 236177433, 203468098]
[206045465, 237134557, 98501963, 193035196, 86116500, 163335425]
[206045465, 237134557, 98501963, 193035196, 7380439, 208277295]
[93013133, 79078986, 27477927, 85043021, 84166967, 147182943]
[206045465, 25751687, 125958478, 194460356, 135388072, 86693260]
[206045465, 237134557, 98501963, 193035196, 127476587, 18338492]
[93013133, 79078986, 20365635, 126967462, 179682725, 106576340]
[206045465, 237134557, 98501963, 193035196, 7380439, 162252162]
[93013133, 79078986, 27477927, 85043021, 236177433, 132209684]
[206045465, 237134557, 98501963, 193035196, 217614723, 135294546]
[206045465, 25751687, 125958478, 78296307, 75256724, 111728427]
[206045465, 237134557, 98501963, 193035196, 86116500, 118229024]
[206045465, 237134557, 98501963, 193035196, 127476587, 81739135]
[206045465, 237134557, 98501963, 193035196, 217614723, 128562886]
[206045465, 237134557, 98501963, 193035196, 7380439, 176309372]
[206045465, 25751687, 125958478, 78296307, 75256724, 209534295]
[206045465, 237134557, 98501963, 193035196, 217614723, 235051105]
[93013133, 79078986, 20365635, 126967462, 179682725, 230513908]
[93013133, 79078986, 27477927, 85043021, 84166967, 168981824]
[206045465, 25751687, 125958478, 194460356, 135388072, 98476871]
[93013133, 79078986, 27477927, 85043021, 84166967, 147509414]
[93013133, 79078986, 27477927, 85043021, 84166967, 99825943]
[206045465, 25751687, 125958478, 78296307, 75256724, 114715167]
[206045465, 237134557, 98501963, 193035196, 7380439, 234962472]
[206045465, 237134557, 98501963, 193035196, 7380439, 2655761]
[206045465, 25751687, 125958478, 194460356, 135388072, 52958645]
[93013133, 79078986, 20365635, 126967462, 123322557]
[206045465, 237134557, 98501963, 193035196, 217614723, 247047970]
[206045465, 237134557, 98501963, 193035196, 217614723, 211777698]
[206045465, 25751687, 125958478, 194460356, 135388072, 193086622]
[93013133, 79078986, 20365635, 126967462, 179682725, 124583463]
[206045465, 237134557, 98501963, 193035196, 217614723, 158580290]
[93013133, 79078986, 20365635, 126967462, 186694193]
[93013133, 79078986, 27477927, 85043021, 236177433, 214319242]
[206045465, 237134557, 98501963, 193035196, 217614723, 173934988]
[206045465, 237134557, 98501963, 193035196, 7380439, 13153831]
[93013133, 79078986, 27477927, 85043021, 84166967, 128114069]
[206045465, 237134557, 98501963, 193035196, 127476587, 76119058]
[206045465, 25751687, 125958478, 194460356, 135388072, 52619731]
[206045465, 237134557, 98501963, 193035196, 7380439, 222457728]
[206045465, 237134557, 98501963, 193035196, 7380439, 96593720]
[93013133, 79078986, 20365635, 126967462, 90195049]
[206045465, 237134557, 98501963, 193035196, 127476587, 104086477]
[93013133, 79078986, 20365635, 126967462, 230854374]
[93013133, 79078986, 27477927, 85043021, 236177433, 233703280]
[206045465, 25751687, 125958478, 78296307, 75256724, 38011847]
[206045465, 237134557, 98501963, 193035196, 86116500, 38370013]
[206045465, 25751687, 125958478, 78296307, 75256724, 178398964]
[206045465, 237134557, 98501963, 193035196, 86116500, 224612880]
[206045465, 237134557, 98501963, 193035196, 86116500, 61309408]
[206045465, 25751687, 125958478, 194460356, 135388072, 176592821]
[206045465, 25751687, 125958478, 78296307, 75256724, 106627444]
[93013133, 79078986, 20365635, 126967462, 179682725, 173620068]
[93013133, 79078986, 27477927, 85043021, 236177433, 179762639]
[93013133, 79078986, 20365635, 126967462, 179682725, 18798787]
[206045465, 237134557, 98501963, 193035196, 127476587, 240287542]
[206045465, 237134557, 98501963, 193035196, 7380439, 196755963]
[93013133, 79078986, 27477927, 85043021, 236177433, 161187147]
[93013133, 79078986, 20365635, 126967462, 196903766]
[206045465, 237134557, 98501963, 193035196, 217614723, 129738401]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616]
[93013133, 79078986, 20365635, 126967462, 179682725, 53304362]
[93013133, 79078986, 27477927, 85043021, 84166967, 39365075]
[206045465, 25751687, 125958478, 194460356, 135388072, 58053116]
[93013133, 79078986, 20365635, 126967462, 179682725, 3175598]
[93013133, 79078986, 27477927, 85043021, 84166967, 248048913]
[93013133, 79078986, 20365635, 126967462, 179682725, 95387491]
[206045465, 237134557, 98501963, 193035196, 127476587, 99526487]
[206045465, 25751687, 125958478, 194460356, 135388072, 179889311]
[206045465, 25751687, 125958478, 78296307, 75256724, 238289066]
[93013133, 79078986, 27477927, 85043021, 236177433, 38744757]
[93013133, 79078986, 27477927, 85043021, 236177433, 7877552]
[206045465, 237134557, 98501963, 193035196, 217614723, 56538180]
[206045465, 25751687, 125958478, 194460356, 135388072, 139618104]
[93013133, 79078986, 27477927, 85043021, 236177433, 229121255]
[206045465, 237134557, 98501963, 193035196, 86116500, 1520850]
[206045465, 25751687, 125958478, 78296307, 75256724, 11862290]
[206045465, 237134557, 98501963, 193035196, 217614723, 107698171]
[206045465, 237134557, 98501963, 193035196, 7380439, 157199866]
[206045465, 25751687, 125958478, 78296307, 75256724, 244717919]
[206045465, 237134557, 98501963, 193035196, 86116500, 99754778]
[206045465, 25751687, 125958478, 78296307, 75256724, 79221594]
[93013133, 79078986, 20365635, 126967462, 179682725, 184476497]
[206045465, 237134557, 98501963, 193035196, 217614723, 14173712]
[206045465, 237134557, 98501963, 193035196, 7380439, 168783518]
[93013133, 79078986, 27477927, 85043021, 84166967, 83479134]
[206045465, 237134557, 98501963, 193035196, 217614723, 221716661]
[206045465, 237134557, 98501963, 193035196, 217614723, 189631755]
[206045465, 237134557, 98501963, 193035196, 7380439, 91439284]
[93013133, 79078986, 20365635, 126967462, 9389033]
[206045465, 237134557, 98501963, 193035196, 86116500, 247710277]
[206045465, 237134557, 98501963, 193035196, 86116500, 201843963]
[93013133, 79078986, 27477927, 85043021, 84166967, 71502070]
[206045465, 237134557, 98501963, 193035196, 217614723, 88603163]
[206045465, 237134557, 98501963, 193035196, 7380439, 154994919]
[93013133, 79078986, 20365635, 126967462, 179682725, 94388685]
[206045465, 237134557, 98501963, 193035196, 127476587, 166675548]
[206045465, 237134557, 98501963, 193035196, 217614723, 225687210]
[93013133, 79078986, 20365635, 126967462, 179682725, 14881880]
[206045465, 237134557, 98501963, 193035196, 127476587, 132608282]
[206045465, 237134557, 98501963, 193035196, 86116500, 211419782]
[93013133, 79078986, 20365635, 126967462, 179682725, 51771309]
[206045465, 237134557, 98501963, 193035196, 127476587, 134682453]
[206045465, 237134557, 98501963, 193035196, 7380439, 61568621]
[206045465, 237134557, 98501963, 193035196, 217614723, 34151614]
[93013133, 79078986, 27477927, 85043021, 84166967, 31785050]
[206045465, 237134557, 98501963, 193035196, 7380439, 198947541]
[93013133, 79078986, 27477927, 85043021, 84166967, 38323535]
[206045465, 25751687, 125958478, 78296307, 75256724, 108245311]
[206045465, 237134557, 98501963, 193035196, 86116500, 201782257]
[206045465, 25751687, 125958478, 194460356, 135388072, 87066138]
[93013133, 79078986, 27477927, 85043021, 84166967, 239367106]
[206045465, 237134557, 98501963, 193035196, 86116500, 198807109]
[206045465, 237134557, 98501963, 193035196, 86116500, 132226678]
[206045465, 237134557, 98501963, 193035196, 7380439, 203073689]
[206045465, 25751687, 125958478, 194460356, 135388072, 157403287]
[206045465, 237134557, 98501963, 193035196, 7380439, 85452567]
[93013133, 79078986, 20365635, 126967462, 179682725, 138056763]
[206045465, 237134557, 98501963, 193035196, 86116500, 154188198]
[206045465, 25751687, 125958478, 78296307, 75256724, 145213660]
[206045465, 237134557, 98501963, 193035196, 217614723, 130724218]
[206045465, 237134557, 98501963, 193035196, 86116500, 62249395]
[93013133, 79078986, 27477927, 85043021, 84166967, 167145280]
[93013133, 79078986, 27477927, 85043021, 236177433, 12455749]
[206045465, 237134557, 98501963, 193035196, 86116500, 159632513]
[93013133, 79078986, 27477927, 85043021, 84166967, 27019567]
[206045465, 237134557, 98501963, 193035196, 217614723, 160961802]
[206045465, 237134557, 98501963, 193035196, 7380439, 166852373]
[206045465, 237134557, 98501963, 193035196, 127476587, 65858554]
[206045465, 237134557, 98501963, 193035196, 127476587, 76160148]
[206045465, 25751687, 125958478, 78296307, 75256724, 183885824]
[93013133, 79078986, 27477927, 85043021, 236177433, 82324823]
[93013133, 79078986, 20365635, 126967462, 179682725, 95065152]
[93013133, 79078986, 20365635, 126967462, 59505490]
[206045465, 25751687, 125958478, 78296307, 75256724, 49638339]
[206045465, 237134557, 98501963, 193035196, 127476587, 158160505]
[93013133, 79078986, 27477927, 85043021, 236177433, 87831428]
[206045465, 237134557, 98501963, 193035196, 217614723, 132440684]
[93013133, 79078986, 20365635, 126967462, 179682725, 166472835]
[206045465, 237134557, 98501963, 193035196, 86116500, 80471874]
[206045465, 237134557, 98501963, 193035196, 217614723, 56715778]
[206045465, 237134557, 98501963, 193035196, 217614723, 66327123]
[93013133, 79078986, 27477927, 85043021, 236177433, 83317309]
[206045465, 237134557, 98501963, 193035196, 86116500, 152983346]
[93013133, 79078986, 20365635, 126967462, 160902546]
[206045465, 237134557, 98501963, 193035196, 7380439, 146544922]
[206045465, 237134557, 98501963, 193035196, 127476587, 79860212]
[93013133, 79078986, 20365635, 126967462, 179682725, 202233034]
[206045465, 237134557, 98501963, 193035196, 7380439, 194210389]
[206045465, 237134557, 98501963, 193035196, 7380439, 21799184]
[93013133, 79078986, 20365635, 126967462, 179682725, 178901740]
[93013133, 79078986, 27477927, 85043021, 84166967, 115341625]
[206045465, 237134557, 98501963, 193035196, 86116500, 140567702]
[206045465, 25751687, 125958478, 78296307, 75256724, 27197672]
[93013133, 79078986, 20365635, 126967462, 179682725, 60607590]
[206045465, 237134557, 98501963, 193035196, 86116500, 232976189]
[93013133, 79078986, 20365635, 126967462, 220675237]
[206045465, 237134557, 98501963, 193035196, 217614723, 27127803]
[93013133, 79078986, 20365635, 126967462, 179682725, 11226992]
[206045465, 25751687, 125958478, 194460356, 135388072, 122632130]
[93013133, 79078986, 20365635, 126967462, 17738596]
[206045465, 237134557, 98501963, 193035196, 7380439, 137968332]
[206045465, 237134557, 98501963, 193035196, 7380439, 206213694]
[93013133, 79078986, 20365635, 126967462, 179682725, 35229220]
[206045465, 237134557, 98501963, 193035196, 127476587, 165928955]
[206045465, 237134557, 98501963, 193035196, 7380439, 100553600]
[206045465, 237134557, 98501963, 193035196, 217614723, 239678471]
[206045465, 25751687, 125958478, 78296307, 75256724, 239583278]
[206045465, 237134557, 98501963, 193035196, 86116500, 76923416]
[206045465, 25751687, 125958478, 194460356, 135388072, 37681223]
[206045465, 25751687, 125958478, 194460356, 135388072, 57392223]
[206045465, 25751687, 125958478, 194460356, 135388072, 94266823]
[206045465, 237134557, 98501963, 193035196, 86116500, 170482267]
[93013133, 79078986, 20365635, 126967462, 241158848]
[206045465, 237134557, 98501963, 193035196, 127476587, 45160302]
[93013133, 79078986, 20365635, 126967462, 179682725, 160397002]
[206045465, 25751687, 125958478, 194460356, 135388072, 114179052]
[206045465, 25751687, 125958478, 194460356, 135388072, 105892207]
[93013133, 79078986, 27477927, 85043021, 236177433, 60588569]
[206045465, 237134557, 98501963, 193035196, 127476587, 203376593]
[93013133, 79078986, 27477927, 85043021, 84166967, 132957124]
[206045465, 237134557, 98501963, 193035196, 86116500, 32370468]
[206045465, 25751687, 125958478, 194460356, 135388072, 228717854]
[206045465, 25751687, 125958478, 78296307, 75256724, 50844244]
[206045465, 237134557, 98501963, 193035196, 217614723, 222582186]
[206045465, 237134557, 98501963, 193035196, 217614723, 62724680]
[206045465, 237134557, 98501963, 193035196, 86116500, 144493381]
[206045465, 237134557, 98501963, 193035196, 7380439, 37700493]
[93013133, 79078986, 27477927, 85043021, 84166967, 181122349]
[206045465, 25751687, 125958478, 194460356, 135388072, 5373008]
[206045465, 237134557, 98501963, 193035196, 7380439, 117840222]
[93013133, 79078986, 27477927, 85043021, 84166967, 125225612]
[206045465, 237134557, 98501963, 193035196, 127476587, 164080822]
[206045465, 237134557, 98501963, 193035196, 217614723, 247396103]
[93013133, 79078986, 20365635, 126967462, 179682725, 94501799]
[206045465, 25751687, 125958478, 78296307, 75256724, 51705123]
[206045465, 237134557, 98501963, 193035196, 217614723, 45917973]
[206045465, 237134557, 98501963, 193035196, 7380439, 102964024]
[206045465, 237134557, 98501963, 193035196, 127476587, 18871047]
[206045465, 25751687, 125958478, 78296307, 75256724, 247595002]
[206045465, 237134557, 98501963, 193035196, 86116500, 144864387]
[206045465, 237134557, 98501963, 193035196, 217614723, 236203140]
[206045465, 237134557, 98501963, 193035196, 86116500, 164105471]
[93013133, 79078986, 20365635, 126967462, 213865166]
[206045465, 237134557, 98501963, 193035196, 86116500, 123335086]
[93013133, 79078986, 20365635, 126967462, 179682725, 57505433]
[206045465, 237134557, 98501963, 193035196, 217614723, 57030899]
[206045465, 25751687, 125958478, 78296307, 75256724, 243309496]
[206045465, 25751687, 125958478, 78296307, 75256724, 224857414]
[93013133, 79078986, 27477927, 85043021, 236177433, 55544901]
[93013133, 79078986, 20365635, 126967462, 179682725, 61597413]
[93013133, 79078986, 20365635, 126967462, 179682725, 136547745]
[206045465, 237134557, 98501963, 193035196, 7380439, 57809159]
[206045465, 237134557, 98501963, 193035196, 86116500, 138657541]
[93013133, 79078986, 20365635, 126967462, 219258222]
[206045465, 237134557, 98501963, 193035196, 217614723, 16742382]
[206045465, 237134557, 98501963, 193035196, 86116500, 21022565]
[206045465, 237134557, 98501963, 193035196, 127476587, 103002764]
[206045465, 237134557, 98501963, 193035196, 7380439, 148438932]
[93013133, 79078986, 27477927, 85043021, 84166967, 32460557]
[206045465, 237134557, 98501963, 193035196, 217614723, 166321205]
[206045465, 237134557, 98501963, 193035196, 86116500, 201151636]
[93013133, 79078986, 20365635, 126967462, 178784522]
[93013133, 79078986, 20365635, 126967462, 77378013]
[206045465, 237134557, 98501963, 193035196, 217614723, 181682335]
[93013133, 79078986, 20365635, 126967462, 231079566]
[206045465, 25751687, 125958478, 194460356, 135388072, 96208310]
[93013133, 79078986, 27477927, 85043021, 236177433, 105672563]
[93013133, 79078986, 27477927, 85043021, 236177433, 51062794]
[93013133, 79078986, 20365635, 126967462, 94675741]
[206045465, 237134557, 98501963, 193035196, 86116500, 168144525]
[206045465, 237134557, 98501963, 193035196, 217614723, 37237813]
[206045465, 237134557, 98501963, 193035196, 86116500, 235260927]
[206045465, 237134557, 98501963, 193035196, 86116500, 186607698]
[206045465, 237134557, 98501963, 193035196, 217614723, 137401259]
[93013133, 79078986, 20365635, 126967462, 169581038]
[206045465, 25751687, 125958478, 194460356, 135388072, 34848707]
[206045465, 237134557, 98501963, 193035196, 86116500, 233340394]
[206045465, 25751687, 125958478, 78296307, 75256724, 4190859]
[206045465, 237134557, 98501963, 193035196, 217614723, 127279094]
[206045465, 237134557, 98501963, 193035196, 7380439, 215000717]
[93013133, 79078986, 20365635, 126967462, 179682725, 12281183]
[93013133, 79078986, 27477927, 85043021, 84166967, 197922748]
[93013133, 79078986, 20365635, 126967462, 179682725, 92342213]
[206045465, 237134557, 98501963, 193035196, 217614723, 128763278]
[206045465, 237134557, 98501963, 193035196, 127476587, 149232790]
[206045465, 237134557, 98501963, 193035196, 127476587, 239595073]
[93013133, 79078986, 20365635, 126967462, 223954563]
[206045465, 237134557, 98501963, 193035196, 127476587, 188793711]
[206045465, 237134557, 98501963, 193035196, 127476587, 237941846]
[206045465, 25751687, 125958478, 194460356, 135388072, 168171161]
[93013133, 79078986, 20365635, 126967462, 179682725, 99714319]
[93013133, 79078986, 20365635, 126967462, 51159880]
[206045465, 25751687, 125958478, 194460356, 135388072, 160139637]
[93013133, 79078986, 20365635, 126967462, 229005668]
[93013133, 79078986, 20365635, 126967462, 74667404]
[206045465, 25751687, 125958478, 194460356, 135388072, 64687119]
[93013133, 79078986, 27477927, 85043021, 236177433, 204023066]
[93013133, 79078986, 27477927, 85043021, 84166967, 143167185]
[93013133, 79078986, 20365635, 126967462, 179682725, 175390681]
[93013133, 79078986, 20365635, 126967462, 219046788]
[206045465, 237134557, 98501963, 193035196, 217614723, 230174787]
[206045465, 25751687, 125958478, 194460356, 135388072, 247198072]
[93013133, 79078986, 20365635, 126967462, 179682725, 241306915]
[93013133, 79078986, 20365635, 126967462, 21975745]
[206045465, 25751687, 125958478, 78296307, 75256724, 150994813]
[206045465, 237134557, 98501963, 193035196, 217614723, 73887178]
[206045465, 237134557, 98501963, 193035196, 217614723, 166181343]
[206045465, 25751687, 125958478, 194460356, 135388072, 177020397]
[93013133, 79078986, 27477927, 85043021, 84166967, 99141046]
[206045465, 237134557, 98501963, 193035196, 127476587, 131959830]
[206045465, 237134557, 98501963, 193035196, 7380439, 223478425]
[93013133, 79078986, 27477927, 85043021, 236177433, 38387425]
[93013133, 79078986, 20365635, 126967462, 179682725, 154247209]
[206045465, 237134557, 98501963, 193035196, 86116500, 77718894]
[93013133, 79078986, 27477927, 85043021, 236177433, 83361761]
[206045465, 237134557, 98501963, 193035196, 127476587, 8230161]
[206045465, 25751687, 125958478, 78296307, 75256724, 92571664]
[93013133, 79078986, 20365635, 126967462, 158195012]
[206045465, 237134557, 98501963, 193035196, 7380439, 44593274]
[206045465, 237134557, 98501963, 193035196, 86116500, 120003766]
[206045465, 25751687, 125958478, 78296307, 75256724, 78480124]
[93013133, 79078986, 20365635, 126967462, 179682725, 87522095]
[206045465, 237134557, 98501963, 193035196, 7380439, 166978324]
[93013133, 79078986, 20365635, 126967462, 93094384]
[93013133, 79078986, 27477927, 85043021, 236177433, 198519472]
[206045465, 237134557, 98501963, 193035196, 7380439, 106360066]
[206045465, 25751687, 125958478, 194460356, 135388072, 184590336]
[206045465, 237134557, 98501963, 193035196, 7380439, 209041078]
