[242523906, 87860037]
[206045465, 25751687, 172897029]
[206045465, 237134557, 70032423]
[25203414, 174344902, 62403995]
[93013133, 2876449, 229021485]
[206045465, 237134557, 52456992]
[206045465, 25751687, 127169697]
[206045465, 4828180, 153751734]
[206045465, 195702604, 112478297]
[206045465, 105700008, 204688003]
[206045465, 4828180, 27595387]
[206045465, 237134557, 157004779]
[206045465, 4828180, 102978930]
[206045465, 237134557, 164135568]
[206045465, 195702604, 95344684]
[93013133, 2876449, 30224108]
[93013133, 79078986, 119615218]
[206045465, 25751687, 213728318]
[206045465, 25751687, 237163601]
[93013133, 2876449, 157464201]
[206045465, 237134557, 40899177]
[93013133, 79078986, 157582032]
[93013133, 2876449, 51990024]
[206045465, 195702604, 118494056]
[206045465, 25297134, 173467798]
[206045465, 237134557, 174964743]
[206045465, 237134557, 76285110]
[206045465, 195702604, 247363078]
[93013133, 2876449, 126018535]
[206045465, 105700008, 216885088]
[93013133, 79078986, 208879877]
[242523906, 87860037, 247590712]
[206045465, 25297134, 108897983]
[93013133, 79078986, 90494490]
[242523906, 87860037, 206689156]
[206045465, 195702604, 202541388]
[206045465, 4828180, 224147512]
[93013133, 2876449, 209750316]
[206045465, 105700008, 152399972]
[206045465, 237134557, 94311618]
[206045465, 4828180, 215112082]
[93013133, 2876449, 188526220]
[206045465, 4828180, 149417582]
[206045465, 25751687, 94261833]
[206045465, 4828180, 203533930]
[93013133, 2876449, 165034145]
[206045465, 25751687, 70841273]
[206045465, 195702604, 32547333]
[206045465, 237134557, 18146065]
[206045465, 195702604, 66533675]
[206045465, 237134557, 75435163]
[206045465, 4828180, 152439846]
[242523906, 87860037, 216807089]
[206045465, 105700008, 158422055]
[206045465, 25751687, 185702711]
[206045465, 25751687, 61761654]
[242523906, 87860037, 231961405]
[25203414, 174344902, 204936362]
[206045465, 4828180, 138280712]
[242523906, 87860037, 21515838]
[206045465, 195702604, 182211020]
[93013133, 2876449, 114725014]
[93013133, 2876449, 218654252]
[206045465, 195702604, 90228015]
[206045465, 237134557, 67765317]
[206045465, 195702604, 243561726]
[93013133, 2876449, 152029385]
[206045465, 237134557, 88241079]
[206045465, 25297134, 75291408]
[206045465, 105700008, 29610740]
[242523906, 87860037, 139025331]
[206045465, 4828180, 88762271]
[206045465, 25751687, 47790744]
[93013133, 79078986, 95627561]
[206045465, 4828180, 9459677]
[242523906, 87860037, 198474681]
[206045465, 105700008, 3742743]
[93013133, 2876449, 86431164]
[206045465, 105700008, 98283439]
[206045465, 105700008, 203439325]
[206045465, 25297134, 104269421]
[206045465, 195702604, 191051563]
[206045465, 195702604, 139854942]
[206045465, 25297134, 8543505]
[93013133, 79078986, 39318956]
[25203414, 174344902, 53089637]
[206045465, 25751687, 109317753]
[206045465, 4828180, 222740626]
[242523906, 87860037, 245070071]
[93013133, 79078986, 14972386]
[206045465, 4828180, 40076647]
[93013133, 2876449, 79656373]
[206045465, 105700008, 89654830]
[25203414, 174344902, 177876812]
[93013133, 2876449, 154617987]
[25203414, 174344902, 136334725]
[93013133, 79078986, 195376282]
[206045465, 25751687, 183804148]
[93013133, 2876449, 96113222]
[206045465, 25297134, 142193183]
[206045465, 25751687, 118502127]
[93013133, 2876449, 85861285]
[25203414, 174344902, 158753265]
[206045465, 195702604, 202262283]
[206045465, 4828180, 69986549]
[206045465, 105700008, 76524368]
[206045465, 105700008, 225801387]
[206045465, 195702604, 244237163]
[93013133, 79078986, 2616470]
[206045465, 237134557, 98501963]
[206045465, 25751687, 211825739]
[206045465, 25751687, 120151214]
[242523906, 87860037, 182604960]
[93013133, 79078986, 43052854]
[25203414, 174344902, 191223263]
[242523906, 87860037, 90801716]
[242523906, 87860037, 175809051]
[93013133, 79078986, 207551607]
[206045465, 237134557, 235822569]
[206045465, 25751687, 185068233]
[93013133, 79078986, 102327870]
[93013133, 79078986, 158134135]
[93013133, 79078986, 232460725]
[242523906, 87860037, 162548059]
[206045465, 237134557, 33976218]
[206045465, 195702604, 120895720]
[206045465, 25297134, 16994620]
[206045465, 105700008, 222951256]
[206045465, 4828180, 171662951]
[93013133, 79078986, 118568075]
[206045465, 105700008, 82831420]
[206045465, 105700008, 238993583]
[242523906, 87860037, 9683639]
[25203414, 174344902, 35556619]
[93013133, 2876449, 92341010]
[206045465, 105700008, 141800693]
[206045465, 4828180, 91227556]
[206045465, 4828180, 242211130]
[206045465, 237134557, 88384303]
[206045465, 237134557, 69255176]
[25203414, 174344902, 85163807]
[206045465, 105700008, 29841833]
[206045465, 195702604, 85174165]
[206045465, 4828180, 143560408]
[206045465, 25297134, 200612777]
[25203414, 174344902, 76404882]
[25203414, 174344902, 16188904]
[93013133, 79078986, 228884234]
[206045465, 105700008, 47892761]
[206045465, 4828180, 13885028]
[206045465, 105700008, 153275827]
[242523906, 87860037, 154187501]
[242523906, 87860037, 241014305]
[242523906, 87860037, 152975740]
[206045465, 4828180, 237320845]
[25203414, 174344902, 119423559]
[242523906, 87860037, 184835447]
[25203414, 174344902, 235900211]
[206045465, 237134557, 33723727]
[206045465, 105700008, 235312456]
[206045465, 195702604, 207668512]
[206045465, 105700008, 120414655]
[93013133, 79078986, 5551808]
[242523906, 87860037, 56322966]
[206045465, 195702604, 35248151]
[206045465, 105700008, 140735954]
[206045465, 4828180, 138760215]
[206045465, 25751687, 197870033]
[206045465, 105700008, 223475104]
[206045465, 25751687, 84960682]
[25203414, 174344902, 204936467]
[242523906, 87860037, 82022229]
[206045465, 4828180, 177516776]
[93013133, 79078986, 130436462]
[25203414, 174344902, 119689561]
[242523906, 87860037, 142644120]
[206045465, 25297134, 52934275]
[206045465, 105700008, 179187856]
[206045465, 4828180, 197422771]
[93013133, 79078986, 70443617]
[242523906, 87860037, 19063274]
[206045465, 105700008, 184201206]
[206045465, 237134557, 158682995]
[242523906, 87860037, 163149978]
[206045465, 237134557, 209463878]
[206045465, 237134557, 200640643]
[206045465, 4828180, 105037602]
[25203414, 174344902, 106015169]
[206045465, 4828180, 63276350]
[206045465, 25297134, 221463876]
[206045465, 25751687, 107076528]
[206045465, 237134557, 167190380]
[206045465, 237134557, 55930793]
[206045465, 237134557, 154302450]
[206045465, 105700008, 170118437]
[242523906, 87860037, 26267362]
[206045465, 237134557, 167572387]
[206045465, 195702604, 100876936]
[93013133, 79078986, 44806603]
[206045465, 195702604, 130312032]
[206045465, 195702604, 94924052]
[206045465, 105700008, 119995330]
[242523906, 87860037, 138182501]
[93013133, 79078986, 72067236]
[206045465, 105700008, 105863929]
[242523906, 87860037, 13501000]
[25203414, 174344902, 120792160]
[242523906, 87860037, 245147263]
[242523906, 87860037, 181987780]
[93013133, 79078986, 38144222]
[206045465, 237134557, 78648547]
[93013133, 79078986, 224330433]
[242523906, 87860037, 141914240]
[206045465, 4828180, 186148821]
[206045465, 237134557, 204691982]
[206045465, 4828180, 215746696]
[93013133, 79078986, 40806569]
[206045465, 25751687, 230356032]
[206045465, 4828180, 200130133]
[206045465, 195702604, 31237448]
[242523906, 87860037, 223233945]
[93013133, 2876449, 99765194]
[206045465, 237134557, 247475613]
[206045465, 4828180, 220843471]
[206045465, 237134557, 209087308]
[206045465, 237134557, 207940528]
[206045465, 25297134, 193512164]
[242523906, 87860037, 69365113]
[206045465, 195702604, 34259780]
[93013133, 79078986, 58877355]
[206045465, 4828180, 39867445]
[93013133, 79078986, 127272399]
[206045465, 4828180, 87186756]
[206045465, 237134557, 69900709]
[206045465, 237134557, 100674518]
[25203414, 174344902, 193680724]
[93013133, 2876449, 1652495]
[206045465, 237134557, 161735732]
[206045465, 25751687, 16655635]
[206045465, 195702604, 240583982]
[93013133, 2876449, 192440466]
[206045465, 4828180, 126312023]
[242523906, 87860037, 60095375]
[206045465, 4828180, 200385723]
[206045465, 4828180, 140083284]
[93013133, 2876449, 11684131]
[93013133, 79078986, 58240567]
[25203414, 174344902, 45850321]
[242523906, 87860037, 155464381]
[242523906, 87860037, 53951146]
[206045465, 195702604, 134258713]
[206045465, 4828180, 191491212]
[93013133, 2876449, 242389978]
[93013133, 2876449, 70767641]
[206045465, 195702604, 7127907]
[93013133, 79078986, 67283519]
[206045465, 4828180, 213631115]
[206045465, 105700008, 154072067]
[206045465, 25751687, 184432459]
[206045465, 4828180, 235392579]
[206045465, 195702604, 150941521]
[93013133, 79078986, 191264712]
[93013133, 2876449, 106358330]
[206045465, 25751687, 30615551]
[206045465, 25297134, 221487029]
[206045465, 4828180, 25962112]
[206045465, 25297134, 74434997]
[206045465, 4828180, 179781222]
[206045465, 195702604, 75207000]
[206045465, 25751687, 156041913]
[206045465, 25297134, 216187471]
[206045465, 25297134, 177433985]
[93013133, 79078986, 116099797]
[93013133, 2876449, 2583760]
[93013133, 79078986, 86320875]
[93013133, 2876449, 125153137]
[206045465, 195702604, 145081579]
[206045465, 4828180, 229844002]
[206045465, 105700008, 55921202]
[206045465, 25751687, 100780381]
[206045465, 4828180, 151296937]
[93013133, 2876449, 141219812]
[93013133, 2876449, 175117399]
[206045465, 237134557, 200395942]
[206045465, 105700008, 129092746]
[242523906, 87860037, 55546467]
[206045465, 237134557, 47766371]
[93013133, 2876449, 9302175]
[25203414, 174344902, 12453180]
[206045465, 195702604, 171287914]
[206045465, 25297134, 120410634]
[206045465, 4828180, 29037586]
[206045465, 25297134, 246931163]
[206045465, 105700008, 25788531]
[206045465, 195702604, 230882267]
[206045465, 25297134, 173464060]
[206045465, 105700008, 43322095]
[206045465, 195702604, 147841196]
[206045465, 237134557, 208382913]
[206045465, 105700008, 16494230]
[242523906, 87860037, 199750827]
[206045465, 105700008, 47456796]
[93013133, 79078986, 189986845]
[242523906, 87860037, 117796392]
[25203414, 174344902, 104307713]
[206045465, 25751687, 245710512]
[93013133, 79078986, 51713600]
[206045465, 105700008, 140305827]
[206045465, 195702604, 24206781]
[206045465, 195702604, 121717221]
[93013133, 79078986, 80795491]
[242523906, 87860037, 117119069]
[242523906, 87860037, 211133781]
[93013133, 79078986, 159303263]
[25203414, 174344902, 33221845]
[25203414, 174344902, 198909133]
[206045465, 237134557, 112493165]
[206045465, 4828180, 168554653]
[93013133, 2876449, 119071703]
[206045465, 195702604, 103837801]
[206045465, 195702604, 232894176]
[206045465, 105700008, 225480255]
[93013133, 79078986, 137093402]
[206045465, 25297134, 225209055]
[206045465, 105700008, 148840556]
[93013133, 2876449, 240059115]
[206045465, 25297134, 215848313]
[206045465, 25297134, 117809569]
[25203414, 174344902, 170232415]
[206045465, 25751687, 131619354]
[206045465, 237134557, 240178580]
[206045465, 105700008, 208262196]
[206045465, 195702604, 61253871]
[206045465, 237134557, 239474196]
[206045465, 4828180, 76005439]
[206045465, 25297134, 83689950]
[206045465, 4828180, 86415716]
[93013133, 2876449, 119220018]
[206045465, 4828180, 6668348]
[93013133, 79078986, 121587143]
[206045465, 25751687, 23803790]
[206045465, 237134557, 175122755]
[206045465, 237134557, 4364831]
[206045465, 105700008, 145953867]
[25203414, 174344902, 220329444]
[206045465, 25751687, 133523077]
[242523906, 87860037, 44000905]
[206045465, 237134557, 19573621]
[206045465, 25751687, 120221080]
[93013133, 2876449, 19390429]
[206045465, 237134557, 45325985]
[206045465, 105700008, 242101176]
[206045465, 25751687, 163387558]
[25203414, 174344902, 220143733]
[242523906, 87860037, 134804724]
[206045465, 4828180, 221486634]
[206045465, 195702604, 232994201]
[25203414, 174344902, 25411458]
[206045465, 25751687, 134219977]
[25203414, 174344902, 126440214]
[206045465, 25751687, 211429472]
[206045465, 25297134, 201200565]
[242523906, 87860037, 56800644]
[206045465, 105700008, 211684733]
[206045465, 25751687, 91429714]
[206045465, 25751687, 53789524]
[206045465, 25751687, 195421822]
[206045465, 237134557, 234121104]
[206045465, 4828180, 99610810]
[206045465, 237134557, 111169674]
[25203414, 174344902, 241056061]
[206045465, 105700008, 52984489]
[93013133, 79078986, 72530216]
[242523906, 87860037, 242132142]
[206045465, 4828180, 176259969]
[206045465, 4828180, 70469281]
[206045465, 237134557, 117313549]
[206045465, 4828180, 98478884]
[206045465, 195702604, 229649913]
[206045465, 105700008, 213646025]
[242523906, 87860037, 228254765]
[242523906, 87860037, 33533118]
[206045465, 4828180, 81911904]
[242523906, 87860037, 12146068]
[206045465, 237134557, 233391962]
[25203414, 174344902, 206481059]
[93013133, 79078986, 205779591]
[93013133, 2876449, 39399934]
[206045465, 195702604, 54611294]
[206045465, 4828180, 217969411]
[206045465, 25297134, 119665469]
[206045465, 195702604, 178719533]
[206045465, 25751687, 70201198]
[93013133, 2876449, 82055578]
[206045465, 105700008, 214930816]
[25203414, 174344902, 197613830]
[206045465, 4828180, 178320370]
[206045465, 237134557, 140943025]
[93013133, 2876449, 188530035]
[206045465, 195702604, 132749083]
[93013133, 79078986, 135498600]
[206045465, 25751687, 177025370]
[206045465, 237134557, 160146269]
[206045465, 25751687, 83238445]
[93013133, 79078986, 27822080]
[206045465, 105700008, 248926124]
[206045465, 195702604, 194044061]
[206045465, 4828180, 105019945]
[206045465, 195702604, 2408990]
[206045465, 25751687, 214034586]
[93013133, 2876449, 54265272]
[25203414, 174344902, 243980348]
[93013133, 79078986, 229738859]
[206045465, 195702604, 58352384]
[206045465, 25751687, 89906603]
[206045465, 25751687, 74890011]
[206045465, 105700008, 237820170]
[206045465, 4828180, 77125933]
[206045465, 25751687, 211429717]
[93013133, 79078986, 159710821]
[206045465, 25297134, 91358510]
[206045465, 237134557, 246504322]
[242523906, 87860037, 165412353]
[242523906, 87860037, 122907685]
[206045465, 25297134, 214748942]
[206045465, 237134557, 170427922]
[206045465, 237134557, 67710689]
[206045465, 195702604, 26872903]
[206045465, 25751687, 128792225]
[206045465, 4828180, 223004470]
[93013133, 79078986, 75663124]
[206045465, 237134557, 117789356]
[206045465, 237134557, 69804747]
[93013133, 2876449, 106363867]
[206045465, 105700008, 27847067]
[93013133, 2876449, 111050574]
[206045465, 105700008, 144063868]
[242523906, 87860037, 14764354]
[25203414, 174344902, 160557761]
[206045465, 4828180, 129821938]
[206045465, 237134557, 149087841]
[206045465, 195702604, 82203124]
[206045465, 195702604, 243084635]
[206045465, 25751687, 228137915]
[206045465, 25297134, 18787825]
[93013133, 79078986, 153473879]
[206045465, 25751687, 71461375]
[206045465, 105700008, 66160499]
[206045465, 105700008, 191170965]
[206045465, 195702604, 143188070]
[206045465, 237134557, 132473683]
[206045465, 195702604, 20242516]
[206045465, 105700008, 3300686]
[93013133, 79078986, 125143530]
[206045465, 4828180, 98767688]
[206045465, 195702604, 62058578]
[206045465, 25751687, 37862880]
[25203414, 174344902, 72120469]
[206045465, 25751687, 111657547]
[206045465, 105700008, 168324930]
[206045465, 4828180, 202857575]
[206045465, 105700008, 25811537]
[206045465, 25751687, 136350910]
[206045465, 25751687, 218869188]
[206045465, 25751687, 43855580]
[242523906, 87860037, 240562209]
[206045465, 25297134, 16093467]
[93013133, 79078986, 84757153]
[93013133, 79078986, 118459885]
[206045465, 195702604, 75922435]
[206045465, 237134557, 108312061]
[206045465, 105700008, 23051020]
[93013133, 2876449, 23679158]
[206045465, 25297134, 17507207]
[206045465, 195702604, 216997875]
[206045465, 195702604, 37118752]
[206045465, 4828180, 181484455]
[25203414, 174344902, 154984856]
[206045465, 4828180, 70589032]
[206045465, 25297134, 5055114]
[242523906, 87860037, 187130477]
[206045465, 105700008, 92273669]
[206045465, 4828180, 191896754]
[206045465, 105700008, 136149793]
[93013133, 2876449, 8454724]
[206045465, 195702604, 43841781]
[25203414, 174344902, 243219176]
[206045465, 25751687, 122106301]
[206045465, 237134557, 119645647]
[206045465, 25751687, 211623269]
[25203414, 174344902, 153886211]
[93013133, 2876449, 82185479]
[25203414, 174344902, 86983624]
[25203414, 174344902, 19169876]
[206045465, 195702604, 75113337]
[206045465, 4828180, 110246067]
[206045465, 237134557, 217581947]
[206045465, 25751687, 248829733]
[242523906, 87860037, 69698109]
[206045465, 237134557, 194997521]
[25203414, 174344902, 91251701]
[206045465, 195702604, 214327126]
[206045465, 195702604, 187248265]
[93013133, 2876449, 174413549]
[242523906, 87860037, 3533489]
[93013133, 79078986, 118675807]
[206045465, 195702604, 145384819]
[206045465, 4828180, 97486999]
[206045465, 25297134, 153399121]
[25203414, 174344902, 116822399]
[206045465, 237134557, 23571569]
[206045465, 25751687, 223701471]
[206045465, 25297134, 124980013]
[206045465, 195702604, 68779057]
[242523906, 87860037, 155778302]
[206045465, 4828180, 206408323]
[242523906, 87860037, 221858169]
[206045465, 195702604, 207719289]
[206045465, 25297134, 168682328]
[206045465, 237134557, 113460671]
[93013133, 2876449, 46501669]
[93013133, 79078986, 58336351]
[206045465, 195702604, 26903511]
[206045465, 25751687, 132609949]
[206045465, 105700008, 163932211]
[206045465, 237134557, 64674386]
[25203414, 174344902, 6442425]
[206045465, 237134557, 160131627]
[206045465, 105700008, 40269491]
[206045465, 105700008, 3121036]
[206045465, 237134557, 137128088]
[206045465, 195702604, 164997148]
[93013133, 2876449, 237410499]
[93013133, 2876449, 213579423]
[242523906, 87860037, 53982599]
[93013133, 2876449, 115874149]
[206045465, 105700008, 13464979]
[206045465, 237134557, 149630395]
[206045465, 195702604, 88244828]
[206045465, 25297134, 238398364]
[93013133, 2876449, 100256979]
[93013133, 79078986, 212114780]
[206045465, 105700008, 22931874]
[242523906, 87860037, 27991944]
[206045465, 4828180, 54577377]
[206045465, 4828180, 100094152]
[206045465, 25297134, 117219064]
[206045465, 237134557, 177721196]
[25203414, 174344902, 72161113]
[93013133, 2876449, 179850411]
[93013133, 2876449, 236673266]
[206045465, 4828180, 116808320]
[206045465, 4828180, 68032056]
[206045465, 195702604, 177492226]
[25203414, 174344902, 65352139]
[206045465, 25297134, 184566733]
[206045465, 237134557, 22071393]
[242523906, 87860037, 159836479]
[206045465, 4828180, 6686547]
[206045465, 4828180, 53049860]
[206045465, 237134557, 148682097]
[25203414, 174344902, 165477083]
[206045465, 237134557, 121996822]
[206045465, 105700008, 241640362]
[206045465, 105700008, 170917622]
[93013133, 79078986, 123435235]
[242523906, 87860037, 236453977]
[206045465, 105700008, 71531680]
[242523906, 87860037, 172423797]
[206045465, 25297134, 38406530]
[206045465, 195702604, 148088018]
[25203414, 174344902, 131179388]
[93013133, 79078986, 14288743]
[93013133, 79078986, 163678177]
[206045465, 237134557, 108552362]
[206045465, 25297134, 165718801]
[93013133, 79078986, 24582503]
[206045465, 195702604, 207710245]
[206045465, 25751687, 141110372]
[206045465, 25751687, 161764418]
[206045465, 4828180, 244007807]
[93013133, 2876449, 14210081]
[206045465, 195702604, 56552251]
[206045465, 237134557, 202955918]
[206045465, 4828180, 61744509]
[25203414, 174344902, 30461078]
[206045465, 4828180, 223709876]
[206045465, 25297134, 88299968]
[25203414, 174344902, 95083218]
[206045465, 195702604, 216143677]
[206045465, 195702604, 121694012]
[206045465, 195702604, 85296050]
[25203414, 174344902, 51240641]
[206045465, 4828180, 211666007]
[242523906, 87860037, 14367578]
[242523906, 87860037, 86232511]
[93013133, 79078986, 153232651]
[93013133, 2876449, 244158621]
[206045465, 195702604, 148074027]
[206045465, 195702604, 201317290]
[206045465, 25297134, 219043522]
[25203414, 174344902, 3368810]
[93013133, 79078986, 131989503]
[206045465, 4828180, 225122475]
[206045465, 237134557, 156178365]
[242523906, 87860037, 182470993]
[206045465, 25751687, 153115194]
[206045465, 25297134, 116473420]
[206045465, 105700008, 39070793]
[93013133, 79078986, 186346137]
[206045465, 105700008, 163680837]
[206045465, 105700008, 15342246]
[206045465, 4828180, 222130560]
[93013133, 79078986, 182167780]
[25203414, 174344902, 203566017]
[206045465, 195702604, 50476215]
[242523906, 87860037, 175280383]
[93013133, 2876449, 155894507]
[242523906, 87860037, 138588549]
[93013133, 79078986, 193379344]
[206045465, 4828180, 95201008]
[206045465, 105700008, 60243596]
[206045465, 4828180, 155049991]
[242523906, 87860037, 128421823]
[206045465, 25751687, 74780054]
[206045465, 195702604, 74468426]
[206045465, 4828180, 220821417]
[206045465, 237134557, 157255785]
[206045465, 237134557, 80311322]
[93013133, 2876449, 199967963]
[206045465, 237134557, 151342842]
[25203414, 174344902, 97668757]
[206045465, 195702604, 46939691]
[206045465, 195702604, 198323076]
[206045465, 195702604, 198581147]
[93013133, 2876449, 163452596]
[242523906, 87860037, 216365927]
[93013133, 2876449, 117562911]
[93013133, 79078986, 40951767]
[206045465, 195702604, 201964685]
[25203414, 174344902, 198442672]
[93013133, 79078986, 28712344]
[93013133, 79078986, 56645915]
[93013133, 2876449, 136110391]
[25203414, 174344902, 16076551]
[206045465, 4828180, 37095050]
[242523906, 87860037, 5733832]
[206045465, 4828180, 240775259]
[206045465, 105700008, 109490568]
[206045465, 105700008, 212936126]
[206045465, 25297134, 192998134]
[206045465, 25297134, 161991549]
[206045465, 237134557, 30159346]
[93013133, 79078986, 60175787]
[206045465, 195702604, 222546193]
[206045465, 25751687, 13802086]
[206045465, 237134557, 96616357]
[206045465, 195702604, 180258018]
[206045465, 25297134, 6821110]
[206045465, 25297134, 152832887]
[93013133, 2876449, 52735860]
[206045465, 105700008, 117818803]
[206045465, 4828180, 202239506]
[93013133, 79078986, 116629551]
[206045465, 237134557, 16318357]
[206045465, 195702604, 55287478]
[93013133, 2876449, 55294778]
[206045465, 4828180, 133158120]
[206045465, 195702604, 90550747]
[25203414, 174344902, 89341511]
[206045465, 237134557, 103704003]
[206045465, 105700008, 207217054]
[93013133, 79078986, 146156502]
[242523906, 87860037, 203043778]
[206045465, 237134557, 30771541]
[206045465, 25297134, 167833502]
[206045465, 105700008, 6494470]
[25203414, 174344902, 144739890]
[25203414, 174344902, 57278259]
[93013133, 79078986, 54324531]
[206045465, 4828180, 229068835]
[206045465, 105700008, 127393911]
[242523906, 87860037, 165178772]
[206045465, 237134557, 55988445]
[93013133, 2876449, 210352002]
[93013133, 79078986, 65690475]
[206045465, 237134557, 88668624]
[206045465, 4828180, 144549648]
[242523906, 87860037, 152451109]
[25203414, 174344902, 112866059]
[206045465, 195702604, 233078093]
[206045465, 25297134, 32410439]
[206045465, 195702604, 50194111]
[206045465, 4828180, 116002489]
[206045465, 105700008, 101142494]
[206045465, 4828180, 193854153]
[206045465, 25751687, 26786921]
[25203414, 174344902, 19796190]
[206045465, 25751687, 48614411]
[242523906, 87860037, 144979206]
[206045465, 105700008, 149329294]
[242523906, 87860037, 16024167]
[206045465, 195702604, 192938911]
[25203414, 174344902, 210027624]
[206045465, 237134557, 215949792]
[93013133, 79078986, 25329656]
[242523906, 87860037, 191885385]
[206045465, 105700008, 248697252]
[242523906, 87860037, 117134864]
[206045465, 105700008, 185704501]
[206045465, 4828180, 219170088]
[206045465, 4828180, 87023051]
[206045465, 237134557, 126047169]
[206045465, 105700008, 126000924]
[206045465, 25751687, 53359090]
[206045465, 25297134, 59164264]
