[93013133, 79078986, 20365635, 126967462]
[93013133, 79078986, 27477927, 151118393, 92493895]
[93013133, 79078986, 27477927, 85043021, 126201542]
[206045465, 237134557, 150819137, 109197033, 210532851]
[206045465, 237134557, 98501963, 193035196, 141125439]
[206045465, 25751687, 125958478, 194460356, 159876809]
[93013133, 79078986, 20365635, 126967462, 218819639]
[93013133, 79078986, 20365635, 126967462, 146114212]
[206045465, 237134557, 98501963, 86815007]
[93013133, 79078986, 27477927, 146897913, 146330510]
[93013133, 79078986, 27477927, 146897913, 201639731]
[93013133, 79078986, 20365635, 126967462, 197619250]
[206045465, 237134557, 98501963, 29183102]
[93013133, 79078986, 27477927, 85043021, 58241627]
[206045465, 237134557, 98501963, 2029428]
[206045465, 237134557, 98501963, 226396625]
[206045465, 25751687, 125958478, 78296307, 245961419]
[206045465, 237134557, 150819137, 109197033, 76625592]
[93013133, 79078986, 20365635, 126302347, 130486414]
[93013133, 79078986, 27477927, 85043021, 131628783]
[93013133, 79078986, 20365635, 126967462, 72600818]
[93013133, 79078986, 20365635, 126967462, 14346613]
[206045465, 25751687, 125958478, 78296307, 150151556]
[93013133, 79078986, 20365635, 126302347, 177950249]
[206045465, 237134557, 150819137, 109197033, 13749978]
[206045465, 25751687, 125958478, 78296307, 237488409]
[206045465, 237134557, 98501963, 193035196, 172852603]
[93013133, 79078986, 20365635, 126967462, 243510612]
[206045465, 237134557, 150819137, 109197033, 172095322]
[93013133, 79078986, 27477927, 146897913, 85374022]
[206045465, 237134557, 150819137, 109197033, 180771725]
[206045465, 25751687, 125958478, 78296307, 144663412]
[93013133, 79078986, 20365635, 126967462, 1978560]
[206045465, 25751687, 125958478, 194460356, 89661360]
[206045465, 237134557, 98501963, 22464180]
[206045465, 237134557, 98501963, 193035196, 150793499]
[206045465, 237134557, 150819137, 109197033, 243146796]
[206045465, 237134557, 98501963, 193035196, 192979682]
[93013133, 79078986, 20365635, 126967462, 203655154]
[206045465, 237134557, 98501963, 193035196, 214666457]
[93013133, 79078986, 20365635, 126967462, 49708051]
[93013133, 79078986, 27477927, 151118393, 151519707]
[206045465, 237134557, 98501963, 245986906]
[206045465, 237134557, 150819137, 109197033, 28569650]
[206045465, 25751687, 125958478, 78296307, 100871580]
[206045465, 237134557, 150819137, 109197033, 135636383]
[206045465, 237134557, 150819137, 109197033, 126181251]
[93013133, 79078986, 27477927, 85043021, 48663708]
[93013133, 79078986, 20365635, 126967462, 69054214]
[206045465, 237134557, 98501963, 147037145]
[206045465, 237134557, 98501963, 193035196, 38775698]
[93013133, 79078986, 27477927, 85043021, 90652639]
[206045465, 237134557, 150819137, 109197033, 63639018]
[93013133, 79078986, 27477927, 146897913, 112389394]
[93013133, 79078986, 20365635, 126967462, 50664563]
[206045465, 25751687, 125958478, 78296307, 131225966]
[93013133, 79078986, 27477927, 151118393, 228273622]
[93013133, 79078986, 27477927, 85043021, 223385690]
[206045465, 237134557, 98501963, 13044305]
[93013133, 79078986, 27477927, 151118393, 5571075]
[93013133, 79078986, 27477927, 85043021, 145087600]
[206045465, 237134557, 150819137, 109197033, 67241231]
[93013133, 79078986, 27477927, 151118393, 137925425]
[93013133, 79078986, 20365635, 126302347, 170798476]
[206045465, 237134557, 150819137, 109197033, 52352298]
[93013133, 79078986, 20365635, 126967462, 109225108]
[93013133, 79078986, 27477927, 146897913, 159428264]
[206045465, 237134557, 98501963, 193035196, 52838778]
[206045465, 25751687, 125958478, 78296307, 22502352]
[206045465, 25751687, 125958478, 194460356, 68722223]
[206045465, 237134557, 98501963, 122387075]
[206045465, 237134557, 98501963, 193035196, 221785468]
[93013133, 79078986, 27477927, 85043021, 155774801]
[206045465, 237134557, 98501963, 235144696]
[93013133, 79078986, 20365635, 126302347, 49189788]
[206045465, 25751687, 125958478, 78296307, 120476369]
[206045465, 25751687, 125958478, 78296307, 168142900]
[93013133, 79078986, 27477927, 151118393, 161466534]
[93013133, 79078986, 20365635, 126967462, 23183447]
[206045465, 25751687, 125958478, 78296307, 46928052]
[93013133, 79078986, 27477927, 85043021, 50907373]
[206045465, 237134557, 98501963, 193035196, 77549439]
[206045465, 237134557, 150819137, 109197033, 155911738]
[93013133, 79078986, 20365635, 126302347, 247981283]
[93013133, 79078986, 20365635, 126967462, 99335633]
[206045465, 25751687, 125958478, 78296307, 117270444]
[93013133, 79078986, 20365635, 126302347, 228781624]
[206045465, 237134557, 98501963, 193035196, 168369469]
[206045465, 237134557, 98501963, 59305577]
[93013133, 79078986, 27477927, 146897913, 84302819]
[206045465, 237134557, 150819137, 109197033, 103671813]
[93013133, 79078986, 27477927, 85043021, 236199881]
[93013133, 79078986, 20365635, 126302347, 199338623]
[93013133, 79078986, 20365635, 126967462, 29664302]
[206045465, 237134557, 98501963, 193035196, 95163634]
[206045465, 25751687, 125958478, 194460356, 168648199]
[206045465, 237134557, 98501963, 193035196, 92706768]
[206045465, 25751687, 125958478, 194460356, 114750466]
[93013133, 79078986, 27477927, 151118393, 133057356]
[93013133, 79078986, 27477927, 146897913, 183656270]
[206045465, 237134557, 98501963, 112079527]
[93013133, 79078986, 27477927, 85043021, 38545173]
[93013133, 79078986, 27477927, 85043021, 150996055]
[206045465, 237134557, 98501963, 240005890]
[206045465, 25751687, 125958478, 194460356, 244300001]
[93013133, 79078986, 20365635, 126967462, 117224157]
[93013133, 79078986, 20365635, 126967462, 21509275]
[206045465, 237134557, 150819137, 109197033, 55396747]
[206045465, 25751687, 125958478, 78296307, 76762476]
[206045465, 25751687, 125958478, 78296307, 220311789]
[93013133, 79078986, 27477927, 151118393, 194324680]
[206045465, 237134557, 150819137, 109197033, 7839175]
[206045465, 237134557, 150819137, 109197033, 197958106]
[93013133, 79078986, 20365635, 126967462, 118683058]
[206045465, 237134557, 150819137, 109197033, 163516295]
[206045465, 237134557, 98501963, 193035196, 99594542]
[206045465, 25751687, 125958478, 194460356, 212875751]
[93013133, 79078986, 27477927, 85043021, 142851384]
[93013133, 79078986, 27477927, 151118393, 141940637]
[93013133, 79078986, 27477927, 146897913, 118874678]
[206045465, 25751687, 125958478, 78296307, 50616025]
[93013133, 79078986, 27477927, 85043021, 159979247]
[206045465, 237134557, 150819137, 109197033, 350358]
[206045465, 25751687, 125958478, 194460356, 200028652]
[206045465, 25751687, 125958478, 78296307, 236820046]
[93013133, 79078986, 27477927, 151118393, 135044983]
[93013133, 79078986, 27477927, 151118393, 119417450]
[206045465, 237134557, 98501963, 221374040]
[93013133, 79078986, 27477927, 85043021, 84455525]
[206045465, 237134557, 98501963, 193035196, 132935377]
[206045465, 237134557, 98501963, 193035196, 142818626]
[93013133, 79078986, 20365635, 126302347, 12622431]
[93013133, 79078986, 27477927, 151118393, 57765291]
[206045465, 25751687, 125958478, 194460356, 105056156]
[206045465, 237134557, 98501963, 194564515]
[93013133, 79078986, 27477927, 151118393, 146156992]
[206045465, 25751687, 125958478, 194460356, 126827929]
[93013133, 79078986, 27477927, 146897913, 51428056]
[93013133, 79078986, 27477927, 146897913, 75474952]
[93013133, 79078986, 27477927, 151118393, 208570587]
[206045465, 25751687, 125958478, 78296307, 5009235]
[93013133, 79078986, 27477927, 146897913, 113020393]
[206045465, 237134557, 98501963, 238489502]
[206045465, 25751687, 125958478, 194460356, 66632437]
[206045465, 237134557, 98501963, 193035196, 20890246]
[93013133, 79078986, 20365635, 126967462, 19567005]
[93013133, 79078986, 27477927, 85043021, 67191800]
[206045465, 237134557, 150819137, 109197033, 157008088]
[206045465, 237134557, 150819137, 109197033, 86766404]
[206045465, 25751687, 125958478, 78296307, 12916788]
[93013133, 79078986, 27477927, 85043021, 104333934]
[206045465, 25751687, 125958478, 78296307, 212966409]
[93013133, 79078986, 27477927, 146897913, 233899749]
[93013133, 79078986, 20365635, 126302347, 211211852]
[206045465, 25751687, 125958478, 194460356, 184418902]
[206045465, 237134557, 98501963, 193035196, 16663137]
[93013133, 79078986, 27477927, 151118393, 130586438]
[206045465, 237134557, 98501963, 173535643]
[93013133, 79078986, 27477927, 151118393, 98296341]
[206045465, 237134557, 98501963, 53359234]
[93013133, 79078986, 20365635, 126302347, 16229516]
[206045465, 237134557, 98501963, 193035196, 73362876]
[206045465, 237134557, 150819137, 109197033, 159064333]
[206045465, 25751687, 125958478, 78296307, 130856985]
[206045465, 25751687, 125958478, 78296307, 65272858]
[93013133, 79078986, 20365635, 126302347, 110985365]
[206045465, 237134557, 98501963, 193035196, 170891154]
[206045465, 25751687, 125958478, 194460356, 117152283]
[93013133, 79078986, 27477927, 151118393, 145569743]
[206045465, 237134557, 98501963, 194345389]
[206045465, 237134557, 98501963, 193035196, 81093805]
[93013133, 79078986, 20365635, 126302347, 105997076]
[93013133, 79078986, 27477927, 85043021, 173367766]
[206045465, 237134557, 150819137, 109197033, 54054242]
[93013133, 79078986, 27477927, 151118393, 38270634]
[93013133, 79078986, 27477927, 151118393, 120128600]
[206045465, 237134557, 98501963, 175477327]
[206045465, 237134557, 150819137, 109197033, 227898596]
[93013133, 79078986, 27477927, 146897913, 28823318]
[206045465, 25751687, 125958478, 194460356, 151124969]
[206045465, 25751687, 125958478, 194460356, 15024134]
[93013133, 79078986, 20365635, 126302347, 219089611]
[206045465, 25751687, 125958478, 78296307, 59096786]
[93013133, 79078986, 27477927, 151118393, 22602207]
[93013133, 79078986, 27477927, 146897913, 161681286]
[93013133, 79078986, 27477927, 85043021, 153208722]
[206045465, 237134557, 98501963, 243424852]
[93013133, 79078986, 20365635, 126302347, 60116806]
[93013133, 79078986, 27477927, 146897913, 175846584]
[93013133, 79078986, 27477927, 151118393, 67022114]
[93013133, 79078986, 27477927, 146897913, 178900699]
[93013133, 79078986, 20365635, 126967462, 63476054]
[93013133, 79078986, 27477927, 85043021, 117909138]
[206045465, 237134557, 150819137, 109197033, 31123924]
[206045465, 237134557, 98501963, 125142553]
[206045465, 25751687, 125958478, 78296307, 160237020]
[206045465, 237134557, 98501963, 177943975]
[206045465, 237134557, 98501963, 193035196, 187582851]
[93013133, 79078986, 27477927, 151118393, 139083713]
[206045465, 237134557, 98501963, 193035196, 159967812]
[206045465, 237134557, 98501963, 24307387]
[93013133, 79078986, 20365635, 126967462, 15965457]
[206045465, 25751687, 125958478, 78296307, 36176528]
[206045465, 237134557, 150819137, 109197033, 113264231]
[93013133, 79078986, 27477927, 146897913, 100310553]
[93013133, 79078986, 27477927, 85043021, 111918330]
[93013133, 79078986, 20365635, 126302347, 209520092]
[93013133, 79078986, 20365635, 126967462, 206435653]
[206045465, 237134557, 150819137, 109197033, 89372644]
[206045465, 25751687, 125958478, 78296307, 7181963]
[206045465, 25751687, 125958478, 78296307, 131143901]
[93013133, 79078986, 27477927, 151118393, 73375192]
[93013133, 79078986, 27477927, 151118393, 5168113]
[206045465, 237134557, 98501963, 193035196, 39082315]
[93013133, 79078986, 27477927, 85043021, 193976483]
[206045465, 237134557, 98501963, 219632200]
[93013133, 79078986, 20365635, 126302347, 186617845]
[93013133, 79078986, 20365635, 126302347, 34816213]
[93013133, 79078986, 27477927, 151118393, 180287623]
[206045465, 237134557, 150819137, 109197033, 216052221]
[93013133, 79078986, 20365635, 126302347, 139374666]
[206045465, 237134557, 98501963, 153872486]
[93013133, 79078986, 20365635, 126967462, 126656529]
[93013133, 79078986, 27477927, 151118393, 198808222]
[206045465, 237134557, 98501963, 21445633]
[93013133, 79078986, 27477927, 151118393, 40794086]
[93013133, 79078986, 27477927, 85043021, 241319590]
[206045465, 25751687, 125958478, 78296307, 50446890]
[206045465, 237134557, 98501963, 194625111]
[93013133, 79078986, 27477927, 151118393, 12910217]
[206045465, 25751687, 125958478, 78296307, 234060126]
[93013133, 79078986, 20365635, 126967462, 3458451]
[93013133, 79078986, 27477927, 85043021, 78751607]
[93013133, 79078986, 20365635, 126302347, 8702418]
[206045465, 25751687, 125958478, 78296307, 147898747]
[93013133, 79078986, 27477927, 85043021, 129777587]
[93013133, 79078986, 20365635, 126302347, 134238603]
[206045465, 25751687, 125958478, 78296307, 230646203]
[93013133, 79078986, 20365635, 126967462, 208962068]
[93013133, 79078986, 27477927, 151118393, 47341055]
[206045465, 237134557, 98501963, 193035196, 38512567]
[93013133, 79078986, 27477927, 146897913, 48444199]
[93013133, 79078986, 20365635, 126302347, 138945083]
[206045465, 237134557, 98501963, 193035196, 66873246]
[93013133, 79078986, 27477927, 151118393, 51887020]
[93013133, 79078986, 27477927, 85043021, 134950689]
[93013133, 79078986, 27477927, 85043021, 3030750]
[93013133, 79078986, 27477927, 85043021, 239535641]
[93013133, 79078986, 27477927, 151118393, 200015153]
[206045465, 25751687, 125958478, 194460356, 83355458]
[206045465, 237134557, 150819137, 109197033, 170287909]
[206045465, 25751687, 125958478, 78296307, 170312069]
[93013133, 79078986, 27477927, 151118393, 113145136]
[206045465, 25751687, 125958478, 194460356, 94110589]
[93013133, 79078986, 27477927, 151118393, 90892789]
[206045465, 237134557, 150819137, 109197033, 127294504]
[93013133, 79078986, 27477927, 146897913, 146152336]
[93013133, 79078986, 20365635, 126967462, 34878857]
[206045465, 25751687, 125958478, 78296307, 5157488]
[93013133, 79078986, 27477927, 146897913, 116010997]
[206045465, 25751687, 125958478, 194460356, 162361209]
[206045465, 25751687, 125958478, 194460356, 118083600]
[93013133, 79078986, 27477927, 85043021, 207750853]
[93013133, 79078986, 20365635, 126967462, 14868909]
[93013133, 79078986, 20365635, 126302347, 60336941]
[93013133, 79078986, 27477927, 85043021, 172377446]
[206045465, 25751687, 125958478, 78296307, 140738050]
[93013133, 79078986, 27477927, 85043021, 78852273]
[206045465, 237134557, 98501963, 108892013]
[206045465, 237134557, 98501963, 193035196, 246333621]
[93013133, 79078986, 20365635, 126302347, 36844640]
[206045465, 237134557, 150819137, 109197033, 76002121]
[93013133, 79078986, 27477927, 146897913, 139645608]
[206045465, 237134557, 98501963, 227532933]
[93013133, 79078986, 27477927, 151118393, 233425165]
[93013133, 79078986, 27477927, 151118393, 34595776]
[206045465, 237134557, 150819137, 109197033, 4439807]
[93013133, 79078986, 27477927, 151118393, 153239554]
[206045465, 237134557, 98501963, 193035196, 102116291]
[93013133, 79078986, 20365635, 126302347, 133051392]
[206045465, 237134557, 150819137, 109197033, 109736574]
[93013133, 79078986, 20365635, 126967462, 241919963]
[93013133, 79078986, 27477927, 85043021, 98019697]
[206045465, 237134557, 98501963, 83309892]
[93013133, 79078986, 27477927, 151118393, 4180993]
[206045465, 25751687, 125958478, 194460356, 81737430]
[206045465, 237134557, 98501963, 47503863]
[206045465, 25751687, 125958478, 78296307, 189044005]
[93013133, 79078986, 27477927, 151118393, 116679212]
[93013133, 79078986, 20365635, 126302347, 185339253]
[206045465, 237134557, 150819137, 109197033, 191563469]
[206045465, 25751687, 125958478, 194460356, 58875597]
[206045465, 237134557, 98501963, 81517906]
[93013133, 79078986, 27477927, 151118393, 51515906]
[206045465, 25751687, 125958478, 194460356, 155214402]
[93013133, 79078986, 20365635, 126967462, 235686524]
[93013133, 79078986, 20365635, 126967462, 52854081]
[93013133, 79078986, 27477927, 151118393, 164510236]
[93013133, 79078986, 27477927, 146897913, 127874817]
[93013133, 79078986, 20365635, 126302347, 248583143]
[206045465, 25751687, 125958478, 194460356, 202339238]
[93013133, 79078986, 20365635, 126302347, 248187684]
[93013133, 79078986, 20365635, 126967462, 191068979]
[206045465, 25751687, 125958478, 194460356, 156386613]
[206045465, 237134557, 98501963, 193035196, 58809218]
[93013133, 79078986, 27477927, 85043021, 145275519]
[93013133, 79078986, 20365635, 126302347, 187492555]
[93013133, 79078986, 20365635, 126967462, 167906116]
[93013133, 79078986, 27477927, 146897913, 34242839]
[206045465, 237134557, 98501963, 208804134]
[206045465, 237134557, 98501963, 193035196, 237429199]
[93013133, 79078986, 27477927, 85043021, 84120398]
[93013133, 79078986, 20365635, 126967462, 239688808]
[93013133, 79078986, 27477927, 146897913, 124107239]
[93013133, 79078986, 20365635, 126302347, 95569933]
[93013133, 79078986, 20365635, 126302347, 18474929]
[206045465, 237134557, 150819137, 109197033, 43566242]
[93013133, 79078986, 20365635, 126967462, 138068188]
[93013133, 79078986, 27477927, 146897913, 203235039]
[206045465, 237134557, 150819137, 109197033, 80034650]
[206045465, 237134557, 98501963, 193035196, 13771856]
[93013133, 79078986, 27477927, 146897913, 106753252]
[206045465, 25751687, 125958478, 194460356, 120610271]
[93013133, 79078986, 20365635, 126302347, 132426278]
[93013133, 79078986, 20365635, 126302347, 157584718]
[206045465, 25751687, 125958478, 78296307, 18116258]
[206045465, 25751687, 125958478, 78296307, 195526458]
[93013133, 79078986, 27477927, 85043021, 163510812]
[93013133, 79078986, 20365635, 126967462, 65074900]
[206045465, 237134557, 98501963, 60741995]
[93013133, 79078986, 20365635, 126967462, 182255330]
[93013133, 79078986, 20365635, 126967462, 103716317]
[206045465, 25751687, 125958478, 78296307, 153396713]
[93013133, 79078986, 27477927, 146897913, 88677900]
[206045465, 237134557, 150819137, 109197033, 2254954]
[93013133, 79078986, 27477927, 85043021, 103587241]
[206045465, 237134557, 98501963, 39382610]
[206045465, 237134557, 150819137, 109197033, 136410182]
[93013133, 79078986, 20365635, 126302347, 151699764]
[93013133, 79078986, 20365635, 126967462, 62644927]
[93013133, 79078986, 20365635, 126302347, 239574527]
[206045465, 25751687, 125958478, 78296307, 178524400]
[93013133, 79078986, 27477927, 151118393, 152702974]
[93013133, 79078986, 27477927, 151118393, 73600673]
[206045465, 25751687, 125958478, 78296307, 3968668]
[93013133, 79078986, 20365635, 126967462, 76620422]
[206045465, 25751687, 125958478, 78296307, 194494748]
[206045465, 25751687, 125958478, 194460356, 234220938]
[93013133, 79078986, 27477927, 146897913, 139332573]
[206045465, 25751687, 125958478, 194460356, 229517099]
[206045465, 25751687, 125958478, 78296307, 85699168]
[93013133, 79078986, 27477927, 146897913, 140885301]
[206045465, 237134557, 150819137, 109197033, 228851440]
[93013133, 79078986, 27477927, 85043021, 176425685]
[206045465, 25751687, 125958478, 78296307, 27264501]
[206045465, 237134557, 98501963, 193035196, 177314927]
[93013133, 79078986, 27477927, 85043021, 50584035]
[206045465, 25751687, 125958478, 78296307, 225740745]
[93013133, 79078986, 27477927, 151118393, 123748249]
[206045465, 25751687, 125958478, 78296307, 220177890]
[93013133, 79078986, 27477927, 146897913, 225564859]
[206045465, 237134557, 150819137, 109197033, 223356360]
[206045465, 25751687, 125958478, 194460356, 116174119]
[206045465, 25751687, 125958478, 78296307, 192174625]
[206045465, 237134557, 98501963, 246723911]
[206045465, 25751687, 125958478, 78296307, 244613873]
[93013133, 79078986, 27477927, 85043021, 18073715]
[206045465, 25751687, 125958478, 194460356, 77284011]
[93013133, 79078986, 20365635, 126967462, 214724290]
[206045465, 25751687, 125958478, 194460356, 14878713]
[206045465, 25751687, 125958478, 194460356, 185234292]
[206045465, 25751687, 125958478, 78296307, 243035869]
[93013133, 79078986, 20365635, 126302347, 146647340]
[93013133, 79078986, 27477927, 85043021, 172879807]
[206045465, 237134557, 98501963, 49368608]
[206045465, 237134557, 98501963, 193035196, 145422377]
[93013133, 79078986, 20365635, 126302347, 111928671]
[206045465, 25751687, 125958478, 194460356, 81198091]
[93013133, 79078986, 27477927, 151118393, 219719600]
[206045465, 237134557, 98501963, 193035196, 10584655]
[206045465, 237134557, 98501963, 178172240]
[206045465, 237134557, 98501963, 43219296]
[93013133, 79078986, 27477927, 146897913, 189947232]
[206045465, 237134557, 150819137, 109197033, 138939299]
[206045465, 237134557, 98501963, 193035196, 153864052]
[93013133, 79078986, 27477927, 146897913, 242559545]
[206045465, 237134557, 150819137, 109197033, 100249902]
[93013133, 79078986, 27477927, 85043021, 241311147]
[206045465, 25751687, 125958478, 78296307, 91286263]
[206045465, 25751687, 125958478, 194460356, 209804082]
[93013133, 79078986, 20365635, 126302347, 25062393]
[93013133, 79078986, 27477927, 85043021, 89601875]
[206045465, 237134557, 98501963, 193035196, 7380439]
[93013133, 79078986, 27477927, 146897913, 143451870]
[93013133, 79078986, 27477927, 151118393, 86476611]
[93013133, 79078986, 27477927, 85043021, 10997105]
[93013133, 79078986, 27477927, 151118393, 124871919]
[206045465, 237134557, 98501963, 8642594]
[93013133, 79078986, 27477927, 146897913, 33811678]
[206045465, 237134557, 150819137, 109197033, 37041114]
[206045465, 237134557, 98501963, 16096823]
[93013133, 79078986, 27477927, 85043021, 183388264]
[93013133, 79078986, 27477927, 151118393, 27105745]
[206045465, 237134557, 150819137, 109197033, 171932124]
[93013133, 79078986, 20365635, 126967462, 69663140]
[206045465, 25751687, 125958478, 194460356, 78365813]
[93013133, 79078986, 20365635, 126302347, 41041611]
[206045465, 25751687, 125958478, 78296307, 244505599]
[93013133, 79078986, 20365635, 126302347, 116350922]
[93013133, 79078986, 27477927, 146897913, 171868328]
[206045465, 237134557, 98501963, 193035196, 138642462]
[93013133, 79078986, 27477927, 146897913, 133411921]
[93013133, 79078986, 20365635, 126302347, 889039]
[206045465, 237134557, 98501963, 147393018]
[93013133, 79078986, 27477927, 151118393, 226917391]
[93013133, 79078986, 27477927, 85043021, 117119381]
[93013133, 79078986, 27477927, 85043021, 210340933]
[93013133, 79078986, 20365635, 126967462, 205500379]
[93013133, 79078986, 20365635, 126967462, 47431908]
[93013133, 79078986, 20365635, 126967462, 234449550]
[206045465, 25751687, 125958478, 194460356, 136151414]
[206045465, 237134557, 98501963, 93727001]
[206045465, 237134557, 150819137, 109197033, 186496255]
[206045465, 237134557, 98501963, 88496931]
[93013133, 79078986, 20365635, 126302347, 3203811]
[93013133, 79078986, 20365635, 126302347, 219475015]
[206045465, 25751687, 125958478, 194460356, 171505529]
[206045465, 25751687, 125958478, 78296307, 180881762]
[206045465, 25751687, 125958478, 194460356, 208602784]
[206045465, 25751687, 125958478, 78296307, 111327414]
[206045465, 237134557, 98501963, 170097204]
[206045465, 237134557, 98501963, 197118732]
[93013133, 79078986, 20365635, 126967462, 197797344]
[93013133, 79078986, 27477927, 146897913, 174326427]
[93013133, 79078986, 27477927, 146897913, 149965062]
[93013133, 79078986, 20365635, 126967462, 45492242]
[93013133, 79078986, 20365635, 126967462, 73121868]
[93013133, 79078986, 27477927, 151118393, 46279709]
[93013133, 79078986, 20365635, 126967462, 231999698]
[206045465, 237134557, 98501963, 238451535]
[93013133, 79078986, 20365635, 126302347, 111274287]
[206045465, 237134557, 98501963, 193035196, 157105427]
[93013133, 79078986, 27477927, 146897913, 217314408]
[93013133, 79078986, 27477927, 146897913, 195202580]
[206045465, 237134557, 98501963, 193035196, 4263833]
[206045465, 237134557, 150819137, 109197033, 153032938]
[93013133, 79078986, 27477927, 85043021, 141244512]
[93013133, 79078986, 27477927, 146897913, 237781151]
[93013133, 79078986, 27477927, 151118393, 32687478]
[206045465, 25751687, 125958478, 78296307, 160581920]
[206045465, 237134557, 150819137, 109197033, 54209263]
[206045465, 25751687, 125958478, 194460356, 233586516]
[206045465, 25751687, 125958478, 78296307, 141475955]
[206045465, 237134557, 98501963, 121003503]
[206045465, 25751687, 125958478, 194460356, 136017140]
[206045465, 237134557, 98501963, 193035196, 103954215]
[93013133, 79078986, 27477927, 151118393, 118904179]
[93013133, 79078986, 20365635, 126967462, 20014092]
[206045465, 25751687, 125958478, 78296307, 144203292]
[206045465, 237134557, 98501963, 164084315]
[93013133, 79078986, 27477927, 146897913, 19197729]
[93013133, 79078986, 27477927, 146897913, 136543553]
