[206045465, 237134557, 98501963, 193035196, 217614723, 95824616]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 146227346]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 36876479]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 100392763]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 89198176]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 133093057]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 115921234]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 149998812]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 56130990]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 72470747]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 153326140]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 190561229]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 207394933]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 63657913]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 75590446]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 127307707]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 83200679]
[93013133, 79078986, 20365635, 126967462, 229005668, 233255689]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 207714997]
[206045465, 237134557, 98501963, 193035196, 7380439, 75392805]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 79236469]
[206045465, 237134557, 98501963, 193035196, 7380439, 234150991]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 165826697]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 166936530]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 123832393]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 164041936]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 7468185]
[206045465, 237134557, 98501963, 193035196, 7380439, 155251050]
[206045465, 237134557, 98501963, 193035196, 7380439, 66982956]
[93013133, 79078986, 20365635, 126967462, 229005668, 3163957]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 132369146]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 64722530]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 58344704]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 186142369]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 86579453]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 75136480]
[93013133, 79078986, 20365635, 126967462, 229005668, 45920273]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 215463566]
[93013133, 79078986, 20365635, 126967462, 229005668, 207099616]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 242951089]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 85210028]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 183641054]
[206045465, 237134557, 98501963, 193035196, 7380439, 16334001]
[93013133, 79078986, 20365635, 126967462, 229005668, 240257941]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 56652635]
[206045465, 237134557, 98501963, 193035196, 7380439, 68268756]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 6309838]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 197822106]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 68149585]
[93013133, 79078986, 20365635, 126967462, 229005668, 7838480]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 174082549]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 49760447]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 174680834]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 55629158]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 220620303]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 199463331]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 55553671]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 23068905]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 67717365]
[93013133, 79078986, 20365635, 126967462, 229005668, 190672754]
[93013133, 79078986, 20365635, 126967462, 229005668, 190136750]
[206045465, 237134557, 98501963, 193035196, 7380439, 145598964]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 239177718]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 143944844]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 87443040]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 95767982]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 199651561]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 194864537]
[93013133, 79078986, 20365635, 126967462, 229005668, 166706089]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 13472374]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 194040660]
[206045465, 237134557, 98501963, 193035196, 7380439, 86720267]
[93013133, 79078986, 20365635, 126967462, 229005668, 222102983]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 74870105]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 122377905]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 127856647]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 40801871]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 120468185]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 224304832]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 79742747]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 174467670]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 85775402]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 30943702]
[93013133, 79078986, 20365635, 126967462, 229005668, 8249953]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 43896762]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 176497125]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 136962149]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 58395036]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 52729563]
[93013133, 79078986, 20365635, 126967462, 229005668, 183176321]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 71167939]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 29986774]
[206045465, 237134557, 98501963, 193035196, 7380439, 6236321]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 32359296]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 78892434]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 149502808]
[206045465, 237134557, 98501963, 193035196, 7380439, 64815730]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 9249795]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 70244902]
[93013133, 79078986, 20365635, 126967462, 229005668, 150166575]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 63836280]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 15866637]
[93013133, 79078986, 20365635, 126967462, 229005668, 157543722]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 204091154]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 166063258]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 243691081]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 206976794]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 149667154]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 39777288]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 95287106]
[206045465, 237134557, 98501963, 193035196, 7380439, 187852059]
[93013133, 79078986, 20365635, 126967462, 229005668, 150670622]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 35197307]
[93013133, 79078986, 20365635, 126967462, 229005668, 10873543]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 96214909]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 168168111]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 135038121]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 127779347]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 35436360]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 200081572]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 234550642]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 5514517]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 152655482]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 181335174]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 89355557]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 9220200]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 1386222]
[93013133, 79078986, 20365635, 126967462, 229005668, 61180489]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 181101550]
[206045465, 237134557, 98501963, 193035196, 7380439, 224497543]
[93013133, 79078986, 20365635, 126967462, 229005668, 205664658]
[206045465, 237134557, 98501963, 193035196, 7380439, 233211562]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 75109042]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 53833907]
[206045465, 237134557, 98501963, 193035196, 7380439, 31755944]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 167705739]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 12211518]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 175993776]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 125008406]
[93013133, 79078986, 20365635, 126967462, 229005668, 212737486]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 158426727]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 157778710]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 190559417]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 51450654]
[206045465, 237134557, 98501963, 193035196, 7380439, 240612172]
[206045465, 237134557, 98501963, 193035196, 7380439, 165482347]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 183436940]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 81849901]
[206045465, 237134557, 98501963, 193035196, 7380439, 75124219]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 59034271]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 148291454]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 136640891]
[206045465, 237134557, 98501963, 193035196, 7380439, 230068457]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 245305681]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 46887303]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 164965228]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 153247418]
[206045465, 237134557, 98501963, 193035196, 7380439, 141405882]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 152393283]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 130800869]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 70604881]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 140878063]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 59502794]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 10785714]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 139220437]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 103386435]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 96539986]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 202013641]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 95435593]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 5265563]
[93013133, 79078986, 20365635, 126967462, 229005668, 25142180]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 62293500]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 91030932]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 87678235]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 38691446]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 146932735]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 66811156]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 7640099]
[93013133, 79078986, 20365635, 126967462, 229005668, 166324838]
[93013133, 79078986, 20365635, 126967462, 229005668, 110845561]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 235384370]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 13829510]
[93013133, 79078986, 20365635, 126967462, 229005668, 51722619]
[93013133, 79078986, 20365635, 126967462, 229005668, 248446591]
[206045465, 237134557, 98501963, 193035196, 7380439, 152617063]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 144688575]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 13243486]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 197248092]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 241381739]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 24869840]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 54885220]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 51882751]
[206045465, 237134557, 98501963, 193035196, 7380439, 37390427]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 155349546]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 8434950]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 48608035]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 76029099]
[206045465, 237134557, 98501963, 193035196, 7380439, 130059309]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 30440054]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 189897294]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 227939434]
[93013133, 79078986, 20365635, 126967462, 229005668, 220214489]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 180247635]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 236392589]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 165387272]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 105030021]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 37440652]
[206045465, 237134557, 98501963, 193035196, 7380439, 235573388]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 103311648]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 121692773]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 172841401]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 152588897]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 143148894]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 182045300]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 75212921]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 74185259]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 456544]
[93013133, 79078986, 20365635, 126967462, 229005668, 152445367]
[93013133, 79078986, 20365635, 126967462, 229005668, 67098942]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 11796990]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 91610163]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 24591031]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 199228953]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 182700749]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 105363238]
[206045465, 237134557, 98501963, 193035196, 7380439, 138550971]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 217483504]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 55551582]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 78387972]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 58994889]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 224362964]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 145268725]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 75237987]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 145862025]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 78724956]
[206045465, 237134557, 98501963, 193035196, 7380439, 108604301]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 193933602]
[93013133, 79078986, 20365635, 126967462, 229005668, 102704874]
[206045465, 237134557, 98501963, 193035196, 7380439, 167220974]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 196550535]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 16274409]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 99337893]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 227396164]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 46884325]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 52080540]
[93013133, 79078986, 20365635, 126967462, 229005668, 76493148]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 106663618]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 176598822]
[93013133, 79078986, 20365635, 126967462, 229005668, 166603980]
[206045465, 237134557, 98501963, 193035196, 7380439, 140135010]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 72123658]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 230402087]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 200095773]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 45223091]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 139467913]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 35443290]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 132223017]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 201713036]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 209888172]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 35703184]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 40776246]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 104082617]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 120556896]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 40479168]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 94932356]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 201460928]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 79026915]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 30858914]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 126403281]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 138770714]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 217011688]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 112909246]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 227522766]
[93013133, 79078986, 20365635, 126967462, 229005668, 115106715]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 89636536]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 168399273]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 57528996]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 98041244]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 139682061]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 115660638]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 85786294]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 153483955]
[206045465, 237134557, 98501963, 193035196, 7380439, 159523271]
[206045465, 237134557, 98501963, 193035196, 7380439, 144069174]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 46885187]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 33527193]
[206045465, 237134557, 98501963, 193035196, 7380439, 71435956]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 245323101]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 216743370]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 153987918]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 49835259]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 15203709]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 79577242]
[93013133, 79078986, 20365635, 126967462, 229005668, 60434174]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 117546233]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 70102503]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 114054616]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 169868734]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 30685703]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 227658382]
[206045465, 237134557, 98501963, 193035196, 7380439, 8538607]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 165829794]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 185625636]
[206045465, 237134557, 98501963, 193035196, 7380439, 11092512]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 231327912]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 10931005]
[93013133, 79078986, 20365635, 126967462, 229005668, 53822634]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 96610741]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 45982678]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 188786566]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 181228982]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 143405799]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 229218873]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 98992316]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 235885482]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 34138600]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 215973497]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 57074142]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94938884]
[206045465, 237134557, 98501963, 193035196, 7380439, 165511007]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 18773002]
[206045465, 237134557, 98501963, 193035196, 7380439, 116605615]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 2690444]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 116616295]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 96320949]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 143053992]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 46832713]
[93013133, 79078986, 20365635, 126967462, 229005668, 115980178]
[206045465, 237134557, 98501963, 193035196, 7380439, 76341195]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 112289389]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 54982811]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 116075287]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 183579318]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 233988233]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 61962885]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 189731130]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 105571947]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 245852841]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 4578193]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 81821636]
[93013133, 79078986, 20365635, 126967462, 229005668, 136161465]
[93013133, 79078986, 20365635, 126967462, 229005668, 53500268]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 185010856]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 197938263]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 52470289]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 105813387]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 248570226]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 223464839]
