[239554898, 102907710, 132452821]
[74869342, 30527162, 33520167, 193848877]
[28939697, 83720688, 206122823, 229232565]
[102428331, 177733082, 129251195, 215236002]
[74329510, 39112394, 143983921, 24424829]
[96343362, 100486110, 213236602, 118348423]
[214018668, 83299561, 183713552, 192973470]
[154023279, 136585538, 33228653, 242264617]
[119048721, 211230462, 224092800, 210229986]
[96343362, 100486110, 213236602, 24901115]
[83435517, 31853407, 117969850, 36615080]
[172696320, 32584832, 5516567, 15831463]
[18782487, 180228062, 32306155, 8891987]
[170206712, 12111425, 214226545, 45965088]
[218542507, 27686776, 57877320, 242250743]
[90480851, 84672421, 120781503, 40539765]
[58430490, 172895116, 178625316, 191510184]
[63174497, 133172007, 24939800, 84590400]
[118348159, 41843502, 198222345, 26449917]
[19161165, 79144175, 110037532, 157220105]
[245186357, 104175749, 170891995, 212154307]
[169744084, 52786665, 154800164, 96044022]
[218922006, 56951424, 141743022, 116080803]
[10379212, 12391743, 5269103, 90783180]
[231488027, 32101784, 95034900, 73109929]
[139255779, 117323211, 186374400, 223753533]
[181938804, 60690532, 76340025, 132436869]
[239208748, 140345608, 11321520, 114795487]
[245186357, 179224212, 67875021, 45343655]
[60290327, 198465013, 2305365, 180801625]
[60417925, 159601639, 183311976, 179543640]
[141361673, 162202163, 126094098, 3400892]
[106261171, 126184161, 158442460, 135365713]
[150812197, 207907728, 45493282, 168636907]
[118348159, 41843502, 140178002, 215751731]
[49986552, 151382489, 61990312, 150003870]
[181938804, 60690532, 76340025, 79775124]
[49986552, 151382489, 61990312, 194597816]
[102428331, 177733082, 77412540, 15623518]
[42779529, 94357672, 139610103, 148850056]
[106261171, 126184161, 158442460, 180601516]
[184452350, 117534910, 85483031, 28638406]
[182135464, 23511708, 200353827, 48367254]
[211510271, 200640855, 93455200, 186277338]
[74329510, 39112394, 1072059, 123327512]
[106261171, 44990710, 84180592, 123440078]
[205972194, 61946850, 32802042, 61435761]
[213112826, 25516838, 105566614, 57004010]
[86090961, 198884680, 203601935, 133324568]
[245186357, 33815929, 173663102, 28237412]
[233365345, 69179940, 21038035, 43800821]
[116640107, 175919948, 230396891, 219625776]
[169367494, 62025314, 13036604, 199563353]
[25001273, 6626874, 1693836, 106567516]
[121975721, 12187143, 29641881, 151466312]
[174915493, 151627699, 106916648, 112520101]
[49431804, 239753856, 105078153, 54419308]
[140347209, 25798347, 224420618, 157470129]
[243714234, 117825797, 232941373, 120073632]
[154551859, 47812082, 16349031, 124218663]
[101060348, 149510120, 78999704, 197884911]
[205226715, 161852671, 65432134, 122332064]
[139255779, 117323211, 186374400, 7935869]
[197930535, 234635560, 228096494, 160152675]
[181938804, 60690532, 76340025, 205382481]
[184452350, 76673988, 118948775, 106439078]
[181938804, 60690532, 49774268, 81236042]
[169313277, 46027908, 89275938, 122619291]
[230911772, 236055048, 59841582, 205716396]
[211804832, 103588449, 153329831, 99275088]
[204923669, 50635880, 156536157, 126285967]
[226962391, 114645840, 2251938, 17848164]
[20195691, 76067494, 114991732, 55582427]
[239679406, 25346579, 66525943, 51672491]
[121975721, 42062284, 205720792, 243973463]
[227085835, 146934373, 148571485, 106983571]
[121690776, 115201947, 198483596, 183062049]
[139407978, 206633498, 130022095]
[108906837, 199773189, 190953520, 234574556]
[106261171, 138199889, 91015303, 119233803]
[32676012, 195138918, 93193866, 17829718]
[197930535, 234635560, 135700399, 44896603]
[140347209, 25798347, 224420618, 90829889]
[22619776, 15424767, 239664794, 38863699]
[9953629, 20319404, 119777588, 99237457]
[139255779, 117323211, 86191772, 75266315]
[139407978, 206633498, 21411166]
[76832338, 137469819, 68844311, 126063382]
[102428331, 177733082, 129251195, 137697711]
[240973929, 83097505, 50179473, 222270887]
[205972194, 92870195, 133973930, 92671010]
[49431804, 246457812, 60530307, 193444107]
[188932858, 115146698, 234256803, 209034558]
[20621167, 224126767, 65238341, 214310993]
[139407978, 206633498, 73323566]
[205972194, 92870195, 133973930, 166795816]
[140347209, 25798347, 64306031, 122192794]
[121975721, 14824860, 73209884, 204341596]
[121975721, 42062284, 205720792, 194024297]
[211316160, 37095821, 124213554, 193067582]
[239554898, 102907710, 132452821, 124460660]
[84732876, 229889095, 217748667, 147589098]
[239554898, 102907710, 132452821, 215283349]
[177119877, 214819640, 128621318, 19342724]
[188932858, 200934080, 97777798, 41131871]
[42779529, 94357672, 139610103, 65995242]
[124206638, 48607635, 205159272, 157219285]
[240973929, 83097505, 20780799, 235045094]
[10106479, 190143267, 31611117, 237642616]
[239554898, 231847501, 23186257, 147080354]
[20649053, 38514294, 51410810, 220539135]
[245186357, 33815929, 81317813, 25473221]
[176878569, 125470079, 108529963, 204575235]
[74329510, 39112394, 143983921, 117376868]
[108906837, 199773189, 190953520, 39538328]
[106261171, 126184161, 170418784, 140105318]
[147518822, 153639160, 53392171, 82026775]
[222119453, 85409032, 82869299, 92748102]
[8685447, 234393374, 17927912, 80165034]
[181938804, 60690532, 49774268, 190363939]
[125297590, 105327896, 199978104, 205005168]
[10106479, 48368057, 101287106, 195619248]
[245186357, 179224212, 67875021, 17974817]
[121975721, 42062284, 93893883, 142156324]
[106261171, 44990710, 105256267, 216034757]
[84732876, 229889095, 217748667, 203970777]
[188932858, 200934080, 97777798, 169801301]
[49986552, 151382489, 227281599, 232839476]
[83228600, 172974354, 76843165, 133584412]
[139255779, 168173206, 225516292, 112556943]
[32676012, 195138918, 93193866, 129029255]
[240973929, 83097505, 11728468, 117043603]
[60417925, 238812475, 151843815, 161151574]
[75857740, 82351932, 215992635, 214948612]
[121975721, 42062284, 75194355, 182866743]
[150812197, 207907728, 45493282, 234688557]
[141361673, 190697245, 163142798, 177099734]
[11002910, 71226924, 9491593, 111728372]
[245186357, 33815929, 103613504, 131014127]
[49431804, 239753856, 240462548, 126817339]
[184452350, 76673988, 26762926, 165149251]
[82205394, 222031531, 97617751, 7932852]
[49431804, 246457812, 177362205, 49761337]
[19078720, 176587752, 111680255, 169077312]
[149858644, 196436553, 114644864, 218395304]
[139407978, 92142634, 167501510, 243494623]
[87995577, 64817325, 142967832, 132504241]
[28939697, 114464836, 89076961, 35693389]
[211510271, 46724623, 74610054, 134915134]
[25001273, 6626874, 1693836, 55009809]
[101060348, 149510120, 78999704, 153958546]
[239393237, 197938988, 110381922, 213500313]
[245186357, 33815929, 81317813, 149728072]
[27929889, 82163150, 44886673, 32801215]
[170206712, 12111425, 214226545, 122121517]
[160482675, 174482424, 77603558, 25733688]
[218542507, 27686776, 57877320, 136539700]
[239393237, 125604638, 107467616, 172611694]
[184452350, 76673988, 118948775, 218840647]
[177119877, 208669082, 36832427, 171229162]
[76832338, 137469819, 68844311, 59706236]
[240973929, 83097505, 50179473, 10081295]
[139407978, 28655380, 221952859, 128925738]
[170206712, 12111425, 193370944, 12943847]
[167355494, 148358260, 5737196, 170385764]
[18782487, 180228062, 77982122, 153310062]
[173377106, 227979404, 55409189, 172382068]
[245186357, 33815929, 103613504, 248057653]
[9953629, 187022359, 176899446, 238532363]
[218542507, 210706211, 73665838, 134397743]
[213112826, 25516838, 8960197, 80019682]
[115889120, 41666144, 248898062, 174370795]
[239393237, 164714934, 246715145, 187771445]
[28939697, 123364048, 153858753, 224475715]
[116640107, 175919948, 230396891, 118261327]
[106261171, 44990710, 84180592, 220734106]
[121975721, 42062284, 205720792, 220376940]
[149858644, 196436553, 114644864, 187354541]
[74329510, 124765354, 216119651, 120037485]
[211510271, 46724623, 192930472, 24980842]
[242854898, 161917206, 42426557, 156041600]
[28779114, 129128005, 226220635, 152621537]
[245186357, 51214878, 85245345, 25727633]
[204923669, 55371512, 103763109, 9606479]
[10106479, 70087705, 47329919, 126566423]
[82205394, 222031531, 97617751, 152489962]
[60417925, 238812475, 151843815, 182347594]
[245186357, 33815929, 173663102, 147529995]
[240507357, 41775614, 33310911, 151682916]
[60417925, 96970598, 101872559, 87277627]
[233262282, 231812234, 70075742, 146347049]
[211316160, 37095821, 218824995, 2668282]
[22619776, 15424767, 102941135, 61285663]
[42779529, 94357672, 222611044, 244886408]
[211510271, 40815467, 61774155, 224357952]
[139255779, 10547589, 17697623, 174902835]
[147518822, 153639160, 53392171, 211616479]
[204923669, 199255267, 95578888, 43774873]
[116640107, 175919948, 230396891, 1100416]
[204923669, 55371512, 158920153, 39928306]
[126015619, 3034421, 7944536, 85977852]
[28939697, 123364048, 185338091, 49164907]
[87995577, 64817325, 142967832, 148811909]
[106261171, 44990710, 84180592, 213082978]
[96343362, 204324079, 66426087, 38119371]
[245186357, 179224212, 67875021, 188951933]
[121975721, 42062284, 93893883, 155584374]
[28939697, 155234741, 108426756, 86388905]
[169367494, 62025314, 17623635, 179294472]
[245186357, 104175749, 170891995, 92128647]
[139407978, 92142634, 167501510, 149029214]
[169717436, 168877842, 145613447, 211505140]
[234718713, 240378660, 90348032, 210526919]
[233365345, 69179940, 21038035, 244820748]
[239393237, 4224218, 225686608, 210173866]
[82212583, 193617759, 234025706, 196862795]
[49431804, 24092436, 92023561, 246509991]
[12733949, 207216632, 16485771, 79118494]
[239208748, 140345608, 11321520, 872973]
[102428331, 177733082, 77412540, 237012136]
[152865647, 34304426, 142969536, 174854725]
[24231581, 15527440, 39151893, 72405608]
[49431804, 24092436, 92023561, 36526307]
[108906837, 199773189, 190953520, 131523659]
[96017771, 5878864, 77101726, 124939623]
[27929889, 82163150, 1003864, 183932585]
[167539219, 192052900, 236091323, 232494744]
[113588501, 150903877, 100861363, 41353743]
[74329510, 39112394, 143983921, 226506926]
[163042645, 87527887, 148128611, 200381488]
[139407978, 206633498, 1659348]
[239393237, 197938988, 110381922, 139978393]
[80765703, 141535867, 211619987, 214477778]
[205972194, 86177255, 137657541, 188629033]
[139255779, 10547589, 17697623, 184429220]
[49431804, 246457812, 167348819, 162863396]
[213112826, 25516838, 152287638, 51081692]
[240973929, 83097505, 160378007, 159329744]
[213112826, 25516838, 105566614, 53244669]
[204923669, 55371512, 103763109, 97623957]
[139255779, 168173206, 147301373, 241706905]
[205972194, 86177255, 137657541, 146101519]
[169492383, 134805362, 84466020, 28630354]
[124619536, 212270092, 18763595, 47127520]
[83435517, 87688558, 44060647, 247228039]
[121690776, 99657203, 122191188, 95546728]
[182135464, 23511708, 200353827, 80752459]
[20649053, 38514294, 54647700, 157067777]
[24846365, 15826856, 161286231, 171337971]
[233481409, 223580591, 238456769, 130830529]
[121975721, 42062284, 19586029, 62150434]
[59717361, 134711651, 185365046, 22169477]
[76832338, 137469819, 68844311, 131456858]
[99697683, 45418046, 128029953, 224015841]
[9953629, 20319404, 24804670, 195949223]
[140347209, 25798347, 224420618, 132522440]
[213112826, 25516838, 152287638, 224047741]
[213579804, 244349371, 130584908, 125886098]
[80765703, 141535867, 169906788, 38025817]
[169313277, 9510243, 54726766, 152388114]
[205226715, 161852671, 133516433, 129939351]
[24231581, 15527440, 39151893, 166928330]
[245186357, 51214878, 45978248, 195792955]
[202934950, 176470526, 50794561, 34325429]
[240973929, 83097505, 11728468, 155886915]
[19175843, 157432727, 60737427, 152644904]
[12733949, 207216632, 12654359, 177013186]
[121975721, 107116936, 187684362, 248495945]
[162649472, 196857788, 30422544, 44131133]
[205972194, 61946850, 32802042, 172129796]
[224376413, 15682689, 18147081, 110483965]
[240507357, 88950933, 207300081, 45846299]
[28939697, 123364048, 185338091, 149308887]
[112655291, 19209424, 128847631, 19268358]
[42779529, 94357672, 222611044, 160319561]
[20649053, 38514294, 51410810, 105355535]
[139255779, 148161601, 205346379, 56230268]
[162649472, 94017805, 56418915, 224447628]
[12733949, 207216632, 12654359, 59803598]
[24231581, 15527440, 143956946, 50145329]
[9953629, 27976225, 52313431, 126784563]
[163813705, 132076665, 238635194, 215167702]
[211316160, 37095821, 124213554, 53938530]
[151970870, 105653424, 233966811, 59622603]
[184029640, 241795741, 9567256, 208305344]
[233481409, 223580591, 100428466, 20799775]
[20975483, 21156051, 161360286, 35026208]
[167539219, 192052900, 155852712, 211348323]
[128396256, 156921189, 237060631, 191130671]
[242767556, 223313203, 181976474, 99329735]
[214976764, 232135327, 176113184, 89104064]
[141361673, 162202163, 126094098, 64413723]
[239554898, 105465088, 125977636, 107196885]
[8685447, 234393374, 146940291, 140624781]
[139407978, 2472696, 147663187]
[224376413, 15682689, 18147081, 221136824]
[115917063, 113950444, 62884421, 107064371]
[113599894, 61369480, 194107823, 86767118]
[172696320, 32584832, 5516567, 103484661]
[10106479, 70087705, 47329919, 31541172]
[71126603, 195320975, 208946950, 104739692]
[219868898, 21390277, 239043661, 155644933]
[148907630, 26611378, 223997019, 240216130]
[211804832, 156354737, 233635579, 238338508]
[139255779, 117323211, 186374400, 128196994]
[155906635, 180949973, 155674107, 99450467]
[245186357, 179224212, 177971497, 122788728]
[245186357, 33815929, 103613504, 240201328]
[239554898, 102907710, 132452821, 243389068]
[147630629, 151334426, 141540138, 158103907]
[8685447, 234393374, 17927912, 107558495]
[10737719, 216304733, 179794090, 78166976]
[28779114, 129128005, 90017851, 33886359]
[218542507, 27686776, 157199757, 155257536]
[224589236, 84806013, 11055792, 139008282]
[151970870, 105653424, 194192038, 88878768]
[211316160, 178211004, 215157209, 112964321]
[76710225, 167739046, 165438592, 117465674]
[102428331, 177733082, 47880734, 49995446]
[240973929, 83097505, 11728468, 115690734]
[233481409, 223580591, 120097124, 129368471]
[121773903, 154727771, 215699634, 129378344]
[9953629, 20319404, 239906282, 193126235]
[140347209, 25798347, 4746789, 4938993]
[54986510, 243815304, 98728040, 184087741]
[85279524, 136537575, 155460341, 188384255]
[48016099, 12649474, 32609062, 140101682]
[208401552, 123724305, 159653775, 183130483]
[10106479, 48368057, 101287106, 103351738]
[25001273, 6626874, 19585353, 214780500]
[139407978, 30753859, 146083603, 64348508]
[121773903, 154727771, 23179543, 35775146]
[102428331, 177733082, 47880734, 2118604]
[139255779, 117323211, 86191772, 82525022]
[188932858, 115146698, 241612689, 194912320]
[155939215, 2597427, 107088782, 222006932]
[60417925, 70729437, 195152800, 170315]
[171272310, 63221876, 221519298, 26768999]
[199976190, 56628013, 175571629, 112336274]
[28939697, 83720688, 178786589, 92978449]
[131161949, 182719904, 31830738, 31395226]
[151970870, 105653424, 194192038, 79415113]
[202934950, 97398191, 4152517, 172824998]
[204318514, 96260484, 124198569, 82290644]
[121690776, 115201947, 198483596, 248096712]
[139407978, 2472696, 76602612]
[188932858, 115146698, 234256803, 247032219]
[115917063, 113950444, 182350992, 14526164]
[239393237, 164714934, 246715145, 19314822]
[205972194, 86177255, 137657541, 216106120]
[31306188, 77504286, 65644375, 110744534]
[90480851, 84672421, 94467169, 240199773]
[243854923, 131996813, 143905498, 203875194]
[212693721, 210342764, 152920125, 11974322]
[13886713, 59039261, 150932566, 46017208]
[76710225, 167739046, 114583317, 140548397]
[211804832, 138574305, 56455960, 231694578]
[10106479, 48368057, 101287106, 220070230]
[99697683, 45418046, 33187799, 9654352]
[166462820, 132071187, 145040923, 90490701]
[168481628, 26849880, 38726798, 183450867]
[12733949, 207216632, 16485771, 113253139]
[174915493, 120643602, 47576843, 13479862]
[10106479, 48368057, 101287106, 26137914]
[49431804, 246457812, 177362205, 34762461]
[245186357, 56476491, 21738255, 97185163]
[245186357, 104175749, 161846456, 108563380]
[112655291, 19209424, 128847631, 12084842]
[239393237, 164714934, 240019004, 218891224]
[85998254, 248045083, 23181581, 235937100]
[28939697, 83720688, 206122823, 49942988]
[181938804, 60690532, 208005699, 178070416]
[239208748, 140345608, 11321520, 169990400]
[181938804, 163199325, 7112223, 218629837]
[211316160, 37095821, 213065153, 48235207]
[245186357, 33815929, 173663102, 146237797]
[205226715, 161852671, 133516433, 63536486]
[25001273, 6626874, 144966148, 56653230]
[169313277, 113857410, 57842616, 59386711]
[204923669, 55371512, 103763109, 102647777]
[205226715, 6410317, 167501455, 99904677]
[147630629, 151334426, 141540138, 171244591]
[118692768, 135569123, 179162329, 110105639]
[239393237, 164714934, 240019004, 160631015]
[35552242, 93220486, 31058309, 119694914]
[121690776, 115201947, 136745825, 178417372]
[147630629, 151334426, 141540138, 91820145]
[27154418, 153048969, 91021117, 108280964]
[82232448, 22215910, 166429214, 90677468]
[60417925, 96970598, 101872559, 31207063]
[239393237, 125604638, 61404083, 129782475]
[83435517, 31853407, 117969850, 202804834]
[204923669, 241002532, 62700247, 126214957]
[148907630, 26611378, 193025159, 174146668]
[204923669, 55371512, 158920153, 236699111]
[150812197, 121922710, 149969927, 36922573]
[205226715, 161852671, 153828978, 78022417]
[205226715, 161852671, 153828978, 13352324]
[205226715, 6410317, 156606069, 650760]
[241718137, 240234294, 110201244, 189428371]
[188932858, 159514019, 138367363, 72016528]
[242767556, 223313203, 181976474, 97925770]
[32676012, 195138918, 178653906, 248285279]
[121975721, 12187143, 29641881, 233589152]
[205407009, 243689949, 194850606, 108538701]
[71126603, 195320975, 210518304, 207322285]
[126015619, 3034421, 7944536, 177762529]
[245186357, 33815929, 103613504, 131702159]
[211804832, 138574305, 56455960, 36578932]
[245186357, 51214878, 45978248, 68718653]
[32676012, 195138918, 93193866, 32903994]
[28939697, 123364048, 231894319, 154778647]
[12733949, 207216632, 16485771, 142609348]
[231488027, 32101784, 95034900, 50625588]
[20195691, 76067494, 114991732, 206735211]
[22619776, 109555255, 163654957, 189600841]
[126015619, 3034421, 7944536, 230428064]
[121690776, 115201947, 198483596, 115073004]
[28779114, 129128005, 226220635, 119718051]
[218542507, 27686776, 57877320, 101656481]
[28779114, 129128005, 90017851, 223345129]
[10106479, 190143267, 31611117, 94571194]
[167539219, 200713290, 145776618, 221758209]
[121975721, 14824860, 80600832, 160653964]
[104573498, 121415770, 149472192, 187891726]
[245186357, 33815929, 81317813, 56987016]
[161888310, 59938753, 23354608, 163489156]
[74869342, 30527162, 33520167, 94528956]
[245186357, 56476491, 70478236, 78035755]
[152865647, 34304426, 62534149, 180961701]
[112655291, 19209424, 128847631, 39081452]
[25353857, 25548869, 12019275, 44708851]
[230911772, 236055048, 59841582, 218646215]
[121773903, 154727771, 215699634, 209110259]
[231488027, 32101784, 127865537, 154034083]
[188932858, 115146698, 145452173, 211740447]
[82232448, 22215910, 137186544, 137601754]
[211804832, 138574305, 94342188, 23325149]
[239393237, 164714934, 246715145, 218000020]
[243854923, 131996813, 143905498, 72933]
[211510271, 46724623, 192930472, 208270295]
[86090961, 198884680, 203601935, 237275975]
[125297590, 105327896, 199978104, 208083968]
[240507357, 88950933, 207300081, 150987003]
[208230092, 214761888, 193867375, 85227644]
[174915493, 10216631, 201309610, 189355295]
[139255779, 168173206, 147377315, 32525507]
[218542507, 210706211, 70638578, 247666509]
[211510271, 40815467, 175548497, 201468744]
[139255779, 91820978, 191620793, 47012473]
[20975483, 230656521, 145023674, 247347844]
[188932858, 159514019, 138367363, 195161933]
[112655291, 19209424, 78637201, 3582407]
[115917063, 113950444, 62884421, 119966799]
[184452350, 76673988, 26762926, 34310699]
[124619536, 212270092, 18763595, 244699193]
[152865647, 34304426, 62534149, 196862949]
[197930535, 234635560, 135700399, 74886964]
[96343362, 100486110, 207436691, 106827512]
[72760936, 3767875, 225562151, 33338587]
[20649053, 38514294, 51410810, 46489116]
[210253789, 186269903, 135252581, 53641965]
[147630629, 151334426, 141540138, 24819106]
[85998254, 248045083, 25312165, 59558190]
[245186357, 104175749, 161846456, 102162315]
[239393237, 164714934, 224904743, 136954575]
[27929889, 82163150, 1003864, 130931806]
[20195691, 76067494, 114991732, 54686289]
[154551859, 132819502, 6276547, 122802229]
[74329510, 39112394, 143983921, 14633437]
[108346240, 182739968, 124173827, 76354141]
[151970870, 105653424, 194192038, 141529161]
[74329510, 124765354, 49009538, 121122981]
[185689250, 229926954, 157537070, 247628645]
[160482675, 152741116, 87144591, 29182543]
[121975721, 107116936, 187684362, 70889674]
[211510271, 40815467, 12295450, 74057130]
[128833818, 179713442, 44804905, 196602878]
[103795362, 77377293, 162264657, 26450999]
[245186357, 179224212, 67875021, 112909398]
[85998254, 248045083, 240040489, 48302114]
[205226715, 161852671, 153828978, 10844735]
[60417925, 70729437, 195152800, 175899869]
[8685447, 234393374, 146940291, 239139830]
[205972194, 86177255, 137657541, 39857290]
[9953629, 27976225, 52313431, 245253164]
[245186357, 51214878, 45978248, 155615916]
[124206638, 48607635, 205159272, 126014410]
[148907630, 26611378, 223997019, 11347164]
[80810737, 60516862, 185720481, 143117713]
[28939697, 123364048, 231894319, 163193455]
[131161949, 182719904, 31830738, 163263028]
[106261171, 126184161, 158442460, 237673443]
[167760064, 204843996, 95512637, 45367527]
[177119877, 214819640, 209692584, 193307756]
[23593792, 205572457, 2412153, 162335551]
[184452350, 102640177, 188451254, 108268505]
[82205394, 222031531, 97617751, 235463375]
[218922006, 56951424, 141743022, 20912480]
[169492383, 134805362, 204695085, 79691146]
[139407978, 206633498, 209469094]
[20649053, 159297347, 220518017, 229588212]
[76710225, 61686088, 75379133, 61312916]
[10106479, 99839777, 84934558, 77107527]
[115889120, 99949980, 241234268, 85626367]
[211316160, 37095821, 218824995, 121604312]
[84732876, 241789311, 246663332, 6173210]
[74256662, 133612070, 30474059, 245905876]
[152760441, 41836273, 30896378, 53564557]
[84732876, 241789311, 246663332, 3786362]
[76710225, 167739046, 165438592, 36143297]
[54792871, 223562163, 178724447, 154157943]
[211804832, 103588449, 153329831, 33188245]
[169717436, 214896517, 160185875, 151501997]
[218542507, 27686776, 57877320, 115707801]
[92409577, 36859405, 163744403, 175531654]
[60417925, 159601639, 127365411, 16765796]
[181938804, 60690532, 208005699, 241241750]
[181938804, 163199325, 123452341, 188638903]
[245186357, 104175749, 209709172, 126615424]
[20649053, 38514294, 54647700, 174102139]
[160482675, 174482424, 77603558, 50271523]
[205972194, 86177255, 137657541, 78628145]
[226962391, 114645840, 2251938, 72194581]
[188932858, 115146698, 234256803, 182262024]
[106261171, 138199889, 146316921, 179288355]
[211804832, 138574305, 242838564, 188030565]
[226962391, 159214288, 117719163, 118108727]
[181938804, 60690532, 76340025, 28135936]
[117485685, 71142349, 113275482, 177763502]
[245186357, 33815929, 108123936, 58232717]
[9953629, 187022359, 176899446, 188876662]
[195122300, 8092110, 93657706, 99431903]
[211510271, 40815467, 175548497, 2406097]
[205226715, 133867163, 142713574, 95711038]
[152760441, 41836273, 30896378, 246166940]
[80810737, 179338136, 62663263, 47467154]
[31297005, 54490622, 234779012, 57687370]
[121690776, 99657203, 206690793, 205289855]
[188932858, 200934080, 97777798, 87911841]
[211510271, 200640855, 93455200, 205246799]
[60417925, 238812475, 151843815, 190030324]
[204318514, 96260484, 124198569, 210335078]
[108906837, 199773189, 71402764, 29015971]
[148907630, 143141347, 51124938, 61812059]
[181938804, 42064276, 19038464, 231074574]
[48016099, 12649474, 85854525, 239778369]
[154023279, 229367198, 58448022, 164800284]
[218922006, 56951424, 141743022, 121963644]
[49986552, 151382489, 101485566, 233878919]
[104573498, 192955018, 133710613, 172965008]
[205226715, 6410317, 33411996, 142283469]
[108304558, 205317970, 20673001, 152889963]
[218542507, 15545, 82329052, 66051205]
[28779114, 129128005, 90017851, 158852497]
[222119453, 85409032, 82869299, 75997975]
[37206059, 139096211, 31799440, 148873270]
[49431804, 239753856, 105078153, 130765319]
[84520636, 237778570, 196168764, 6740297]
[181938804, 163199325, 211734849, 148297856]
[121975721, 42062284, 75194355, 13024942]
[96343362, 35688949, 120403719, 8572527]
[32676012, 43798277, 111181810, 234341394]
[169492383, 134805362, 104463455, 61755331]
[22619776, 109555255, 199440713, 183041558]
[231488027, 32101784, 127865537, 162281022]
[227085835, 146934373, 148571485, 58985340]
[103795362, 77377293, 162264657, 155476762]
[211510271, 40815467, 175548497, 118824372]
[169313277, 46027908, 89275938, 192993033]
[85998254, 248045083, 240040489, 65201240]
[185021265, 120449815, 33146577, 203946957]
[82205394, 222031531, 97617751, 27697517]
[27154418, 2070364, 154566045, 94808558]
[240507357, 41775614, 33310911, 237182466]
[184452350, 76673988, 118948775, 182255855]
[202934950, 176470526, 50794561, 108181639]
[28939697, 114464836, 89076961, 54516787]
[59717361, 134711651, 144501605, 70817476]
[185689250, 130812845, 120689371, 15712167]
[54792871, 223562163, 178724447, 99504548]
[155906635, 180949973, 155674107, 155094970]
[42779529, 94357672, 139610103, 22257387]
[118692768, 135569123, 179162329, 224354174]
[84732876, 229889095, 57651566, 102953828]
[141361673, 162202163, 65247730, 24296962]
[141361673, 162202163, 65247730, 57642163]
[169492383, 134805362, 204695085, 61696065]
[99697683, 8582985, 171381387, 154584420]
[190568229, 125161204, 110226349, 109342678]
[121975721, 42062284, 93893883, 4420759]
[58430490, 28910503, 198642635, 97157965]
[139255779, 168173206, 147377315, 16871837]
[47163196, 31168336, 60807112, 8329484]
[218542507, 210706211, 73665838, 242370252]
[18782487, 99425399, 158408151, 183437008]
[74869342, 30527162, 33520167, 30450917]
[208401552, 123724305, 159653775, 168513786]
[188932858, 115146698, 241612689, 48687661]
[181938804, 60690532, 208005699, 223541913]
[239679406, 25346579, 66525943, 236458262]
[119048721, 189256057, 153933443, 137317665]
[188932858, 200934080, 132971194, 91700931]
[27929889, 82163150, 44886673, 153946123]
[128833818, 179713442, 44804905, 182107336]
[32676012, 39276597, 190035849, 152439496]
[184452350, 117534910, 85483031, 226603022]
[169717436, 247028421, 155505058, 42673671]
[139407978, 206633498, 150172527]
[239554898, 105465088, 218365829, 203396497]
[184452350, 117534910, 86206692, 212275701]
[212693721, 105778852, 215022620, 192183846]
[211316160, 37095821, 124213554, 23529484]
[199976190, 56628013, 175571629, 240958444]
[9953629, 27976225, 52313431, 59196996]
[140347209, 95659942, 12181521, 210266546]
[239393237, 164714934, 240019004, 198752407]
[104933563, 21546646, 199216700, 21876322]
[211804832, 103588449, 187930436, 30070197]
[205972194, 61946850, 217597649, 241053092]
