[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 210052731]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 22718081]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 121449404]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 65143460]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 46046716]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 18195251]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 21085697]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 169520940]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 96733924]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 205004332]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 98539915]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 82764075]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 13979312]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 18797745]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 182937834]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 11434023]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 207695384]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 7752859]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 168362726]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 115992889]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 203192771]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 93626806]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 223542938]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 228714668]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 63033030]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 122669735]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 242519342]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 145498493]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 141591347]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 191278411]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 221252992]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 144785935]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 221399304]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 194384642]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 203807485]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 79964452]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 123145260]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 244376482]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 56247885]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 117050450]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 143874554]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 165799767]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 46608338]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 153910812]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 207176825]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 225066489]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 112330702]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 97357570]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 158517583]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 152092164]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 42917445]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 44435632]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 2108482]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 141309922]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 120539927]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 39610493]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 171752058]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 22767739]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 89206307]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 3774828]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 229286293]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 34132304]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 21175949]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 99343656]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 31090222]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 143434513]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 77228864]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 70838170]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 45733627]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 37113182]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 110242938]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 30092218]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 211089392]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 235797257]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 151867022]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 50021329]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 11964838]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 153206085]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 141581416]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 63309980]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 229617723]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 68891539]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 211922362]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 164061386]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 49930866]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 61950058]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 238969876]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 31768018]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 195979539]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 28899880]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 60096599]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 63989645]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 196235165]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 116081741]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 121351705]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 97497891]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 194752241]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 110249822]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 14343313]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 246928694]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 157913056]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 79656223]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 234618440]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 234665478]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 191845997]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 144105947]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 62899486]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 66557229]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 91317886]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 84878010]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 78706066]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 37909994]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 64524450]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 128513465]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 55206559]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 110299814]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 231990861]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 206949594]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 38443963]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 147048960]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 189082404]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 232674521]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 89259627]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 13814178]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 80264060]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 134253369]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 211015481]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 55251988]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 214944313]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 175006047]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 210803415]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 214457917]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 221085850]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 108998141]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 226999330]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 81475633]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 137663944]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 62629029]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 69589668]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 41245374]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 30178373]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 72666466]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 48877465]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 200254993]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 75071188]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 172152832]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 31898057]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 22177891]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 23574862]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 195631660]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 185454033]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 15252230]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 225855491]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 144489395]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 4118473]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 4608448]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 41694846]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 167754041]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 85177558]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 216417099]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 230154762]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 11952037]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 206880875]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 121058904]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 90694375]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 120804314]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 159616711]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 148121096]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 134177939]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 34224532]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 201275558]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 94994232]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 26138604]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 163877411]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 114172026]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 1634113]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 199405988]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 95336224]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 157961065]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 141892263]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 57310066]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 40668891]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 69527143]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 215805002]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 171558154]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 27159315]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 13247298]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 122637468]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 70635799]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 187477670]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 357052]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 51751705]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 99104140]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 197781615]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 239849437]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 212165705]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 48157578]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 99016224]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 39593]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 104463043]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 113197248]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 137317957]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 106584591]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 19924908]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 107265626]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 119141903]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 52803711]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 49561354]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 36307852]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 62919052]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 57412753]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 160057667]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 221383660]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 187276116]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 194202604]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 130101252]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 202207842]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 15354058]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 168558946]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 89119948]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 34644067]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 103010239]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 231948244]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 87368112]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 52061512]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 228892893]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 162893501]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 33914186]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 116510411]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 227446385]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 248666399]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 170289982]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 145348566]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 212060571]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 198348890]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 234121861]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 245050442]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 191702394]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 24504263]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 116382449]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 232006733]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 141427003]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 184381124]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 240673192]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 16553465]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 207634501]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 167380136]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 37990436]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 225668616]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 83209842]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 197574697]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 51243037]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 159678633]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 148039838]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 133491203]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 165261152]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 11314086]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 38438822]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 48345868]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 55801099]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 35020151]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 94495443]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 206235567]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 49188796]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 188293868]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 91464092]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 44314425]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 58853116]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 4282661]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 163940140]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 13699669]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 231649975]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 130258770]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 87477554]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 70576410]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 205687848]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 238329158]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 147548245]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 41394291]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 191535725]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 6375687]
