[189558414, 165918446]
[211316160, 178211004]
[49986552, 151382489]
[76710225, 167739046]
[222119453, 30017179]
[63174497, 212828449]
[181296040, 94487627]
[172696320, 32584832]
[40401329, 76040311]
[115917063, 103808976]
[71871323, 133262927]
[85279524, 125745037]
[96017771, 5878864]
[169367494, 206781613]
[25831861, 107167498]
[101060348, 149510120]
[200983886, 183438491]
[111584673, 59739155]
[45635097, 32671900]
[23310579, 202611236]
[28939697, 83720688]
[151543221, 193077105]
[123668162, 11044457]
[18782487, 203178984]
[211316160, 37095821]
[139407978]
[205226715, 6410317]
[112868826, 181312294]
[169367494, 117013693]
[115917063, 113950444]
[124206638, 48607635]
[213112826, 23140694]
[35552242, 53579383]
[106261171, 44990710]
[169717436, 168877842]
[166462820, 132071187]
[169313277, 37558859]
[154551859, 132819502]
[139255779, 10547589]
[40401329, 133505597]
[211510271, 40815467]
[218542507, 27686776]
[68651624, 106338614]
[19175843, 157432727]
[190568229, 125161204]
[148907630, 54935486]
[139255779, 117323211]
[204923669, 199255267]
[82232448, 22215910]
[76710225, 61686088]
[243714234, 117825797]
[181938804, 60690532]
[23183317, 218987044]
[139255779, 168173206]
[169313277, 205586708]
[42779529, 27928593]
[115958651, 191872259]
[106261171, 126184161]
[101060348, 29009587]
[108906837, 199773189]
[48010339, 198372177]
[211804832, 103588449]
[25697498, 77395586]
[74869342, 30527162]
[211804832, 156354737]
[75663637, 64777566]
[113599894, 57047357]
[10106479, 190143267]
[74869342, 220737497]
[49431804, 24092436]
[167030917, 87573310]
[239393237, 4224218]
[138303920, 231655971]
[204923669, 55371512]
[205972194, 61946850]
[74329510, 124765354]
[177119877, 208669082]
[163281275, 20098380]
[167355494, 148358260]
[63174497, 160842525]
[231488027, 27827091]
[168481628, 26849880]
[121690776, 99657203]
[10106479, 48368057]
[137211934, 209134723]
[121773903, 83826990]
[71126603, 195320975]
[155939215, 2597427]
[118692768, 216035861]
[187454949, 87298462]
[184452350, 76673988]
[121773903, 154727771]
[154023279, 116122248]
[202934950, 176470526]
[8312140, 4138665]
[205972194, 86177255]
[167539219, 158555500]
[173377106, 227979404]
[128396256, 69852507]
[245186357, 104175749]
[18886745, 171114377]
[45933536, 226169037]
[151970870, 105653424]
[205226715, 161852671]
[73351518, 593821]
[184029640, 149899682]
[99697683, 45418046]
[27154418, 153048969]
[47163196, 31168336]
[60417925, 51741037]
[10737719, 216304733]
[205226715, 133867163]
[211316160, 65884239]
[104652219, 82118766]
[121975721, 107116936]
[150812197, 91890892]
[106261171, 138199889]
[23310579, 94561039]
[214976764, 247775157]
[182613668, 118064322]
[211804832, 138574305]
[99697683, 8582985]
[205226715, 1761990]
[24231581, 15527440]
[141361673, 190697245]
[244573357, 141960840]
[123585542, 70375513]
[160482675, 152741116]
[74488996, 178571954]
[20195691, 248537501]
[112868826, 66077729]
[125297590, 105327896]
[18782487, 99425399]
[116640107, 175919948]
[183179259, 132813165]
[36407469, 133056190]
[239393237, 197938988]
[115917063, 218112142]
[119048721, 38865535]
[190568229, 107439016]
[37206059, 139096211]
[84448557, 122218189]
[49431804, 142612358]
[149835576, 242201754]
[90480851, 90748674]
[97733179, 60584128]
[162374829, 40832358]
[176878569, 103162700]
[193806968, 470386]
[18886745, 77645596]
[103795362, 77377293]
[46100675, 222867026]
[123465332, 878901]
[135890512, 174840332]
[60290327, 187049375]
[208401552, 97666375]
[123288860, 93305486]
[151076444, 49509681]
[64151556, 126709417]
[133122770, 110032371]
[142726518, 34596491]
[80803338, 160821069]
[136727690, 201735294]
[152051790, 234808695]
[177119877, 2276120]
[13109669, 183281256]
[112655291, 83034732]
[20975483, 21156051]
[174915493, 151627699]
[106335033, 136435540]
[228705482, 152868009]
[19175843, 96824979]
[74256662, 133612070]
[115889120, 99949980]
[220463203, 64559263]
[145423894, 69234537]
[199976190, 80403497]
[19589958, 56927136]
[37099163, 168757601]
[13886713, 135499433]
[97733179, 21151816]
[185689250, 229926954]
[212413957, 199631261]
[116105893, 10160619]
[166720794, 133996207]
[35552242, 162669051]
[90480851, 82849463]
[145167082, 65085122]
[55808678, 194561510]
[233262282, 231812234]
[108304558, 21000924]
[94090357, 247947557]
[192049153, 182605989]
[35552242, 240578518]
[96343362, 5846392]
[8912603, 94169358]
[239679406, 178501979]
[133675659, 107009531]
[24623812, 245607729]
[151076444, 138684335]
[119279335, 22055829]
[182613668, 241030659]
[23593792, 95119995]
[161928706, 114233017]
[78660930, 30808957]
[90003289, 200663835]
[155770077, 66870997]
[183340201, 189313754]
[185689250, 29322618]
[9953629, 27976225]
[150812197, 207907728]
[19161165, 156614411]
[202536968, 23847113]
[212693721, 113727514]
[170136299, 240379569]
[136301248, 129895494]
[85998254, 162985936]
[246969109, 190382624]
[35552242, 238388034]
[63945555, 167105786]
[117485685, 71142349]
[154517430, 186727147]
[152760441, 85947700]
[147630629, 151334426]
[200989659, 215957523]
[95282921, 131883630]
[18886745, 225393292]
[228705482, 162198097]
[99046567, 82574053]
[52426013, 145770807]
[21720706, 145548288]
[155506535, 10099291]
[48376133, 167048627]
[176878569, 125470079]
[108304558, 39313408]
[190568229, 44761891]
[239554898, 189875412]
[84448557, 80102971]
[92409577, 36859405]
[84732876, 16710477]
[231317122, 157627508]
[60417925, 238812475]
[173377106, 91503710]
[115536302, 175461114]
[16408393, 191831767]
[116313481, 65756171]
[83228600, 191708266]
[106335033, 211418663]
[148907630, 26611378]
[163563529, 102074588]
[43279741, 86407373]
[147805946, 123986838]
[47498947, 157859168]
[83435517, 160810926]
[22619776, 37360844]
[188932858, 5838940]
[85279524, 136537575]
[242854898, 161917206]
[221589199, 177361711]
[181938804, 42064276]
[103795362, 159704805]
[76832338, 137469819]
[67097246, 229073948]
[222119453, 80460225]
[148636840, 209046246]
[24231581, 231409653]
[84732876, 229889095]
[152051790, 54368815]
[119048721, 189256057]
[233262282, 87811742]
[174744479, 39961540]
[243854923, 131996813]
[163042645, 131275937]
[136727690, 121954494]
[142682117, 47446541]
[60290327, 198465013]
[155770077, 125273507]
[239679406, 224062054]
[164878588, 180251660]
[173932799, 86115254]
[245186357, 179224212]
[232851278, 76379705]
[177119877, 83093104]
[188932858, 159514019]
[20975483, 71259546]
[154551859, 47812082]
[122022488, 195333470]
[169492383, 134805362]
[90043963, 150300186]
[133082889, 140333780]
[94970487, 117811155]
[113588501, 150903877]
[218922006, 139790624]
[102428331, 177733082]
[45933536, 152394615]
[233262282, 175781065]
[173377106, 137770236]
[32676012, 39276597]
[7000320, 229740754]
[169717436, 228305960]
[115889120, 31020238]
[106213047, 178262686]
[64151556, 161405250]
[169744084, 68986932]
[214466091, 82210690]
[230911772, 190094319]
[19078720, 134176281]
[67798642, 110533589]
[10971906, 85868500]
[117446671, 228300849]
[240973929, 83532539]
[85145777, 114138566]
[48016099, 211611580]
[112000692, 137625108]
[72895078, 17932490]
[233262282, 183330355]
[239393237, 125604638]
[182613668, 130660602]
[72760936, 1751683]
[226962391, 39232694]
[147426456, 191971203]
[168520659, 227480005]
[172696320, 143474591]
[20621167, 160721844]
[202536968, 196923317]
[211957614, 126393308]
[239196886, 125080126]
[240507357, 88950933]
[219868898, 21390277]
[9953629, 187022359]
[221959728, 37354114]
[37099163, 174337764]
[109083282, 112470743]
[96343362, 204324079]
[65902455, 211625757]
[46100675, 242357310]
[108304558, 205317970]
[167539219, 192052900]
[27329134, 153546334]
[213662353, 20924377]
[244685538, 148369074]
[155906635, 180949973]
[184794556, 216242527]
[134155033, 340230]
[149858644, 36004152]
[142726518, 13009925]
[43279741, 236671125]
[242549143, 168733442]
[131161949, 182719904]
[123585542, 150509471]
[220047070, 193972442]
[139669204, 59857076]
[60417925, 70729437]
[243714234, 202223426]
[147805946, 82011458]
[169717436, 38933966]
[45303027, 244040046]
[113075252, 78142983]
[20621167, 224126767]
[45303027, 233511466]
[28939697, 123364048]
[88797558, 237884803]
[112000692, 229166300]
[125742946, 13189513]
[244685404, 212381657]
[32676012, 181814671]
[83435517, 87688558]
[21720706, 134383314]
[190361006, 166642015]
[43279741, 54733268]
[20975483, 210504506]
[146418165, 238957552]
[35552242, 214134677]
[88331270, 147368379]
[154023279, 157930057]
[121975721, 12187143]
[25001273, 207839760]
[76562561, 10340272]
[242996793, 160266257]
[127187282, 231831]
[47818127, 78480358]
[244452499, 136961383]
[169717436, 96660292]
[126416466, 38041496]
[7000320, 111365154]
[145423894, 46325335]
[10971906, 106455583]
[247488932, 234991084]
[171220024, 238949519]
[195122300, 132357371]
[96343362, 100486110]
[214617228, 115880274]
[106335033, 130372207]
[239679406, 25346579]
[161004947, 154333658]
[88331270, 168225445]
[162470103, 225024636]
[22619776, 25028571]
[218922006, 196129795]
[205407009, 148681891]
[10379212, 12391743]
[187277852, 98149871]
[236794042, 48703567]
[212693721, 105778852]
[192922221, 26185746]
[132487088, 76511490]
[221959728, 171317621]
[244452499, 16903407]
[99046567, 100569622]
[67097246, 144831373]
[184589024, 20669782]
[72760936, 127608811]
[60290327, 14518810]
[48376133, 238699841]
[162649472, 94017805]
[226962391, 159214288]
[173651877, 69134606]
[124619536, 130322199]
[24231581, 212029642]
[48376133, 128846398]
[147518822, 88485269]
[46100675, 180066968]
[86090961, 198884680]
[128833818, 179713442]
[151076444, 14510317]
[164878588, 245665971]
[236673671, 159052902]
[192049153, 16345858]
[22619776, 109555255]
[84732876, 63102519]
[18523200, 237669608]
[13886713, 84410896]
[174915493, 118188076]
[49431804, 239753856]
[84448557, 165858519]
[240322167, 86612572]
[231317122, 213381071]
[202536968, 135045668]
[168481628, 104407296]
[63945555, 45044359]
[169744084, 64192398]
[48016099, 60612335]
[113588501, 213680554]
[132487088, 32334751]
[76832338, 162807332]
[244348276, 212078615]
[96343362, 228324357]
[197930535, 234635560]
[185689250, 50013040]
[104573498, 139736287]
[44567748, 170653476]
[59624713, 201443810]
[131161949, 144682912]
[59461186, 63415468]
[195122300, 8092110]
[83222023, 31285400]
[46100675, 97192328]
[80810737, 179338136]
[147518822, 153639160]
[243437450, 43358678]
[240973929, 83097505]
[174915493, 246844864]
[40653400, 91940831]
[59461186, 155745095]
[51132729, 24067603]
[240322167, 180066429]
[169717436, 196396330]
[61057997, 61487253]
[243905995, 42611270]
[113075252, 2913513]
[239208748, 140345608]
[171272310, 63221876]
[159080285, 121798087]
[242854898, 196699741]
[22619776, 75911925]
[234718713, 240378660]
[113599894, 81589506]
[243714234, 32362445]
[88279509, 60221365]
[184029640, 77281074]
[49986552, 172476873]
[123585542, 226332800]
[169717436, 214896517]
[77215159, 82659043]
[20649053, 57947421]
[215795196, 174266546]
[171220024, 136130465]
[127210407, 163387181]
[54766111, 6971070]
[212693721, 111808599]
[169717436, 247028421]
[185021265, 120449815]
[88279509, 5668991]
[151076444, 37107483]
[166649987, 159264610]
[135890512, 132992953]
[115889120, 152801122]
[27082448, 54456177]
[22619776, 178224923]
[223787457, 102279757]
[19822928, 120630672]
[83228600, 3760306]
[79009743, 115146509]
[32676012, 43798277]
[117422950, 236487046]
[202536968, 98935436]
[112000692, 176164101]
[220463203, 184655377]
[140347209, 95659942]
[241718137, 240234294]
[61057997, 92224620]
[140347209, 117240589]
[28779114, 224985786]
[243714234, 87964702]
[243437450, 176741703]
[174915493, 120643602]
[94480132, 224496024]
[62597575, 167718560]
[31297005, 54490622]
[169313277, 46027908]
[93206151, 125675907]
[166649987, 73766708]
[166835262, 3927392]
[151076444, 82790764]
[125211972, 224821293]
[80810737, 125557316]
[72760936, 139060137]
[88279509, 173681530]
[71640451, 11941135]
[244685538, 92361093]
[173651877, 210339074]
[42239749, 105866649]
[55041008, 68257947]
[119048721, 211230462]
[32676012, 195138918]
[170206712, 86693755]
[245186357, 53095622]
[164878588, 71104523]
[231967018, 133229236]
[148907630, 143141347]
[197022686, 78851938]
[46100675, 79142219]
[124619536, 212270092]
[210170368, 82551789]
[177119877, 56057035]
[119279335, 170966679]
[134509180, 133961499]
[44567748, 126898771]
[136301248, 173237109]
[183179259, 221400958]
[154023279, 69813054]
[218922006, 56951424]
[162649472, 196857788]
[108346240, 182739968]
[246969109, 224029868]
[60417925, 159601639]
[13886713, 25432361]
[162374829, 195052861]
[207053706, 37845295]
[59461186, 189110064]
[236794042, 165328491]
[75857740, 82351932]
[181296040, 163704310]
[115889120, 41666144]
[133122770, 209931687]
[149858644, 196436553]
[28779114, 181551140]
[183340201, 105434906]
[84520636, 237778570]
[145423894, 39430917]
[179498829, 84856051]
[172115898, 206470807]
[155939215, 236852020]
[60798500, 147313162]
[246969109, 27247658]
[63945555, 123653059]
[32676012, 4730698]
[16205631, 11382290]
[67615727, 235010115]
[170206712, 12111425]
[245320332, 130954244]
[88331270, 225549642]
[243437450, 183223320]
[112655291, 19209424]
[130878206, 145515555]
[243335563, 192363260]
[84520636, 109802059]
[31297005, 43045308]
[117422950, 182157230]
[177119877, 214819640]
[66929354, 235024254]
[233481409, 68748846]
[13109669, 89036128]
[117155021, 75604729]
[173932799, 241111611]
[16205631, 60885310]
[212693721, 210342764]
[125742946, 109111893]
[60949251, 223791664]
[149022243, 154542191]
[82205394, 222031531]
[35552242, 93220486]
[54792871, 223562163]
[199976190, 56628013]
[101068407, 38221698]
[169492383, 26111971]
[239208748, 127549583]
[190361006, 52513827]
[208401552, 123724305]
[233262282, 80724317]
[5721935, 75744963]
[203651932, 104687972]
[231967018, 205292596]
[113599894, 61369480]
[162649472, 232152585]
[214976764, 232135327]
[80765703, 141535867]
[233365345, 69179940]
[220047070, 171574254]
[221615651, 43084408]
[123465332, 65575915]
[146595498, 26426060]
[150812197, 121922710]
[185689250, 188949276]
[244452499, 124956772]
[83228600, 172974354]
[154517430, 86928574]
[16408393, 153037207]
[85998254, 223193043]
[231967018, 114262984]
[108906837, 93537068]
[154023279, 136585538]
[133122770, 211224738]
[166462820, 196524401]
[125742946, 13635891]
[223600769, 231898469]
[164878588, 229867315]
[240507357, 41775614]
[12731419, 188372106]
[28939697, 114464836]
[19822928, 44523569]
[72760936, 3767875]
[144198019, 80312031]
[226962391, 114645840]
[233262282, 136175078]
[18782487, 7884573]
[115889120, 104638425]
[199976190, 40927225]
[146418165, 99355176]
[174915493, 112884756]
[188932858, 115146698]
[60417925, 190170276]
[133122770, 132100747]
[63174497, 133172007]
[19981799, 82782043]
[149858644, 18923072]
[121690776, 115201947]
[140347209, 25798347]
[76562561, 138713893]
[20195691, 163393198]
[63945555, 43536129]
[71871323, 188768902]
[146595498, 201312670]
[194815188, 22571434]
[113588501, 235482425]
[67798642, 135732787]
[173651877, 238763074]
[231967018, 30051911]
[210253789, 186269903]
[108304558, 148789816]
[10106479, 54187530]
[94970487, 8847874]
[164878588, 146312300]
[104573498, 192955018]
[80017818, 129207551]
[198727197, 42087152]
[185689250, 130812845]
[63945555, 78142380]
[173377106, 79340372]
[155770077, 30143622]
[76832338, 26212015]
[70080086, 16951683]
[169313277, 9510243]
[31306188, 77504286]
[208401552, 223773474]
[10971906, 167142189]
[125742946, 165560546]
[205340485, 82942229]
[121975721, 14824860]
[45265502, 45886455]
[85279524, 9931594]
[169744084, 52786665]
[240507357, 54097572]
[222119453, 85409032]
[91551793, 202202301]
[23191613, 190487640]
[96343362, 35688949]
[131161949, 52413873]
[170206712, 165499749]
[135890512, 108824836]
[181809706, 127964832]
[5297002, 160300514]
[18782487, 180228062]
[203651932, 94242140]
[47818127, 142141932]
[117422950, 78440541]
[70079855, 233096751]
[60417925, 96970598]
[173651877, 2691172]
[160895831, 96828110]
[32676012, 232977105]
[108304558, 141444190]
[176878569, 136597471]
[162374829, 125704402]
[218542507, 210706211]
[145167082, 229410076]
[190361006, 53123211]
[192049153, 243314197]
[154023279, 229367198]
[58203596, 113690720]
[133122770, 47323599]
[224589236, 188349347]
[40653400, 33293655]
[21720706, 143861235]
[99046567, 139422531]
[228705482, 141241734]
[169367494, 62025314]
[132487088, 223658056]
[114104208, 119582668]
[92409577, 127201543]
[245186357, 143556835]
[205407009, 243689949]
[84732876, 241789311]
[58430490, 28910503]
[239554898, 46929044]
[166720794, 107996528]
[163042645, 192632287]
[243883955, 86164911]
[94500101, 121980857]
[165168983, 190835370]
[188932858, 122049085]
[155770077, 155633713]
[106213047, 138349628]
[86545110, 138515452]
[226962391, 5284439]
[20649053, 35565090]
[72760936, 13796885]
[218281183, 239086158]
[204923669, 241002532]
[47818127, 79352044]
[205407009, 221138610]
[218542507, 15545]
[211725820, 3180768]
[187793648, 136876475]
[236067876, 59899452]
[42239749, 151051296]
[182613668, 176756533]
[32676012, 128718480]
[224589236, 181327295]
[19822928, 142531718]
[148907630, 46740253]
[24194955, 76947171]
[85998254, 248045083]
[203651932, 134899720]
[173932799, 243777372]
[59461186, 177985189]
[43279741, 63680851]
[236794042, 1115990]
[47818127, 167801621]
[161004947, 111143488]
[204318514, 96260484]
[163042645, 87527887]
[16755745, 67898531]
[242767556, 223313203]
[244685538, 202320834]
[173377106, 208385463]
[139407978, 30753859]
[226962391, 31054327]
[123288860, 18698664]
[159080285, 42171795]
[136727690, 26278986]
[126015619, 3034421]
[174915493, 109111730]
[25353857, 25548869]
[182135464, 23511708]
[182613668, 214215086]
[19078720, 176587752]
[19822928, 59458312]
[243437450, 104920355]
[117485685, 174210268]
[67097246, 211486330]
[115889120, 72882766]
[48376133, 51740868]
[133122770, 43283876]
[43279741, 61942618]
[64151556, 214470560]
[196525588, 123491644]
[171272310, 61763503]
[152051790, 150615245]
[125211972, 143541726]
[187793648, 164851756]
[93206151, 120031045]
[83222023, 236466475]
[60290327, 111591637]
[123465332, 106382318]
[55808678, 42425852]
[147518822, 122122603]
[207966434, 70493937]
[45265502, 184898357]
[183179259, 89443200]
[72760936, 12731821]
[23593792, 42095503]
[123585542, 93817862]
[161888310, 59938753]
[204949767, 160560165]
[102042198, 246277992]
[70079855, 193500539]
[136727690, 211246904]
[25831861, 21261]
[213579804, 244349371]
[141252012, 96976254]
[213662353, 24528257]
[199976190, 8845771]
[181938804, 163199325]
[188932858, 25041467]
[13886713, 59039261]
[97733179, 71749796]
[87995577, 64817325]
[49431804, 122002231]
[21720706, 84229291]
[108304558, 216509648]
[185021265, 204455866]
[244452499, 148250918]
[104933563, 21546646]
[13109669, 214844984]
[124619536, 207277790]
[83435517, 31853407]
[239554898, 102907710]
[176878569, 107188144]
[48016099, 12649474]
[45303027, 62632160]
[220463203, 215679129]
[61385347, 78634328]
[27154418, 2070364]
[21720706, 242384619]
[152865647, 34304426]
[24231581, 204363700]
[20975483, 230656521]
[104573498, 121415770]
[88331270, 202267763]
[20649053, 159297347]
[125302975, 53537134]
[7000320, 205334586]
[244685538, 87746015]
[161004947, 183664940]
[77215159, 54679462]
[174915493, 10216631]
[195122300, 168264111]
[145423894, 199103165]
[70079855, 36823935]
[245186357, 51214878]
[245269388, 182249776]
[185575805, 23814296]
[92642016, 202561875]
[20975483, 40976009]
[224589236, 117889359]
[149022243, 19153549]
