[23352730, 119400816, 86172609, 205958532]
[139546810, 239589720, 133551693, 59573031]
[139546810, 239589720, 133551693, 122677677]
[23352730, 166909107, 28473185, 50455199, 163160262]
[92371730, 165264122, 73616657, 64482174, 248728822]
[23352730, 119400816, 86172609, 108978886, 140014919]
[23352730, 176157657, 145969510, 219043633, 29859351]
[23352730, 166909107, 28473185, 50455199, 123066598]
[23352730, 176157657, 145969510, 219043633, 205637540]
[139546810, 239589720, 133551693, 132224230]
[23352730, 119400816, 202357487, 38797323]
[23352730, 119400816, 86172609, 182731818, 170358042]
[23352730, 166909107, 28473185, 50455199, 94631981]
[23352730, 79325002, 248242818, 128229141, 186166756]
[23352730, 176157657, 145969510, 246293864, 232848561]
[23352730, 119400816, 202357487, 208639337]
[23352730, 119400816, 86172609, 205958532, 146926902]
[23352730, 176157657, 145969510, 246293864, 7154982]
[23352730, 176157657, 145969510, 219043633, 224323849]
[139546810, 239589720, 133551693, 56670772]
[23352730, 119400816, 86172609, 108978886, 98088204]
[23352730, 79325002, 248242818, 128229141, 117628294]
[92371730, 165264122, 73616657, 64482174, 242231253]
[92371730, 165264122, 73616657, 64482174, 15321901]
[23352730, 176157657, 145969510, 219043633, 98000099]
[23352730, 176157657, 145969510, 219043633, 40578564]
[139546810, 239589720, 133551693, 213641837]
[92371730, 165264122, 73616657, 64482174, 90989008]
[23352730, 119400816, 86172609, 205958532, 147706061]
[23352730, 119400816, 202357487, 79588657]
[23352730, 119400816, 202357487, 40199210]
[23352730, 176157657, 145969510, 219043633, 69757271]
[23352730, 119400816, 86172609, 205958532, 115366297]
[23352730, 166909107, 28473185, 50455199, 222133965]
[23352730, 176157657, 145969510, 219043633, 158660453]
[23352730, 79325002, 248242818, 128229141, 73237853]
[23352730, 176157657, 145969510, 219043633, 76915125]
[23352730, 79325002, 248242818, 128229141, 137315173]
[23352730, 166909107, 28473185, 50455199, 210200549]
[139546810, 239589720, 133551693, 198665048]
[23352730, 119400816, 86172609, 108978886, 76666884]
[23352730, 79325002, 248242818, 128229141, 12070424]
[23352730, 176157657, 145969510, 246293864, 131465230]
[23352730, 119400816, 86172609, 205958532, 223490576]
[23352730, 176157657, 145969510, 246293864, 203912899]
[23352730, 119400816, 86172609, 205958532, 156998909]
[23352730, 119400816, 86172609, 108978886, 183423020]
[23352730, 119400816, 202357487, 85582831]
[23352730, 119400816, 86172609, 205958532, 214948594]
[23352730, 119400816, 202357487, 41985362]
[23352730, 119400816, 86172609, 108978886, 27501641]
[23352730, 166909107, 28473185, 50455199, 155356134]
[23352730, 119400816, 202357487, 9006799]
[92371730, 165264122, 73616657, 64482174, 152987329]
[23352730, 176157657, 145969510, 246293864, 85740928]
[23352730, 176157657, 145969510, 246293864, 242723602]
[23352730, 79325002, 248242818, 128229141, 23862515]
[23352730, 119400816, 202357487, 183025446]
[23352730, 119400816, 202357487, 33243007]
[23352730, 119400816, 86172609, 108978886, 50972421]
[23352730, 166909107, 28473185, 50455199, 228879914]
[23352730, 176157657, 145969510, 219043633, 120186772]
[23352730, 119400816, 86172609, 108978886, 132218564]
[92371730, 165264122, 73616657, 64482174, 89082572]
[23352730, 79325002, 248242818, 128229141, 32628604]
[23352730, 176157657, 145969510, 219043633, 126327134]
[23352730, 79325002, 248242818, 128229141, 214825074]
[92371730, 165264122, 73616657, 64482174, 168914647]
[23352730, 176157657, 145969510, 219043633, 216227123]
[23352730, 166909107, 28473185, 50455199, 24661933]
[23352730, 176157657, 145969510, 219043633, 139057250]
[23352730, 166909107, 28473185, 50455199, 214897348]
[23352730, 119400816, 86172609, 205958532, 52027911]
[23352730, 79325002, 248242818, 128229141, 28967284]
[92371730, 165264122, 73616657, 64482174, 106551965]
[92371730, 165264122, 73616657, 64482174, 146647959]
[23352730, 166909107, 28473185, 50455199, 155903749]
[23352730, 119400816, 86172609, 182731818, 35088252]
[23352730, 166909107, 28473185, 50455199, 5905098]
[23352730, 119400816, 86172609, 205958532, 68296924]
[23352730, 119400816, 202357487, 157866939]
[139546810, 239589720, 133551693, 57701226]
[23352730, 166909107, 28473185, 50455199, 171802638]
[23352730, 79325002, 248242818, 128229141, 137173496]
[92371730, 165264122, 73616657, 64482174, 3465038]
[139546810, 239589720, 133551693, 123483392]
[23352730, 119400816, 86172609, 182731818, 183733988]
[23352730, 79325002, 248242818, 128229141, 91242738]
[23352730, 119400816, 86172609, 108978886, 171960200]
[23352730, 79325002, 248242818, 128229141, 197320403]
[23352730, 119400816, 202357487, 191653577]
[23352730, 166909107, 28473185, 50455199, 104692679]
[23352730, 119400816, 202357487, 186316557]
[23352730, 176157657, 145969510, 219043633, 205432491]
[23352730, 119400816, 202357487, 122068895]
[23352730, 119400816, 86172609, 108978886, 170536731]
[23352730, 176157657, 145969510, 219043633, 77381982]
[23352730, 119400816, 202357487, 134626255]
[23352730, 119400816, 86172609, 205958532, 161145210]
[23352730, 119400816, 86172609, 108978886, 173505095]
[23352730, 166909107, 28473185, 50455199, 74643138]
[23352730, 119400816, 86172609, 108978886, 137296821]
[23352730, 166909107, 28473185, 50455199, 119435531]
[23352730, 166909107, 28473185, 50455199, 130460708]
[139546810, 239589720, 133551693, 197641406]
[23352730, 79325002, 248242818, 128229141, 76186053]
[23352730, 119400816, 86172609, 182731818, 222747591]
[23352730, 119400816, 86172609, 182731818, 39397275]
[23352730, 119400816, 86172609, 108978886, 136690903]
[92371730, 165264122, 73616657, 64482174, 27807636]
[23352730, 119400816, 86172609, 108978886, 242361185]
[23352730, 119400816, 86172609, 205958532, 23913012]
[92371730, 165264122, 73616657, 64482174, 195930418]
[92371730, 165264122, 73616657, 64482174, 5449868]
[23352730, 119400816, 202357487, 124788661]
[139546810, 239589720, 133551693, 7642562]
[23352730, 119400816, 86172609, 108978886, 88152419]
[23352730, 79325002, 248242818, 128229141, 248311659]
[92371730, 165264122, 73616657, 64482174, 201670919]
[23352730, 119400816, 86172609, 108978886, 140657973]
[23352730, 119400816, 86172609, 108978886, 214840210]
[23352730, 119400816, 86172609, 182731818, 152808507]
[23352730, 119400816, 86172609, 205958532, 66517887]
[23352730, 176157657, 145969510, 219043633, 43757991]
[23352730, 166909107, 28473185, 50455199, 62304188]
[23352730, 79325002, 248242818, 128229141, 14503155]
[23352730, 119400816, 86172609, 205958532, 227152739]
[23352730, 119400816, 202357487, 141894420]
[23352730, 119400816, 86172609, 108978886, 199333479]
[139546810, 239589720, 133551693, 29698350]
[92371730, 165264122, 73616657, 64482174, 136799535]
[139546810, 239589720, 133551693, 137131376]
[23352730, 79325002, 248242818, 128229141, 169078606]
[23352730, 176157657, 145969510, 219043633, 113268614]
[23352730, 119400816, 202357487, 63089028]
[23352730, 166909107, 28473185, 50455199, 110984287]
[23352730, 119400816, 86172609, 108978886, 224546398]
[23352730, 119400816, 86172609, 182731818, 187559318]
[23352730, 176157657, 145969510, 219043633, 149548174]
[23352730, 119400816, 86172609, 108978886, 221861675]
[92371730, 165264122, 73616657, 64482174, 125433526]
[23352730, 119400816, 86172609, 108978886, 90585260]
[92371730, 165264122, 73616657, 64482174, 209048862]
[92371730, 165264122, 73616657, 64482174, 160733878]
[23352730, 119400816, 202357487, 140428602]
[139546810, 239589720, 133551693, 94583204]
[23352730, 119400816, 86172609, 108978886, 163953126]
[23352730, 119400816, 86172609, 182731818, 211612014]
[23352730, 119400816, 86172609, 182731818, 170704617]
[23352730, 176157657, 145969510, 219043633, 168450562]
[23352730, 79325002, 248242818, 128229141, 32149080]
[23352730, 176157657, 145969510, 219043633, 145505520]
[23352730, 119400816, 86172609, 205958532, 76267757]
[23352730, 119400816, 86172609, 108978886, 37220811]
[139546810, 239589720, 133551693, 179351831]
[23352730, 79325002, 248242818, 128229141, 242320586]
[92371730, 165264122, 73616657, 64482174, 115480069]
[23352730, 79325002, 248242818, 128229141, 117943772]
[23352730, 176157657, 145969510, 246293864, 57868818]
[23352730, 166909107, 28473185, 50455199, 227428144]
[92371730, 165264122, 73616657, 64482174, 61441018]
[23352730, 79325002, 248242818, 128229141, 53062493]
[23352730, 176157657, 145969510, 219043633, 193937922]
[23352730, 176157657, 145969510, 219043633, 194445260]
[92371730, 165264122, 73616657, 64482174, 128861352]
[23352730, 119400816, 86172609, 108978886, 124276585]
[23352730, 119400816, 86172609, 108978886, 178270497]
[92371730, 165264122, 73616657, 64482174, 101970207]
[23352730, 119400816, 86172609, 108978886, 137697628]
[139546810, 239589720, 133551693, 2510516]
[23352730, 119400816, 202357487, 139635278]
[23352730, 119400816, 86172609, 108978886, 49629971]
[23352730, 119400816, 86172609, 182731818, 173184128]
[92371730, 165264122, 73616657, 64482174, 190056912]
[23352730, 166909107, 28473185, 50455199, 116781355]
[23352730, 119400816, 86172609, 205958532, 74967976]
[23352730, 119400816, 86172609, 108978886, 219367050]
[23352730, 176157657, 145969510, 219043633, 79178766]
[23352730, 119400816, 202357487, 9456689]
[139546810, 239589720, 133551693, 142379047]
[23352730, 119400816, 86172609, 205958532, 32417814]
[23352730, 119400816, 86172609, 205958532, 213844949]
[23352730, 119400816, 86172609, 205958532, 152107997]
[23352730, 119400816, 86172609, 205958532, 115603572]
[23352730, 176157657, 145969510, 219043633, 98829304]
[23352730, 119400816, 86172609, 108978886, 2622278]
[23352730, 119400816, 86172609, 108978886, 28949902]
[23352730, 176157657, 145969510, 219043633, 121242401]
[23352730, 119400816, 202357487, 184628191]
[23352730, 176157657, 145969510, 219043633, 45766676]
[23352730, 119400816, 86172609, 182731818, 103849301]
[23352730, 119400816, 86172609, 108978886, 30042966]
[23352730, 119400816, 86172609, 108978886, 45919850]
[23352730, 79325002, 248242818, 128229141, 72555223]
[23352730, 79325002, 248242818, 128229141, 135911464]
[23352730, 119400816, 86172609, 205958532, 176828436]
[92371730, 165264122, 73616657, 64482174, 2773275]
[92371730, 165264122, 73616657, 64482174, 13026746]
[92371730, 165264122, 73616657, 64482174, 152331031]
[23352730, 119400816, 86172609, 205958532, 168254149]
[23352730, 79325002, 248242818, 128229141, 196319966]
[23352730, 166909107, 28473185, 50455199, 35851661]
[23352730, 79325002, 248242818, 128229141, 225929607]
[23352730, 176157657, 145969510, 219043633, 75239134]
[23352730, 79325002, 248242818, 128229141, 243342652]
[23352730, 166909107, 28473185, 50455199, 217281029]
[139546810, 239589720, 133551693, 33443484]
[139546810, 239589720, 133551693, 138848723]
[23352730, 119400816, 86172609, 182731818, 113651398]
[23352730, 176157657, 145969510, 219043633, 170488122]
[23352730, 166909107, 28473185, 50455199, 209071146]
[23352730, 119400816, 86172609, 108978886, 100826555]
[23352730, 79325002, 248242818, 128229141, 19841205]
[23352730, 119400816, 86172609, 182731818, 205339614]
[23352730, 166909107, 28473185, 50455199, 153419966]
[92371730, 165264122, 73616657, 64482174, 220125785]
[23352730, 119400816, 86172609, 205958532, 39247574]
[23352730, 119400816, 86172609, 108978886, 43987]
[23352730, 176157657, 145969510, 246293864, 63582760]
[23352730, 176157657, 145969510, 246293864, 3188939]
[23352730, 176157657, 145969510, 219043633, 49339980]
[23352730, 119400816, 202357487, 180747022]
[23352730, 79325002, 248242818, 128229141, 235142853]
[23352730, 119400816, 86172609, 108978886, 94267945]
[23352730, 79325002, 248242818, 128229141, 108028103]
[23352730, 176157657, 145969510, 219043633, 116540754]
[23352730, 119400816, 86172609, 205958532, 16556916]
[23352730, 119400816, 86172609, 108978886, 120281254]
[23352730, 176157657, 145969510, 219043633, 66010821]
[139546810, 239589720, 133551693, 142601381]
[139546810, 239589720, 133551693, 146157867]
[23352730, 166909107, 28473185, 50455199, 182215570]
[23352730, 119400816, 86172609, 108978886, 31231882]
[23352730, 119400816, 86172609, 182731818, 116776585]
[23352730, 166909107, 28473185, 50455199, 46980522]
[92371730, 165264122, 73616657, 64482174, 92680413]
[23352730, 176157657, 145969510, 246293864, 82972197]
[23352730, 176157657, 145969510, 246293864, 37716767]
[23352730, 119400816, 202357487, 196378968]
[23352730, 79325002, 248242818, 128229141, 179620765]
[23352730, 119400816, 202357487, 237873345]
[23352730, 119400816, 86172609, 205958532, 33051368]
[23352730, 119400816, 86172609, 108978886, 197334057]
[23352730, 119400816, 86172609, 108978886, 190108693]
[23352730, 166909107, 28473185, 50455199, 209256647]
[23352730, 119400816, 86172609, 108978886, 186632762]
[23352730, 166909107, 28473185, 50455199, 91094397]
[139546810, 239589720, 133551693, 115859589]
[23352730, 176157657, 145969510, 219043633, 140340491]
[23352730, 176157657, 145969510, 219043633, 171016094]
[23352730, 176157657, 145969510, 246293864, 119304763]
[23352730, 79325002, 248242818, 128229141, 97256507]
[23352730, 119400816, 86172609, 108978886, 35402770]
[23352730, 119400816, 86172609, 182731818, 25554542]
[23352730, 176157657, 145969510, 219043633, 56765112]
[23352730, 176157657, 145969510, 219043633, 61793745]
[23352730, 119400816, 86172609, 108978886, 17427348]
[23352730, 166909107, 28473185, 50455199, 232008702]
[23352730, 176157657, 145969510, 219043633, 188670157]
[23352730, 119400816, 86172609, 182731818, 209066513]
[23352730, 79325002, 248242818, 128229141, 169098855]
[92371730, 165264122, 73616657, 64482174, 173065439]
[23352730, 119400816, 202357487, 68188560]
[23352730, 119400816, 86172609, 205958532, 75259101]
[23352730, 79325002, 248242818, 128229141, 39856930]
[23352730, 79325002, 248242818, 128229141, 56495797]
[92371730, 165264122, 73616657, 64482174, 158429837]
[92371730, 165264122, 73616657, 64482174, 157149434]
[23352730, 119400816, 202357487, 215796245]
[23352730, 176157657, 145969510, 246293864, 223263039]
[23352730, 176157657, 145969510, 219043633, 50926702]
[139546810, 239589720, 133551693, 180555722]
[23352730, 176157657, 145969510, 246293864, 104719015]
[23352730, 119400816, 86172609, 108978886, 10522335]
[23352730, 119400816, 86172609, 108978886, 207575869]
[23352730, 79325002, 248242818, 128229141, 96890786]
[139546810, 239589720, 133551693, 242069877]
[23352730, 176157657, 145969510, 219043633, 114455645]
[92371730, 165264122, 73616657, 64482174, 245923729]
[23352730, 119400816, 86172609, 205958532, 7847310]
[23352730, 119400816, 86172609, 108978886, 67180053]
[23352730, 166909107, 28473185, 50455199, 69522727]
[139546810, 239589720, 133551693, 177563810]
[23352730, 119400816, 86172609, 205958532, 11271948]
[23352730, 119400816, 86172609, 108978886, 103725437]
[23352730, 119400816, 86172609, 182731818, 170624691]
[23352730, 176157657, 145969510, 219043633, 185486081]
[23352730, 119400816, 86172609, 182731818, 22511680]
[23352730, 119400816, 86172609, 108978886, 224813908]
[23352730, 79325002, 248242818, 128229141, 140780857]
[23352730, 176157657, 145969510, 246293864, 56786963]
[23352730, 119400816, 86172609, 182731818, 204621118]
[23352730, 119400816, 86172609, 205958532, 110955368]
[23352730, 119400816, 86172609, 108978886, 97626291]
[23352730, 119400816, 86172609, 108978886, 233069627]
[23352730, 166909107, 28473185, 50455199, 106048289]
[139546810, 239589720, 133551693, 141157680]
[23352730, 119400816, 86172609, 182731818, 190821673]
[23352730, 119400816, 202357487, 132267182]
[92371730, 165264122, 73616657, 64482174, 59386149]
[23352730, 119400816, 202357487, 80839051]
[92371730, 165264122, 73616657, 64482174, 186188503]
[23352730, 119400816, 202357487, 104831774]
[23352730, 119400816, 86172609, 182731818, 89081517]
[23352730, 119400816, 86172609, 108978886, 234131754]
[23352730, 176157657, 145969510, 219043633, 236806459]
[23352730, 166909107, 28473185, 50455199, 168487762]
[23352730, 176157657, 145969510, 246293864, 161043138]
[92371730, 165264122, 73616657, 64482174, 141894033]
[23352730, 176157657, 145969510, 246293864, 220711281]
[23352730, 119400816, 86172609, 108978886, 124758429]
[23352730, 119400816, 86172609, 108978886, 53666689]
[23352730, 166909107, 28473185, 50455199, 109809167]
[139546810, 239589720, 133551693, 17789410]
[23352730, 119400816, 86172609, 205958532, 73535234]
[23352730, 166909107, 28473185, 50455199, 38650350]
[23352730, 119400816, 86172609, 205958532, 2643849]
[23352730, 119400816, 86172609, 108978886, 68314364]
[23352730, 166909107, 28473185, 50455199, 160492206]
[139546810, 239589720, 133551693, 32443769]
[139546810, 239589720, 133551693, 156459378]
[23352730, 119400816, 86172609, 205958532, 103142958]
[23352730, 119400816, 202357487, 166234469]
[23352730, 119400816, 86172609, 182731818, 129835747]
[23352730, 79325002, 248242818, 128229141, 51593166]
[92371730, 165264122, 73616657, 64482174, 99337337]
[139546810, 239589720, 133551693, 1127876]
[23352730, 119400816, 86172609, 108978886, 149088204]
[92371730, 165264122, 73616657, 64482174, 37946062]
[23352730, 176157657, 145969510, 219043633, 156885408]
[23352730, 119400816, 86172609, 108978886, 94014598]
[23352730, 166909107, 28473185, 50455199, 16621679]
[92371730, 165264122, 73616657, 64482174, 137639493]
[23352730, 176157657, 145969510, 246293864, 106199063]
[139546810, 239589720, 133551693, 103483459]
[23352730, 176157657, 145969510, 246293864, 105174712]
[23352730, 79325002, 248242818, 128229141, 105271526]
[23352730, 176157657, 145969510, 219043633, 65647898]
[23352730, 79325002, 248242818, 128229141, 109585806]
[23352730, 119400816, 86172609, 205958532, 172989306]
[139546810, 239589720, 133551693, 65610767]
[23352730, 79325002, 248242818, 128229141, 59694885]
[23352730, 166909107, 28473185, 50455199, 235500593]
[23352730, 176157657, 145969510, 219043633, 188709587]
[23352730, 119400816, 202357487, 126020275]
[23352730, 176157657, 145969510, 246293864, 74395811]
[23352730, 176157657, 145969510, 246293864, 87464251]
[23352730, 176157657, 145969510, 246293864, 60278192]
[23352730, 119400816, 86172609, 182731818, 69658753]
[23352730, 119400816, 202357487, 143230867]
[23352730, 119400816, 202357487, 179143272]
[92371730, 165264122, 73616657, 64482174, 167944430]
[23352730, 176157657, 145969510, 246293864, 120333284]
[23352730, 119400816, 86172609, 108978886, 107980456]
[23352730, 176157657, 145969510, 246293864, 29725904]
[23352730, 176157657, 145969510, 219043633, 63653123]
[23352730, 176157657, 145969510, 219043633, 230306595]
[23352730, 119400816, 202357487, 125176734]
[23352730, 79325002, 248242818, 128229141, 182627864]
[23352730, 119400816, 86172609, 108978886, 126887074]
[23352730, 79325002, 248242818, 128229141, 4489891]
[23352730, 176157657, 145969510, 219043633, 141163312]
[23352730, 119400816, 86172609, 182731818, 245702223]
[139546810, 239589720, 133551693, 247303976]
[23352730, 119400816, 86172609, 182731818, 65286685]
[139546810, 239589720, 133551693, 176146570]
[23352730, 119400816, 86172609, 108978886, 94317648]
[139546810, 239589720, 133551693, 45485278]
[23352730, 119400816, 86172609, 108978886, 59907339]
[23352730, 119400816, 86172609, 108978886, 43073650]
[23352730, 119400816, 202357487, 196883371]
[92371730, 165264122, 73616657, 64482174, 208838431]
[23352730, 119400816, 86172609, 182731818, 167295993]
[23352730, 79325002, 248242818, 128229141, 228769692]
[23352730, 119400816, 86172609, 108978886, 52736621]
[23352730, 119400816, 202357487, 75082379]
[139546810, 239589720, 133551693, 73359039]
[139546810, 239589720, 133551693, 7521302]
[23352730, 119400816, 86172609, 108978886, 69764372]
[23352730, 176157657, 145969510, 246293864, 158644641]
[23352730, 176157657, 145969510, 219043633, 248076470]
[23352730, 166909107, 28473185, 50455199, 13336843]
[23352730, 119400816, 86172609, 205958532, 205681924]
[23352730, 79325002, 248242818, 128229141, 226986304]
[23352730, 119400816, 86172609, 182731818, 35812145]
[23352730, 119400816, 86172609, 205958532, 237480169]
[139546810, 239589720, 133551693, 235448951]
[23352730, 119400816, 86172609, 182731818, 178648320]
[23352730, 119400816, 86172609, 108978886, 201955748]
[23352730, 119400816, 86172609, 205958532, 52093792]
[23352730, 119400816, 86172609, 108978886, 6300844]
[23352730, 79325002, 248242818, 128229141, 158391318]
[92371730, 165264122, 73616657, 64482174, 77730625]
[139546810, 239589720, 133551693, 158146654]
[23352730, 119400816, 202357487, 72078601]
[139546810, 239589720, 133551693, 116275327]
[23352730, 119400816, 202357487, 11891697]
[92371730, 165264122, 73616657, 64482174, 182913181]
[23352730, 79325002, 248242818, 128229141, 153428081]
[23352730, 79325002, 248242818, 128229141, 196321827]
[23352730, 176157657, 145969510, 219043633, 228419853]
[23352730, 166909107, 28473185, 50455199, 234254401]
[23352730, 119400816, 86172609, 205958532, 234812337]
[23352730, 166909107, 28473185, 50455199, 109911787]
[23352730, 119400816, 202357487, 230891417]
[23352730, 176157657, 145969510, 246293864, 45367807]
[23352730, 79325002, 248242818, 128229141, 221264574]
[23352730, 176157657, 145969510, 219043633, 146197672]
[23352730, 119400816, 86172609, 205958532, 43975730]
[23352730, 166909107, 28473185, 50455199, 226514422]
[23352730, 119400816, 86172609, 108978886, 212839250]
[23352730, 119400816, 202357487, 164844140]
[23352730, 119400816, 86172609, 108978886, 242699692]
[139546810, 239589720, 133551693, 101050789]
[23352730, 119400816, 86172609, 182731818, 107550628]
[23352730, 119400816, 86172609, 182731818, 201927993]
[23352730, 119400816, 86172609, 108978886, 90964839]
[92371730, 165264122, 73616657, 64482174, 83474856]
[23352730, 119400816, 86172609, 108978886, 98229519]
[23352730, 176157657, 145969510, 219043633, 73038652]
[23352730, 166909107, 28473185, 50455199, 162000496]
[23352730, 119400816, 86172609, 108978886, 69676072]
[23352730, 119400816, 86172609, 108978886, 246791590]
[23352730, 119400816, 86172609, 182731818, 206025940]
[23352730, 119400816, 86172609, 205958532, 135649631]
[23352730, 176157657, 145969510, 246293864, 237994487]
[23352730, 119400816, 86172609, 108978886, 50755934]
[23352730, 176157657, 145969510, 219043633, 194312623]
[23352730, 176157657, 145969510, 246293864, 204015980]
[23352730, 119400816, 202357487, 136735052]
[139546810, 239589720, 133551693, 118905906]
[23352730, 119400816, 86172609, 108978886, 109422205]
[23352730, 119400816, 202357487, 113338625]
[23352730, 119400816, 86172609, 182731818, 108120806]
[23352730, 119400816, 86172609, 182731818, 185818342]
[23352730, 119400816, 86172609, 182731818, 220073474]
[23352730, 176157657, 145969510, 246293864, 246943759]
[23352730, 166909107, 28473185, 50455199, 207737104]
[23352730, 79325002, 248242818, 128229141, 118888704]
[23352730, 119400816, 202357487, 223144189]
[23352730, 119400816, 86172609, 108978886, 29147888]
[23352730, 79325002, 248242818, 128229141, 231356608]
[23352730, 119400816, 86172609, 108978886, 89146322]
[23352730, 119400816, 86172609, 108978886, 151237847]
[23352730, 176157657, 145969510, 246293864, 87678705]
[23352730, 166909107, 28473185, 50455199, 1717485]
[23352730, 166909107, 28473185, 50455199, 57081012]
[23352730, 79325002, 248242818, 128229141, 230752373]
[23352730, 176157657, 145969510, 246293864, 194200588]
[23352730, 119400816, 86172609, 182731818, 102232749]
[23352730, 176157657, 145969510, 219043633, 244040894]
[23352730, 119400816, 86172609, 108978886, 117009933]
[23352730, 79325002, 248242818, 128229141, 89545485]
[23352730, 119400816, 202357487, 214438545]
[23352730, 176157657, 145969510, 219043633, 193847229]
[23352730, 176157657, 145969510, 246293864, 90991292]
[139546810, 239589720, 133551693, 44885467]
[92371730, 165264122, 73616657, 64482174, 45587083]
[23352730, 119400816, 86172609, 205958532, 7081181]
[23352730, 119400816, 86172609, 205958532, 145089946]
[92371730, 165264122, 73616657, 64482174, 194641253]
[23352730, 119400816, 86172609, 205958532, 60490814]
[23352730, 176157657, 145969510, 246293864, 71521410]
[139546810, 239589720, 133551693, 164329211]
[23352730, 119400816, 86172609, 182731818, 135058766]
[23352730, 166909107, 28473185, 50455199, 13312491]
[139546810, 239589720, 133551693, 103030122]
[23352730, 79325002, 248242818, 128229141, 129727011]
[23352730, 119400816, 202357487, 159833745]
[23352730, 119400816, 202357487, 112141508]
[23352730, 119400816, 86172609, 108978886, 245452298]
[92371730, 165264122, 73616657, 64482174, 212692796]
[23352730, 166909107, 28473185, 50455199, 25636142]
[139546810, 239589720, 133551693, 41191838]
[23352730, 166909107, 28473185, 50455199, 174962026]
[139546810, 239589720, 133551693, 190825646]
[139546810, 239589720, 133551693, 14396904]
[23352730, 119400816, 86172609, 108978886, 12323915]
[23352730, 79325002, 248242818, 128229141, 17402560]
[23352730, 166909107, 28473185, 50455199, 101678900]
[23352730, 176157657, 145969510, 219043633, 230007100]
[23352730, 176157657, 145969510, 219043633, 237685549]
[23352730, 119400816, 86172609, 182731818, 68816152]
[23352730, 119400816, 86172609, 108978886, 164333155]
[23352730, 176157657, 145969510, 219043633, 132420451]
[23352730, 176157657, 145969510, 219043633, 115073499]
[23352730, 176157657, 145969510, 246293864, 151260984]
[23352730, 119400816, 86172609, 108978886, 124196839]
[23352730, 119400816, 86172609, 108978886, 216212851]
[23352730, 119400816, 86172609, 108978886, 59938122]
[23352730, 119400816, 86172609, 182731818, 167415684]
[139546810, 239589720, 133551693, 73614300]
[139546810, 239589720, 133551693, 218848732]
