[23352730, 119400816, 86172609, 205958532]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 76217077]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 192664577]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 187767568]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 32163492]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 110197276]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 204483816]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 155618606]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 194372900]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 89559697]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 166543166]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 54951094]
[23352730, 119400816, 86172609, 205958532, 171994070]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 64752848]
[23352730, 119400816, 86172609, 205958532, 124873021]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 79469846]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 217860896]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 56778372]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 93117303]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 154268693]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 247766768]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 141521592]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 52842240]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 3006197]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 47602791]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 86769316]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 62312621]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 87782991]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 240758238]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 4327546]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 102976588]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 245904851]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 110165039]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 170460381]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 24376857]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 36938316]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 229508337]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 1567865]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 173658898]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 632318]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 70647460]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 179831501]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 203467791]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 138653474]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 81134033]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 172701538]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 36890523]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 143586997]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 205527467]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 53905545]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 143956771]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 218323260]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 33564182]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 27741645]
[23352730, 119400816, 86172609, 205958532, 191992711]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 163476308]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 145332460]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 125453685]
[23352730, 119400816, 86172609, 205958532, 206784589]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 178705995]
[23352730, 119400816, 86172609, 205958532, 230378858]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 152163850]
[23352730, 119400816, 86172609, 205958532, 20807242]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 104012557]
[23352730, 119400816, 86172609, 205958532, 62704532]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 127324769]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 232012385]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 63030136]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 243368006]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 217617993]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 195670302]
[23352730, 119400816, 86172609, 205958532, 75659843]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 169137742]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 95404794]
[23352730, 119400816, 86172609, 205958532, 119878412]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 49908952]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 101980215]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 68697963]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 76983547]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 133764334]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 121466561]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 153178308]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 156662525]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 164410960]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 25372573]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 88762714]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 200190756]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 112446941]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 79896766]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 195180505]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 131667476]
[23352730, 119400816, 86172609, 205958532, 110676198]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 57859644]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 108631425]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 236382232]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 85539499]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 142026988]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 236717649]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 18342130]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 89153251]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 226330760]
[23352730, 119400816, 86172609, 205958532, 227375956]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 102009593]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 46554981]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 145319527]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 96716316]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 137726185]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 100415408]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 222621373]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 163257073]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 195905293]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 219591371]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 19107585]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 42230450]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 39479179]
[23352730, 119400816, 86172609, 205958532, 196042689]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 149489086]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 75560250]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 209322794]
[23352730, 119400816, 86172609, 205958532, 177969163]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 30540698]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 127983758]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 110108981]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 84099694]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 12071673]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 98862387]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 47758530]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 105070367]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 71554072]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 60137746]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 215740011]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 162231847]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 246735998]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 34681994]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 113399903]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 173832798]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 7568280]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 97547155]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 137030719]
[23352730, 119400816, 86172609, 205958532, 26624173]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 7634484]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 229656480]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 135134916]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 111570474]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 217890557]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 15641138]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 91282220]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 28049803]
[23352730, 119400816, 86172609, 205958532, 231382541]
[23352730, 119400816, 86172609, 205958532, 153949083]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 96165937]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 239334559]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 104889209]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 137233090]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 194736277]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 12141629]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 145990037]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 79413909]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 91149645]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 179707775]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 126444355]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 146585131]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 75223511]
[23352730, 119400816, 86172609, 205958532, 198913326]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 149642771]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 23120450]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 56802643]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 211817059]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 38031625]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 232886247]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 129101785]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 11755040]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 91937211]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 187240331]
[23352730, 119400816, 86172609, 205958532, 229163829]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 26233522]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 117843307]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 248543374]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 145328067]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 59276024]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 118308316]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 47833403]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 223862490]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 20906426]
[23352730, 119400816, 86172609, 205958532, 97008837]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 17924256]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 184093960]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 85246128]
[23352730, 119400816, 86172609, 205958532, 186518760]
[23352730, 119400816, 86172609, 205958532, 155340516]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 134137029]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 37013227]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 141610937]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 44123154]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 58213518]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 68899744]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 163467382]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 65936638]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 18451164]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 32052392]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 186596533]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 135039148]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 137537628]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 16433503]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 136063501]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 225546730]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 62444154]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 199753690]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 211742397]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 195380521]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 155662710]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 189112752]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 204123620]
[23352730, 119400816, 86172609, 205958532, 236073047]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 15794082]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 170264041]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 213644533]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 43192058]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 133042209]
[23352730, 119400816, 86172609, 205958532, 227090634]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 160639567]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 43899610]
[23352730, 119400816, 86172609, 205958532, 203638359]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 191401353]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 182578288]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 116717482]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 37710191]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 10975866]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 75442064]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 168151851]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 64844141]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 18186480]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 196682473]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 65806901]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 79690405]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 98198312]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 202387234]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 198773324]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 40080615]
[23352730, 119400816, 86172609, 205958532, 24069551]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 216196614]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 192601246]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 83937071]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 42677655]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 95926824]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 55040330]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 203422385]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 68021868]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 106979145]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 239246591]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 174248536]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 147103384]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 147472381]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 216171555]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 207929117]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 245571031]
[23352730, 119400816, 86172609, 205958532, 201721491]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 240790729]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 153391278]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 19799822]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 56167349]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 32423224]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 2168195]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 231278960]
[23352730, 119400816, 86172609, 205958532, 110281860]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 58596197]
[23352730, 119400816, 86172609, 205958532, 201974809]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 179840625]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 125735783]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 42663784]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 153060906]
[23352730, 119400816, 86172609, 205958532, 72686259]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 7924098]
[23352730, 119400816, 86172609, 205958532, 72103483]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 199279704]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 108341964]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 121317134]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 44925538]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 159417776]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 189697872]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 78476459]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 115929239]
