[204923669, 50635880, 156536157, 126285967, 21834830, 180576998, 75185841]
[197930535, 234635560, 135700399, 208435667, 4115680, 182324748, 29149723, 63892659]
[205972194, 86177255, 137657541, 216106120, 120372757, 139542613, 234459856, 200819481]
[32676012, 195138918, 178653906, 248285279, 227104177, 67759704, 248963345, 190512907]
[245186357, 179224212, 67875021, 188951933, 248882419, 148415863, 171001754, 33017787]
[49986552, 151382489, 61990312, 150003870, 823073, 76054966, 20155528, 97565915]
[121690776, 115201947, 198483596, 183062049, 80283557, 145778538, 16133245, 44565731]
[32676012, 195138918, 178653906, 248285279, 227104177, 68561784, 35223281, 46697488]
[76710225, 167739046, 165438592, 16815147, 19314675, 67169327, 39993770, 160258037]
[231488027, 32101784, 127865537, 154034083, 68103002, 244309041, 202762300, 52596999]
[28939697, 123364048, 231894319, 154778647, 193962753, 143903710, 31086791, 33867085]
[205972194, 86177255, 137657541, 216106120, 180801689, 61038839, 207968817, 228295288]
[245186357, 104175749, 170891995, 92128647, 82767641, 86769079, 53476114, 32769569]
[141361673, 190697245, 163142798, 177099734, 231929783, 167202517, 150862424, 119728630]
[27154418, 153048969, 91021117, 108280964, 181681407, 227979769, 145502670, 103688286]
[205972194, 86177255, 137657541, 216106120, 120372757, 139542613, 204891456, 105569673]
[188932858, 115146698, 234256803, 209034558, 68471112, 9428764, 68565007, 234572934]
[205226715, 161852671, 153828978, 10844735, 75121201, 96730785, 171609901, 208232807]
[31297005, 54490622, 234779012, 62975425, 58718573, 147293644, 232761383, 111258615]
[233365345, 69179940, 21038035, 43800821, 15453403, 197123553, 56636917, 153628979]
[181938804, 60690532, 76340025, 20984795, 32429535, 61556459, 89896090, 50628338]
[204318514, 96260484, 124198569, 82290644, 146804374, 45330786, 231514379, 234598016]
[18782487, 180228062, 32306155, 177047075, 39094160, 121201101, 122892876, 230631435]
[75857740, 82351932, 215992635, 214948612, 190339224, 184327459, 139993861, 13374197]
[49431804, 246457812, 177362205, 102622165, 208510025, 71648331, 128078539, 229225608]
[104573498, 121415770, 149472192, 187891726, 102116478, 192853830, 193157004, 19855759]
[106261171, 126184161, 170418784, 140105318, 233056587, 120809932, 219278017, 188232243]
[188932858, 115146698, 234256803, 209034558, 68471112, 202487706, 3999665, 22942065]
[106335033, 130372207, 30533253, 81286519, 118646158, 90127849, 11273158, 163802261]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 91394014, 154411516]
[76710225, 167739046, 165438592, 16815147, 19314675, 158416306, 133581253, 180133649]
[245186357, 51214878, 85245345, 25727633, 248054215, 61536409, 231099322, 199882196]
[28939697, 123364048, 185338091, 149308887, 5717218, 207121373, 42170617, 237286325]
[141361673, 162202163, 126094098, 3400892, 211723192, 238978456, 204146469, 218623172]
[121690776, 115201947, 136745825, 178417372, 76493427, 65754466, 11823110, 42303922]
[108906837, 199773189, 190953520, 234574556, 44085690, 76957065, 147654481, 145491045]
[49431804, 246457812, 177362205, 102622165, 208510025, 71648331, 137283276, 51765167]
[213112826, 25516838, 8960197, 80019682, 200191357, 190700871, 207630214, 100732779]
[245186357, 51214878, 45978248, 68718653, 95501463, 13860663, 193348584, 166823918]
[82212583, 193617759, 234025706, 141485732, 2507358, 21408970, 132033356, 133242742]
[108906837, 199773189, 190953520, 234574556, 115381386, 186868591, 127960373, 51909460]
[169367494, 62025314, 17623635, 179294472, 217840414, 54532879, 75398519, 130938536]
[139407978, 206633498, 21411166, 153971412, 14453219, 205991779, 62185187]
[205972194, 61946850, 32802042, 172129796, 159489605, 37610409, 32339087, 303674]
[22619776, 15424767, 239664794, 38863699, 238141909, 167137957, 12330677, 54209905]
[24231581, 15527440, 39151893, 25965014, 86236280, 128784748, 99537077, 151669396]
[22619776, 15424767, 239664794, 38863699, 238141909, 23912176, 33494953, 16717228]
[28779114, 129128005, 90017851, 158852497, 100119253, 37860617, 67661554, 120475190]
[213112826, 25516838, 8960197, 80019682, 200191357, 190700871, 135354013, 105251017]
[112655291, 19209424, 128847631, 12084842, 225737231, 230459435, 140496121, 135378025]
[75857740, 82351932, 215992635, 214948612, 190339224, 184327459, 59124616, 79788794]
[188932858, 115146698, 234256803, 182262024, 72672066, 117764383, 88602360, 115517869]
[27929889, 82163150, 1003864, 183932585, 12185693, 196971966, 207681777, 68172432]
[96343362, 100486110, 213236602, 24901115, 59383252, 121095923, 30520327, 61659219]
[112655291, 19209424, 128847631, 19268358, 187186439, 72096518, 63783837, 103458489]
[208401552, 123724305, 159653775, 168513786, 123512653, 165063273, 113810489, 153244181]
[108906837, 199773189, 190953520, 63193029, 178919610, 244119274, 15171546, 127213080]
[139407978, 206633498, 21411166, 153971412, 125313025, 107521706, 59382144]
[24231581, 15527440, 39151893, 166928330, 114300948, 171108697, 93969424, 167282965]
[245186357, 51214878, 45978248, 155615916, 138977991, 41930122, 111473175, 72347560]
[22619776, 15424767, 239664794, 38863699, 238141909, 23912176, 148346510, 224567345]
[75857740, 82351932, 215992635, 214948612, 246690652, 187169141, 137052395, 103367720]
[152865647, 34304426, 142969536, 142498073, 1308617, 97329154, 224577809, 46927753]
[211510271, 200640855, 93455200, 97370272, 140706900, 37659594, 143885862, 7639041]
[239208748, 140345608, 11321520, 169990400, 128087118, 162335816, 121638754, 200960581]
[49431804, 24092436, 92023561, 36526307, 201258008, 147443895, 59501621, 214723688]
[54792871, 223562163, 178724447, 99504548, 56784500, 130892133, 146003756, 121448624]
[239554898, 105465088, 218365829, 203396497, 3343743, 180972551, 244611786, 158934477]
[128396256, 156921189, 237060631, 191130671, 154624531, 56079660, 183093982, 72828086]
[18782487, 180228062, 32306155, 177047075, 39094160, 121201101, 191352017, 88040872]
[104573498, 121415770, 149472192, 187891726, 102116478, 192853830, 193157004, 128030916]
[22619776, 15424767, 102941135, 61285663, 212578573, 228040875, 123186141, 140155955]
[210253789, 186269903, 135252581, 53641965, 141041636, 16802326, 20886005, 235759741]
[240973929, 83532539, 32527346, 120930986, 180608117, 196195426, 136234596, 86334470]
[139407978, 206633498, 21411166, 124608406, 31227063, 24827542, 13338710]
[139407978, 206633498, 130022095, 143396415, 95924319, 200975836, 46059778]
[181938804, 163199325, 33540865, 189273694, 119119372, 14615635, 66805559, 10376675]
[245186357, 104175749, 170891995, 212154307, 48930371, 147258838, 100722113, 224680913]
[141361673, 162202163, 65247730, 57642163, 92658966, 73828899, 178498817, 132537905]
[121975721, 42062284, 75194355, 13024942, 54895656, 169267710, 74755005, 215735839]
[167539219, 192052900, 155852712, 211348323, 132577636, 86947648, 189765099, 220191342]
[141361673, 162202163, 65247730, 57642163, 92658966, 203579434, 11108974, 177876886]
[205972194, 61946850, 32802042, 172129796, 159489605, 37610409, 4600084, 206426376]
[245186357, 179224212, 67875021, 188951933, 2108929, 34376195, 196683164, 18635077]
[121975721, 42062284, 19586029, 212970628, 190945423, 131867659, 172042741, 248435265]
[211316160, 37095821, 218824995, 2668282, 69308388, 7611215, 94356122, 192427423]
[204923669, 50635880, 156536157, 126285967, 21834830, 180576998, 235587586, 107008875]
[152865647, 34304426, 142969536, 142498073, 1308617, 53092407, 229121187, 66810488]
[28939697, 123364048, 231894319, 163193455, 230091692, 39205337, 242641313, 183159969]
[82212583, 193617759, 234025706, 141485732, 2507358, 151560541, 47776341, 39795747]
[211510271, 40815467, 175548497, 2406097, 170068134, 40290002, 187190191, 235251921]
[184452350, 117534910, 85483031, 226603022, 32217485, 41591867, 137499730, 220628655]
[32676012, 195138918, 178653906, 248285279, 227104177, 67759704, 248963345, 30508496]
[31297005, 54490622, 234779012, 62975425, 58718573, 113499629, 711472, 195935431]
[245186357, 51214878, 45978248, 195792955, 168729222, 58289814, 37216390, 245749347]
[231488027, 32101784, 127865537, 162281022, 189087990, 98168183, 196760045, 224346424]
[148907630, 26611378, 193025159, 174146668, 98828830, 91190696, 170476984, 43919441]
[211316160, 37095821, 218824995, 161132275, 123786967, 28672731, 167658546, 124826803]
[28939697, 123364048, 185338091, 149308887, 5717218, 207121373, 42170617, 178815682]
[31297005, 54490622, 234779012, 62975425, 58718573, 113499629, 195360006, 201351880]
[111584673, 59739155, 89808464, 161531445, 244706660, 240730820, 81026058, 120892237]
[18782487, 180228062, 32306155, 8891987, 90798301, 83525893, 180414740, 23027960]
[211804832, 138574305, 56455960, 132113199, 84950288, 244765607, 144626762, 225961641]
[104573498, 192955018, 133710613, 172965008, 169947045, 159579203, 92453613, 141797841]
[139255779, 117323211, 86191772, 224651056, 132371457, 206053611, 134787231, 64857147]
[205972194, 61946850, 32802042, 172129796, 159489605, 18105192, 190933999, 111842120]
[74869342, 30527162, 33520167, 30450917, 44623284, 195338151, 225514510, 81048896]
[245186357, 179224212, 67875021, 188951933, 2108929, 34376195, 196683164, 115483140]
[211804832, 138574305, 94342188, 23325149, 239267654, 245431079, 171007615, 85644963]
[108906837, 199773189, 71402764, 29015971, 82406962, 227606238, 60408619, 54843167]
[211316160, 37095821, 218824995, 2668282, 69308388, 7611215, 94356122, 5760772]
[139407978, 206633498, 21411166, 153971412, 14453219, 205991779, 221333785]
[112655291, 19209424, 128847631, 19268358, 187186439, 72096518, 111426943, 231178195]
[112655291, 19209424, 128847631, 19268358, 29785061, 200978465, 53872197, 152817367]
[211316160, 37095821, 218824995, 195689234, 140570499, 34767958, 35385481, 156379538]
[150812197, 207907728, 45493282, 10744960, 219846231, 214341924, 211571494, 183674585]
[245186357, 104175749, 170891995, 212154307, 241205060, 104720484, 226653124, 183869237]
[243854923, 131996813, 143905498, 165837514, 82942815, 184460720, 1127405, 135991093]
[211510271, 40815467, 12295450, 74057130, 91055803, 224722603, 111493657, 212690442]
[188932858, 115146698, 234256803, 209034558, 230973685, 212255626, 192883567, 127508942]
[233365345, 69179940, 21038035, 43800821, 15453403, 197123553, 56636917, 127405180]
[245186357, 56476491, 21738255, 97185163, 192049182, 166698876, 186300486, 169473030]
[188932858, 115146698, 234256803, 182262024, 72672066, 117764383, 88602360, 63166223]
[128396256, 156921189, 237060631, 191130671, 154624531, 56079660, 200999116, 13163419]
[195122300, 8092110, 93657706, 99431903, 112789195, 97922, 40541591, 52419444]
[231488027, 32101784, 127865537, 154034083, 68103002, 244309041, 202762300, 11332827]
[121975721, 42062284, 75194355, 13024942, 56865115, 181962296, 117067933, 45701582]
[141361673, 162202163, 65247730, 24296962, 66142331, 645317, 37492970, 187888378]
[181938804, 60690532, 76340025, 79775124, 216604709, 2299121, 1312870, 52243323]
[72760936, 3767875, 33619245, 132662969, 17340775, 176750230, 47676435, 59522482]
[231488027, 32101784, 127865537, 154034083, 68103002, 244309041, 101612608, 232647380]
[245186357, 56476491, 21738255, 97185163, 70997893, 50646296, 178470844, 169816656]
[121690776, 115201947, 136745825, 178417372, 76493427, 231145039, 114150235, 204815060]
[211510271, 200640855, 93455200, 97370272, 140706900, 37659594, 25631146, 187330974]
[208230092, 214761888, 193867375, 85227644, 238283386, 63032194, 235010210, 192033997]
[139255779, 10547589, 17697623, 184429220, 146187085, 111837316, 50072834, 72860427]
[82212583, 193617759, 234025706, 191404075, 129081823, 119423574, 116948579, 32024256]
[102428331, 177733082, 135289906, 68475443, 4374258, 6438929, 170017050, 93514727]
[240973929, 83097505, 20780799, 235045094, 186224175, 30152393, 147838150, 94039359]
[245186357, 51214878, 45978248, 195792955, 168729222, 58289814, 97299092, 38913428]
[28939697, 123364048, 231894319, 154778647, 193962753, 221624341, 64747241, 143646604]
[82212583, 193617759, 234025706, 191404075, 129081823, 119423574, 91847476, 160866761]
[240973929, 83097505, 11728468, 155886915, 94389995, 44767165, 148770741, 77120758]
[205972194, 86177255, 137657541, 146101519, 155170494, 56151626, 128923372, 182129529]
[188932858, 115146698, 234256803, 182262024, 72672066, 5476582, 170012489, 227363008]
[116640107, 175919948, 230396891, 219625776, 144804450, 165707799, 74741956, 217034594]
[245186357, 179224212, 67875021, 188951933, 248882419, 89748732, 240574689, 70794207]
[208401552, 123724305, 159653775, 168513786, 123512653, 115795241, 231337045, 49961092]
[245186357, 56476491, 21738255, 97185163, 192049182, 106803991, 67334813, 152394240]
[181938804, 163199325, 33540865, 189273694, 119119372, 14615635, 117573760, 99213717]
[245186357, 179224212, 67875021, 188951933, 248882419, 148415863, 171001754, 233962812]
[96343362, 100486110, 213236602, 24901115, 181105803, 210603333, 1291843, 241787158]
[188932858, 200934080, 97777798, 41131871, 177611026, 170615717, 80287989, 28940412]
[76710225, 167739046, 165438592, 117465674, 153838766, 49138160, 20066594, 78321736]
[112655291, 19209424, 128847631, 12084842, 225737231, 230459435, 185260625, 235612226]
[82212583, 193617759, 234025706, 141485732, 2507358, 151560541, 47776341, 145848490]
[205972194, 86177255, 137657541, 216106120, 120372757, 139542613, 234459856, 58801499]
[104573498, 192955018, 133710613, 172965008, 51974564, 152070860, 60985995, 19916828]
[188932858, 115146698, 234256803, 209034558, 68471112, 9428764, 68565007, 175107326]
[245186357, 51214878, 45978248, 68718653, 53016227, 191344695, 144016071, 219453983]
[22619776, 15424767, 239664794, 38863699, 238141909, 203648613, 131181926, 170884763]
[112655291, 19209424, 78637201, 3582407, 3968327, 153564532, 123951695, 202003196]
[10106479, 190143267, 31611117, 94571194, 21464962, 227007863, 237184458, 239276053]
[82212583, 193617759, 234025706, 141485732, 2507358, 21408970, 380412, 212058637]
[22619776, 15424767, 239664794, 38863699, 238141909, 23912176, 33494953, 163270803]
[239554898, 102907710, 132452821, 243389068, 172961109, 101671279, 7693506, 225369397]
[219868898, 21390277, 239043661, 155644933, 41682843, 202146397, 167487304, 78939458]
[205972194, 61946850, 217597649, 241053092, 63709074, 131080152, 224675483, 187605266]
[239393237, 164714934, 224904743, 27314302, 105058071, 113362181, 15531678, 107119989]
[18782487, 180228062, 32306155, 99137953, 31715291, 215201551, 138967194, 168797208]
[188932858, 115146698, 234256803, 209034558, 68471112, 202487706, 222294808, 59968441]
[239208748, 140345608, 11321520, 169990400, 29850833, 106466285, 65765412, 19808953]
[240973929, 83097505, 11728468, 155886915, 94389995, 44767165, 148770741, 112047306]
[102428331, 177733082, 135289906, 68475443, 4374258, 6438929, 170017050, 189554475]
[218542507, 27686776, 57877320, 242250743, 125087554, 47831521, 150946416, 17131992]
[10106479, 48368057, 101287106, 26137914, 37677254, 191925753, 186944057, 119782925]
[22619776, 15424767, 80304403, 83426752, 221613721, 98049330, 72392128, 71244979]
[205972194, 61946850, 217597649, 241053092, 63709074, 131080152, 224675483, 171793473]
[42779529, 94357672, 222611044, 160319561, 210931271, 143538059, 106316272, 120260603]
[10106479, 48368057, 101287106, 26137914, 37677254, 191925753, 186944057, 20527912]
[49431804, 24092436, 92023561, 36526307, 201258008, 147443895, 47461940, 113687084]
[112655291, 19209424, 208223836, 174956768, 236624390, 45224236, 80561154, 182850520]
[108906837, 199773189, 190953520, 234574556, 44085690, 76957065, 147654481, 203973450]
[32676012, 195138918, 93193866, 32903994, 59648710, 51128691, 173155948, 139323978]
[231488027, 32101784, 127865537, 154034083, 68103002, 244309041, 243936427, 122824369]
[112655291, 19209424, 128847631, 19268358, 187186439, 208178336, 219405238, 135489400]
[208230092, 214761888, 193867375, 85227644, 238283386, 63032194, 235010210, 93400573]
[213112826, 25516838, 152287638, 114775498, 49141311, 165540066, 235599468, 127370199]
[24231581, 15527440, 39151893, 25965014, 86236280, 128784748, 5784953, 240921459]
[245186357, 51214878, 45978248, 68718653, 95501463, 18237359, 135937542, 11156636]
[205972194, 86177255, 137657541, 39857290, 242604136, 23254141, 2669360, 132908878]
[188932858, 115146698, 234256803, 209034558, 68471112, 202487706, 87533445, 169524753]
[18782487, 180228062, 32306155, 8891987, 156471202, 106129703, 90261799, 183185425]
[188932858, 200934080, 97777798, 41131871, 177611026, 170615717, 80287989, 116979822]
[245186357, 33815929, 81317813, 149728072, 110885945, 66745182, 71658269, 55212737]
[181938804, 60690532, 76340025, 20984795, 32429535, 61556459, 89896090, 146635944]
[211804832, 138574305, 94342188, 23325149, 239267654, 245431079, 124801332, 178748383]
[139255779, 117323211, 86191772, 224651056, 132371457, 25702865, 13758689, 84295183]
[141361673, 190697245, 163142798, 67212929, 188214014, 125664087, 51264785, 182506657]
[173377106, 227979404, 182624742, 133017748, 129440306, 146250908, 233428045, 180723884]
[121690776, 115201947, 136745825, 178417372, 97627083, 63008345, 240349780, 199250329]
[76710225, 167739046, 165438592, 16815147, 19314675, 67169327, 39993770, 247907134]
[112655291, 19209424, 208223836, 174956768, 89476284, 45621089, 79258525, 54688204]
[205972194, 86177255, 137657541, 216106120, 120372757, 36816577, 68579925, 170285720]
[205972194, 86177255, 137657541, 216106120, 120372757, 139542613, 154738389, 182909714]
[211316160, 37095821, 218824995, 2668282, 741655, 14291320, 179155912, 13085600]
[185021265, 120449815, 33146577, 203946957, 87519768, 164324799, 190890144, 46715093]
[75857740, 82351932, 215992635, 214948612, 190339224, 184327459, 139993861, 234086901]
[208401552, 123724305, 159653775, 168513786, 123512653, 115795241, 231337045, 53859277]
[169367494, 62025314, 17623635, 73212051, 123572982, 188772699, 107185884, 188433515]
[32676012, 195138918, 178653906, 248285279, 227104177, 68561784, 97370335, 203547415]
[205226715, 161852671, 153828978, 10844735, 75121201, 44882691, 237983287, 44079479]
[211510271, 46724623, 192930472, 208270295, 81120636, 83676351, 209989294, 174026336]
[205972194, 61946850, 217597649, 241053092, 207493512, 140352509, 213117893, 101428907]
[22619776, 15424767, 102941135, 61285663, 96312587, 111443785, 152713665, 60021203]
[205972194, 61946850, 217597649, 241053092, 63709074, 131080152, 7317419, 111241792]
[163813705, 243210101, 156158070, 49290041, 245410968, 172777468, 150377721, 207529312]
[76710225, 167739046, 165438592, 16815147, 19314675, 158416306, 133581253, 43986786]
[245186357, 51214878, 45978248, 195792955, 168729222, 58289814, 37216390, 23887736]
[22619776, 15424767, 239664794, 38863699, 238141909, 203648613, 131181926, 102004251]
[205226715, 6410317, 156606069, 650760, 179008295, 131073002, 239523798, 102867821]
[22619776, 15424767, 102941135, 61285663, 96312587, 111443785, 47244643, 125257460]
[173377106, 227979404, 182624742, 133017748, 129440306, 156336779, 108745748, 151211793]
[245186357, 51214878, 45978248, 68718653, 95501463, 13860663, 193348584, 129047552]
[116640107, 175919948, 230396891, 219625776, 144804450, 165707799, 74741956, 114320928]
[213112826, 25516838, 152287638, 51081692, 208711471, 233060846, 57629758, 46705844]
[211804832, 138574305, 56455960, 132113199, 84950288, 244765607, 143550378, 11012112]
[112655291, 19209424, 208223836, 174956768, 144403211, 102424554, 118892726, 160740228]
[174915493, 151627699, 106916648, 112520101, 118252854, 167816199, 139467619, 238631642]
[131161949, 182719904, 31830738, 163263028, 89837460, 216417565, 13508063, 133235552]
[32676012, 195138918, 93193866, 32903994, 59648710, 51128691, 33169447, 131096179]
[152865647, 34304426, 142969536, 142498073, 1308617, 53092407, 229121187, 18069535]
[240973929, 83097505, 20780799, 235045094, 186224175, 30152393, 172529211, 186634870]
[126015619, 3034421, 7944536, 230428064, 50385979, 209683862, 209962916, 43855440]
[150812197, 207907728, 45493282, 168636907, 142688778, 53809055, 49096936, 144604183]
[245186357, 33815929, 103613504, 133447514, 248141808, 228973865, 225340466, 65116239]
[167539219, 192052900, 155852712, 211348323, 132577636, 86947648, 130432837, 63508164]
[239554898, 102907710, 132452821, 124460660, 126077318, 106213186, 35829210, 63952888]
[211804832, 138574305, 94342188, 23325149, 239267654, 54424579, 119097658, 236218545]
[152865647, 34304426, 62534149, 180961701, 202283163, 235692508, 75635935, 40578339]
[205972194, 86177255, 137657541, 146101519, 155170494, 105067202, 209151236, 38414087]
[49986552, 151382489, 227281599, 232839476, 136383403, 222687984, 186446108, 134418229]
[177119877, 214819640, 128621318, 5090699, 1426638, 240204122, 126506857, 107719677]
[188932858, 115146698, 234256803, 209034558, 68471112, 202487706, 179953729, 150641428]
[108906837, 199773189, 190953520, 234574556, 44085690, 30167291, 65381012, 47711595]
[139407978, 28655380, 221952859, 128925738, 170695932, 177876861, 163319636, 105079782]
[233481409, 223580591, 238456769, 130830529, 120881427, 153950788, 32503265, 69195349]
[96343362, 100486110, 213236602, 24901115, 181105803, 35349992, 14867803, 238158103]
[231488027, 32101784, 127865537, 154034083, 149148096, 67900545, 48326258, 31246607]
[170206712, 12111425, 214226545, 122121517, 34740807, 145943647, 70435860, 175254572]
[18782487, 180228062, 32306155, 99137953, 31715291, 14009646, 243126359, 231699158]
[139255779, 117323211, 86191772, 82525022, 242989718, 164457399, 197774702, 197963297]
[204923669, 50635880, 156536157, 126285967, 21834830, 180576998, 198018314, 82156537]
[76710225, 167739046, 165438592, 16815147, 19314675, 67169327, 39993770, 213128627]
[72760936, 3767875, 33619245, 132662969, 42248108, 54682127, 238644859, 90429043]
[28939697, 123364048, 231894319, 154778647, 193962753, 221624341, 138787811, 22840954]
[28939697, 123364048, 231894319, 163193455, 205431314, 169246751, 17280082, 46056301]
[106261171, 126184161, 170418784, 140105318, 233056587, 120809932, 219278017, 12315503]
[104573498, 121415770, 149472192, 187891726, 102116478, 192853830, 193157004, 236969970]
[28939697, 123364048, 231894319, 163193455, 5948702, 240481288, 178695306, 113952895]
[205972194, 86177255, 137657541, 216106120, 155227982, 57938589, 241380187, 95519551]
[218542507, 210706211, 73665838, 242370252, 199101112, 242479614, 131052491, 69582488]
[74869342, 30527162, 33520167, 30450917, 44623284, 195338151, 225514510, 118853496]
[245186357, 179224212, 177971497, 122788728, 120240893, 11475239, 163924075, 198744087]
[205972194, 86177255, 137657541, 146101519, 155170494, 56151626, 215029399, 191572275]
[211510271, 40815467, 175548497, 2406097, 170068134, 40290002, 187190191, 132812268]
[204318514, 96260484, 124198569, 82290644, 227716861, 7485663, 220039575, 103003310]
[205226715, 6410317, 156606069, 650760, 179008295, 13799803, 15443650, 40633992]
